"transformation","distance","n_clusters","data","dunn_index","silhouette_width","pearson_gamma","within_ss","entropy_value"
"none","chisq",3,"10",0.277423423809238,0.340078211316511,0.744843702278757,30.8690818773981,0.619754188848762
"none","chisq",4,"10",0.389374694311119,0.359186835990322,0.757408363024274,26.6373270385803,0.67030116814034
"none","chisq",5,"10",0.264077477492429,0.185923932681557,0.575110693199621,23.6333362544853,1.09882753142294
"none","chisq",6,"10",0.264077477492429,0.166684272331688,0.471953727870847,21.5414794613308,1.43976852085378
"none","chisq",7,"10",0.225337041786205,0.166141686334331,0.418730164278716,19.6961538605641,1.74463619827627
"none","chisq",8,"10",0.305545091487801,0.170172378403815,0.429163323956126,18.0360460951064,1.814104222876
"none","chisq",9,"10",0.305545091487801,0.178122700167579,0.433905704029234,16.8974519981571,1.89583588296395
"none","chisq",10,"10",0.296531289814961,0.152354000833197,0.357981531985267,15.8463263004285,2.11682546075267
"none","chisq",3,"20",0.356241381602549,0.378760949506052,0.779471840964034,21.6975306341242,0.542594822945283
"none","chisq",4,"20",0.452413048425539,0.378053255507162,0.789755802558917,19.3175966518487,0.593141802236861
"none","chisq",5,"20",0.344040563100796,0.201269694679889,0.614005365302045,17.066328165882,1.05753500006296
"none","chisq",6,"20",0.300418499343435,0.171630665729309,0.506937967235935,15.2011657299777,1.43771531439842
"none","chisq",7,"20",0.300418499343435,0.164357883392287,0.430967453740026,13.8733845839532,1.72547246948799
"none","chisq",8,"20",0.339379440958821,0.17126737504058,0.446691149678837,12.8086969245294,1.85420567206446
"none","chisq",9,"20",0.30773994431099,0.148208188958494,0.373527669257166,11.9900747937534,2.07227444797096
"none","chisq",10,"20",0.30773994431099,0.147765410022214,0.3770252035261,11.3675727385148,2.1190034713795
"none","chisq",3,"10_oobs",0.218224710044123,0.328167400226801,0.664110827099648,56.6333382855472,0.704070281300684
"none","chisq",4,"10_oobs",0.218224710044123,0.245879439241111,0.630198198793125,49.1068987964736,1.13045936420891
"none","chisq",5,"10_oobs",0.251617092217278,0.268296794811044,0.662309292275798,42.1860494459256,1.1981933257831
"none","chisq",6,"10_oobs",0.325393414138507,0.289846272014294,0.682835388051705,36.5807219670084,1.30561707258991
"none","chisq",7,"10_oobs",0.372086806732404,0.274027886975565,0.693958372778472,33.348134130825,1.40983176649414
"none","chisq",8,"10_oobs",0.280169345686844,0.196245820303655,0.553270811680893,30.5548083425718,1.73177385477022
"none","chisq",9,"10_oobs",0.301034605756002,0.213739200999269,0.561168080653561,28.2347349861272,1.79448395909716
"none","chisq",10,"10_oobs",0.299396078643816,0.221263722552746,0.510422563531742,26.056202352278,1.99613193971047
"none","chisq",3,"20_oobs",0.25856817745521,0.317552210970726,0.684070611984096,40.2649984561437,0.719733036720139
"none","chisq",4,"20_oobs",0.308606629680874,0.298462066646655,0.714729755359465,35.4124700137707,0.851801276264982
"none","chisq",5,"20_oobs",0.308606629680874,0.243395987274056,0.650367366166872,30.767335151796,1.27487309106687
"none","chisq",6,"20_oobs",0.374584912931328,0.260380380302907,0.661040181095141,27.2521770989164,1.32542007035844
"none","chisq",7,"20_oobs",0.254068169810595,0.172920631533485,0.504171040859508,25.0269751469625,1.6732068739898
"none","chisq",8,"20_oobs",0.286177302655376,0.184128000025755,0.515386002246304,23.1686622407974,1.77742156789402
"none","chisq",9,"20_oobs",0.286177302655376,0.181231301008007,0.449407039117914,21.4518424461644,2.0048657435354
"none","chisq",10,"20_oobs",0.296105559598268,0.1833678180549,0.456423277496279,20.0028370089036,2.06923234482364
