LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Campanula patula,simple,9957,87690,Campanulaceae,1
Campanula rapunculus,simple,9968,87712,Campanulaceae,1
Campanula rotundifolia,simple,9970,87720,Campanulaceae,1
Campanula trachelium,simple,9980,87742,Campanulaceae,1
Capsella bursa-pastoris,simple,10226,87849,Brassicaceae,1
Cardamine pratensis,compound,10304,87964,Brassicaceae,1
Carlina acaulis,simple,10746,89147,Asteraceae,1
Carlina vulgaris,simple,10752,89180,Asteraceae,1
Carpinus betulus,simple,10773,89200,Betulaceae,1
Carthamus lanatus,simple,10811,89232,Asteraceae,1
Carum carvi,compound,10820,89250,Apiaceae,1
Castanea sativa,simple,11068,89304,Fagaceae,1
Cedrus atlantica,simple,11381,89452,Pinaceae,1
Celtis australis,simple,11471,89468,Cannabaceae,1
Centaurea calcitrapa,simple,11563,89542,Asteraceae,1
Cyanus segetum,simple,11567,93680,Asteraceae,1
Centaurea jacea,simple,11583,89619,Asteraceae,1
Centaurea nigra,simple,11598,89653,Asteraceae,1
Centaurium erythraea,simple,11635,89840,Gentianaceae,1
Centranthus ruber,simple,11669,89888,Caprifoliaceae,1
Ceratonia siliqua,compound,11825,447038,Fabaceae,1
Cercis siliquastrum,simple,11857,90234,Fabaceae,1
Chamaemelum nobile,compound,12048,90470,Asteraceae,1
Chelidonium majus,compound,12151,90669,Papaveraceae,1
Chenopodium album,simple,12159,90681,Amaranthaceae,1
Chenopodium vulvaria,simple,12245,90836,Amaranthaceae,1
Chondrilla juncea,simple,12534,90954,Asteraceae,1
Cichorium intybus,simple,12917,91169,Asteraceae,1
Cicuta virosa,compound,12925,91199,Apiaceae,1
Cirsium acaulon,simple,13011,621080,Asteraceae,1
Cirsium arvense,simple,13016,91289,Asteraceae,1
Cirsium spinosissimum,simple,13065,91410,Asteraceae,1
Cistus ladanifer,simple,13144,91680,Cistaceae,1
Clematis recta,simple,13401,91880,Ranunculaceae,1
Clematis vitalba,compound,13413,91886,Ranunculaceae,1
Clinopodium vulgare,simple,13561,91912,Lamiaceae,1
Cochlearia officinalis,simple,13722,92052,Brassicaceae,1
Colchicum autumnale,simple,13878,92127,Colchicaceae,1
Colutea arborescens,compound,13980,92196,Fabaceae,1
Conium maculatum,compound,14183,92237,Apiaceae,1
Convallaria majalis,simple,14240,92282,Asparagaceae,1
Convolvulus arvensis,simple,14244,92302,Convolvulaceae,1
Coriaria myrtifolia,simple,14515,92467,Coriariaceae,1
Cornus mas,simple,14580,92497,Cornaceae,1
Cornus sanguinea,simple,14595,92501,Cornaceae,1
Corrigiola litoralis,simple,14638,92566,Caryophyllaceae,1
Corylus avellana,simple,14688,92606,Betulaceae,1
Cotinus coggygria,simple,14789,92631,Anacardiaceae,1
Crataegus azarolus,simple,15060,92824,Rosaceae,1
Crataegus laevigata,simple,15080,92864,Rosaceae,1
Crataegus monogyna,simple,15090,92876,Rosaceae,1
Crepis foetida,simple,15177,93045,Asteraceae,1
Crepis sancta,simple,15197,93129,Asteraceae,1
Crepis vesicaria,simple,15206,93157,Asteraceae,1
Crithmum maritimum,compound,15227,93190,Apiaceae,1
Cruciata laevipes,simple,15613,93308,Rubiaceae,1
Cupressus sempervirens,simple,15939,93590,Cupressaceae,1
Cuscuta epithymum,simple,15970,93621,Convolvulaceae,1
Cuscuta europaea,simple,15971,93623,Convolvulaceae,1
Cyclamen purpurascens,simple,16117,93708,Primulaceae,1
Cynodon dactylon,simple,16277,93803,Poaceae,1
Cynoglossum officinale,simple,16302,93840,Boraginaceae,1
Cyperus longus,simple,16416,93967,Cyperaceae,1
Cyperus rotundus,simple,16443,94011,Cyperaceae,1
Cytisus scoparius,compound,16641,94164,Fabaceae,1
Dactylis glomerata,simple,16700,94207,Poaceae,1
Dactylorhiza maculata,simple,16729,94266,Orchidaceae,1
Daphne gnidium,simple,16954,94427,Thymelaeaceae,1
Daphne laureola,simple,16958,94432,Thymelaeaceae,1
Daphne mezereum,simple,16960,94435,Thymelaeaceae,1
Datura stramonium,simple,17034,94489,Solanaceae,1
Daucus carota,compound,17041,94503,Apiaceae,1
Delphinium montanum,compound,17171,94590,Ranunculaceae,1
Deschampsia cespitosa,simple,17365,94626,Poaceae,1
Descurainia sophia,compound,17412,94645,Brassicaceae,1
Dianthus carthusianorum,simple,17587,94716,Caryophyllaceae,1
Dictamnus albus,compound,17797,94923,Rutaceae,1
Digitalis lutea,simple,17862,94945,Plantaginaceae,1
Digitalis purpurea,simple,17868,94959,Plantaginaceae,1
Diplotaxis tenuifolia,simple,18714,95136,Brassicaceae,1
Dipsacus fullonum,simple,18734,95149,Caprifoliaceae,1
Dittrichia graveolens,simple,18990,95186,Asteraceae,1
Dittrichia viscosa,simple,18991,95187,Asteraceae,1
Doronicum pardalianches,simple,19154,95239,Asteraceae,1
Charybdis maritima,simple,19299,161772,Asparagaceae,1
Drosera intermedia,simple,19339,95438,Droseraceae,1
Drosera anglica,simple,19340,95436,Droseraceae,1
Drosera anglica,simple,19340,95436,Droseraceae,1
Drosera rotundifolia,simple,19347,95442,Droseraceae,1
Dryas octopetala,simple,19375,95461,Rosaceae,1
Dryopteris filix-mas,compound,19413,95567,Dryopteridaceae,1
Ecballium elaterium,simple,19692,95662,Cucurbitaceae,1
Echium vulgare,simple,19822,95793,Boraginaceae,1
Eclipta prostrata,simple,19825,95806,Asteraceae,1
Elytrigia repens,simple,20359,96046,Poaceae,1
Ephedra distachya,simple,20753,96101,Ephedraceae,1
Chamaenerion angustifolium,simple,20801,90483,Onagraceae,0
Chamaenerion dodonaei,simple,20824,1019304,Onagraceae,0
Epilobium hirsutum,simple,20845,96180,Onagraceae,1
Epilobium montanum,simple,20863,96208,Onagraceae,1
Epilobium palustre,simple,20875,96226,Onagraceae,1
Epilobium parviflorum,simple,20877,96229,Onagraceae,1
Epilobium roseum,simple,20885,96251,Onagraceae,1
Epilobium tetragonum,simple,20893,96271,Onagraceae,1
Equisetum arvense,simple,20927,96508,Equisetaceae,1
Equisetum hyemale,simple,20931,96523,Equisetaceae,1
Equisetum palustre,simple,20934,96534,Equisetaceae,1
Equisetum sylvaticum,simple,20939,96545,Equisetaceae,1
Equisetum telmateia,simple,20940,96546,Equisetaceae,1
Equisetum variegatum,simple,20942,762284,Equisetaceae,1
Erica carnea,simple,21551,96664,Ericaceae,1
Erica ciliaris,simple,21554,96665,Ericaceae,1
Erica cinerea,simple,21555,96667,Ericaceae,1
Erica scoparia,simple,21596,96691,Ericaceae,1
Erica vagans,simple,21609,96698,Ericaceae,1
Erigeron acris,simple,21625,611688,Asteraceae,1
Erigeron canadensis,simple,21638,96749,Asteraceae,1
Erodium cicutarium,compound,21900,96895,Geraniaceae,1
Eryngium campestre,simple,21961,97141,Apiaceae,1
Euonymus europaeus,simple,23260,609982,Celastraceae,1
Eupatorium cannabinum,simple,23289,97434,Asteraceae,1
Euphorbia amygdaloides,simple,23331,97452,Euphorbiaceae,1
Euphorbia cyparissias,simple,23387,97490,Euphorbiaceae,1
Euphorbia helioscopia,simple,23444,97537,Euphorbiaceae,1
Euphorbia lathyris,simple,23476,97556,Euphorbiaceae,1
Euphorbia palustris,simple,23527,97601,Euphorbiaceae,1
Euphrasia nemorosa,simple,23657,97776,Orobanchaceae,1
Euphrasia officinalis,simple,23658,97781,Orobanchaceae,1
Fagus sylvatica,simple,23906,97947,Fagaceae,1
Ferula communis,compound,24101,98020,Apiaceae,1
Ferula glauca,compound,24101,98023,Apiaceae,1
Ficus carica,simple,24783,98653,Moraceae,1
Filipendula ulmaria,compound,24995,98717,Rosaceae,1
Filipendula vulgaris,compound,24996,98718,Rosaceae,1
Foeniculum vulgare,compound,25139,98756,Apiaceae,1
Fragaria vesca,compound,25213,98865,Rosaceae,1
Frangula alnus,simple,25217,98887,Rhamnaceae,1
Fraxinus angustifolia,compound,25240,98910,Oleaceae,1
Fraxinus excelsior,compound,25247,98921,Oleaceae,1
