LB_NOM,AccSpeciesID,CD_REF,FAMILLE,harvested
Carex curvula,10418,88453,Cyperaceae,0
Carex demissa,10423,771637,Cyperaceae,0
Carex extensa,10451,88502,Cyperaceae,0
Carex halleriana,10489,88560,Cyperaceae,0
Carex humilis,10503,88582,Cyperaceae,0
Carex liparocarpos,10544,88637,Cyperaceae,0
Carex mucronata,10575,88693,Cyperaceae,0
Carex otrubae,10597,88741,Cyperaceae,0
Carex pilulifera,10620,88775,Cyperaceae,0
Carex remota,10641,88819,Cyperaceae,0
Carex riparia,10645,88833,Cyperaceae,0
Carex tomentosa,NA,88916,Cyperaceae,0
Carex vaginata,10701,88932,Cyperaceae,0
Carex viridula,10703,88949,Cyperaceae,0
Catananche caerulea,11190,89330,Asteraceae,0
Celtis australis,11471,89468,Cannabaceae,1
Centaurea jacea,11583,89619,Asteraceae,1
Centaurea stoebe,11626,89716,Asteraceae,0
Centaurium littorale,11636,89845,Gentianaceae,0
Centranthus ruber,11669,89888,Caprifoliaceae,1
Cephalaria leucantha,11728,89940,Caprifoliaceae,0
Cerastium brachypetalum,11773,89979,Caryophyllaceae,0
Cerastium pumilum,11796,90076,Caryophyllaceae,0
Ceratocephala falcata,11815,90180,Ranunculaceae,0
Chamaenerion angustifolium,20801,90483,Onagraceae,1
Chenopodium ficifolium,12185,90724,Amaranthaceae,0
Chrysosplenium alternifolium,12744,91118,Saxifragaceae,0
Chrysosplenium oppositifolium,12748,91120,Saxifragaceae,0
Cichorium intybus,12917,91169,Asteraceae,1
Circaea alpina,13005,91256,Onagraceae,0
Cirsium arvense,13016,91289,Asteraceae,1
Cirsium dissectum,13027,91322,Asteraceae,0
Cirsium oleraceum,13049,91378,Asteraceae,0
Cirsium tuberosum,13070,91422,Asteraceae,0
Cirsium vulgare,13072,91430,Asteraceae,0
Cistus albidus,13138,91630,Cistaceae,0
Cistus ladanifer,13144,91680,Cistaceae,1
Cistus salviifolius,13156,91715,Cistaceae,0
Clematis vitalba,13413,91886,Ranunculaceae,1
Clinopodium nepeta,79111,91910,Lamiaceae,1
Cochlearia anglica,13715,92029,Brassicaceae,0
Colchicum bulbocodium,215561,92132,Colchicaceae,0
Colocasia esculenta,13920,447722,Araceae,0
Colutea arborescens,13980,92196,Fabaceae,1
Conringia orientalis,14232,92254,Brassicaceae,0
Convallaria majalis,14240,92282,Asparagaceae,1
Convolvulus arvensis,14244,92302,Convolvulaceae,1
Convolvulus lanuginosus,14258,92329,Convolvulaceae,0
Convolvulus lineatus,14259,92331,Convolvulaceae,0
Cornus sanguinea,14595,92501,Cornaceae,1
Coronilla coronata,14615,92515,Fabaceae,0
Corydalis solida,14680,92594,Papaveraceae,0
Corylus avellana,14688,92606,Betulaceae,1
Cota tinctoria,216684,92629,Asteraceae,0
Cotoneaster integerrimus,14810,92667,Rosaceae,0
Crambe maritima,14977,92782,Brassicaceae,0
Crassula helmsii,15024,92793,Crassulaceae,0
Crepis aurea,15170,93004,Asteraceae,0
Crepis capillaris,15174,93023,Asteraceae,0
Crepis conyzifolia,15175,93027,Asteraceae,0
Crithmum maritimum,15227,93190,Apiaceae,1
Crocus vernus,15247,93282,Iridaceae,0
Cruciata glabra,15612,93307,Rubiaceae,0
Cytisus hirsutus,16626,94123,Fabaceae,0
Dactylorhiza maculata,16729,94266,Orchidaceae,1
Dactylorhiza traunsteineri,NA,94287,Orchidaceae,0
Danthonia decumbens,16898,94402,Poaceae,0
Daphne cneorum,16950,94423,Thymelaeaceae,0
Daphne mezereum,16960,94435,Thymelaeaceae,1
Datura stramonium,17034,94489,Solanaceae,1
Daucus carota,17041,94503,Apiaceae,1
Dianthus barbatus,17585,94698,Caryophyllaceae,0
Dianthus deltoides,17594,94728,Caryophyllaceae,0
Digitaria ischaemum,18003,94985,Poaceae,0
Diospyros virginiana,18628,611108,Ebenaceae,0
Diphasiastrum alpinum,18642,95056,Lycopodiaceae,0
Dipsacus pilosus,18731,95154,Caprifoliaceae,0
Dittrichia viscosa,18991,95187,Asteraceae,1
Doronicum austriacum,19146,95209,Asteraceae,0
Doronicum pardalianches,19154,95239,Asteraceae,1
Draba verna,19236,95372,Brassicaceae,0
Drosera intermedia,19339,95438,Droseraceae,1
Dryopteris affinis,19400,95547,Dryopteridaceae,0
Dryopteris expansa,19412,95566,Dryopteridaceae,0
Dysphania ambrosioides,81989,611753,Amaranthaceae,1
Echinops exaltatus,19782,95700,Asteraceae,0
Echinops ritro,19791,95709,Asteraceae,0
Elaeagnus umbellata,19926,95841,Elaeagnaceae,0
Elatine hydropiper,20037,95860,Elatinaceae,0
Eleocharis ovata,20103,95919,Cyperaceae,0
Eleusine indica,20139,95965,Poaceae,0
Elymus caninus,20243,95992,Poaceae,0
Empetrum nigrum,20484,96069,Ericaceae,0
Ephedra major,20760,96106,Ephedraceae,0
Epilobium alpestre,20796,96127,Onagraceae,0
Epilobium ciliatum,20816,96149,Onagraceae,0
Epilobium roseum,20885,96251,Onagraceae,1
Epipactis palustris,20915,96465,Orchidaceae,0
Equisetum sylvaticum,20939,96545,Equisetaceae,1
Eragrostis minor,21194,96613,Poaceae,0
Erica multiflora,21584,96683,Ericaceae,0
Erigeron acris,21625,611688,Asteraceae,1
Erigeron alpinus,21626,96736,Asteraceae,0
Erigeron annuus,21627,96739,Asteraceae,0
Erigeron canadensis,21638,96749,Asteraceae,1
Erigeron karvinskianus,21656,96775,Asteraceae,0
Eritrichium nanum,21893,96872,Boraginaceae,0
Erodium ciconium,21899,96894,Geraniaceae,0
Erodium cicutarium,21900,96895,Geraniaceae,1
Erodium malacoides,21908,96919,Geraniaceae,0
Eryngium campestre,21961,97141,Apiaceae,1
Eryngium maritimum,21972,97145,Apiaceae,0
Erysimum cheiranthoides,21995,97183,Brassicaceae,0
Erythronium dens-canis,22124,97325,Liliaceae,0
Eucalyptus delegatensis,22469,611735,Myrtaceae,0
Euonymus europaeus,23260,609982,Celastraceae,1
Euphorbia amygdaloides,23331,97452,Euphorbiaceae,1
Euphorbia characias,23368,97478,Euphorbiaceae,0
Euphorbia dendroides,23397,97492,Euphorbiaceae,0
Euphorbia exigua,23415,97511,Euphorbiaceae,0
Euphorbia humifusa,23456,97543,Euphorbiaceae,0
Euphorbia palustris,23527,97601,Euphorbiaceae,1
Euphrasia minima,23656,97772,Orobanchaceae,0
