LB_NOM,AccSpeciesID,CD_REF,FAMILLE,harvested
Sedum rubens,49395,122243,Crassulaceae,1
Sedum sexangulare,49399,122256,Crassulaceae,0
Selaginella selaginoides,49434,122308,Selaginellaceae,0
Senecio doronicum,49526,122593,Asteraceae,1
Senecio leucanthemifolius,97498,122650,Asteraceae,0
Senecio ovatus,49594,122675,Asteraceae,1
Senecio sylvaticus,49629,122726,Asteraceae,1
Senecio vernalis,49636,122740,Asteraceae,0
Serratula tinctoria,49774,122971,Asteraceae,1
Sesleria caerulea,49838,123071,Poaceae,0
Sesleria ovata,49840,123082,Poaceae,0
Setaria faberi,49858,123111,Poaceae,0
Setaria italica,49872,123122,Poaceae,0
Setaria parviflora,49889,123138,Poaceae,0
Sideritis hirsuta,50122,123249,Lamiaceae,0
Silaum silaus,50169,123367,Apiaceae,0
Silene colorata,50197,123445,Caryophyllaceae,0
Silene italica,50234,123512,Caryophyllaceae,0
Sison amomum,50408,123773,Apiaceae,0
Sisymbrium officinale,50427,123863,Brassicaceae,1
Smyrnium olusatrum,50600,124003,Apiaceae,0
Solanum dulcamara,50679,124034,Solanaceae,1
Solanum nigrum,50755,124080,Solanaceae,1
Solidago virgaurea,50905,124205,Asteraceae,1
Sonchus arvensis,50913,124232,Asteraceae,1
Sonchus palustris,50930,124264,Asteraceae,0
Sparganium angustifolium,51202,124405,Typhaceae,0
Spergula morisonii,51246,124517,Caryophyllaceae,0
Spergularia rubra,51261,124578,Caryophyllaceae,1
Spiraea japonica,51387,124646,Rosaceae,0
Stellaria alsine,51617,124967,Caryophyllaceae,0
Stellaria palustris,51640,125024,Caryophyllaceae,0
Succisa pratensis,52337,125295,Caprifoliaceae,1
Symphyotrichum novae-angliae,71836,125331,Asteraceae,0
Symphyotrichum novi-belgii,64917,448412,Asteraceae,0
Symphytum tuberosum,52532,125364,Boraginaceae,0
Tanacetum corymbosum,53011,125460,Asteraceae,0
Teucrium flavum,53957,125994,Lamiaceae,0
Thalictrum aquilegiifolium,53981,126078,Ranunculaceae,0
Thesium pyrenaicum,54127,126310,Thesiaceae,0
Thymus vulgaris,54274,126582,Lamiaceae,1
Tilia platyphyllos,54344,126650,Malvaceae,1
Tofieldia pusilla,54448,126806,Tofieldiaceae,0
Tolpis staticifolia,54453,126821,Asteraceae,0
Toxicodendron radicans,54547,126914,Anacardiaceae,0
Trachycarpus fortunei,54567,126933,Arecaceae,0
Tragopogon dubius,54636,127005,Asteraceae,0
Tragopogon pratensis,54643,127029,Asteraceae,1
Trifolium badium,54929,127237,Fabaceae,0
Trifolium fragiferum,54948,127314,Fabaceae,0
Trifolium hybridum,54956,127337,Fabaceae,0
Trifolium medium,54965,127382,Fabaceae,0
Trifolium montanum,54974,127395,Fabaceae,0
Trifolium retusum,55000,127458,Fabaceae,0
Triglochin palustris,55036,127547,Juncaginaceae,0
Trinia glauca,55094,127595,Apiaceae,0
Tripleurospermum inodorum,55128,127613,Asteraceae,0
Tripleurospermum maritimum,55129,127614,Asteraceae,0
Triticum aestivum,55224,127692,Poaceae,0
Trollius europaeus,55291,127872,Ranunculaceae,1
Typha latifolia,55399,128077,Typhaceae,1
Ulex parviflorus,55436,128127,Fabaceae,0
Ulmus laevis,55457,128171,Ulmaceae,0
Urospermum picroides,55584,128256,Asteraceae,0
Valeriana tripteris,55791,128445,Caprifoliaceae,0
Vallisneria spiralis,55812,128504,Hydrocharitaceae,0
Veratrum album,55963,128520,Melanthiaceae,1
Verbascum lychnitis,55991,128602,Scrophulariaceae,0
Verbascum thapsus,56010,128660,Scrophulariaceae,1
Veronica agrestis,56226,128786,Plantaginaceae,0
Veronica catenata,56241,128829,Plantaginaceae,0
Veronica peregrina,56267,128954,Plantaginaceae,0
Veronica persica,56268,128956,Plantaginaceae,0
Veronica triloba,460836,1003758,Plantaginaceae,0
Veronica triphyllos,56282,129032,Plantaginaceae,0
Viburnum opulus,56323,129087,Viburnaceae,1
Vicia angustifolia,56350,129109,Fabaceae,0
Vicia cracca,56356,129147,Fabaceae,0
Vicia narbonensis,56382,129252,Fabaceae,0
Vicia pisiformis,56393,129275,Fabaceae,0
Vincetoxicum hirundinaria,56482,129477,Apocynaceae,1
Viola calcarata,56502,129527,Violaceae,1
Viola hirta,56526,129586,Violaceae,0
Viola lutea,56535,129614,Violaceae,1
Viola riviniana,56568,129669,Violaceae,0
Vitis vulpina,56747,129969,Vitaceae,0
Vulpia bromoides,56829,129997,Poaceae,0
Xeranthemum cylindraceum,57205,130515,Asteraceae,0
Zea mays,57448,130621,Poaceae,0
Zygophyllum fabago,57651,130691,Zygophyllaceae,0
