"CD_REF_vasc_2018","Nom.scientifique_vasc_2018","CD_REF","LB_NOM","FAMILLE","taxonomy"
95410,"Dracocephalum triflorum L., 1753",95410,"Dracocephalum thymiflorum","Lamiaceae","unchanged"
95425,"Dracunculus vulgaris Schott, 1832",95425,"Dracunculus vulgaris","Araceae","unchanged"
95434,"Drosanthemum floribundum (Haw.) Schwantes, 1927",95434,"Drosanthemum floribundum","Aizoaceae","unchanged"
717165,"Drosanthemum hispidum (L.) Schwantes, 1927",717165,"Drosanthemum hispidum","Aizoaceae","unchanged"
95438,"Drosera intermedia Hayne, 1798",95438,"Drosera intermedia","Droseraceae","unchanged"
95439,"Drosera longifolia L., 1753",95436,"Drosera anglica","Droseraceae","name_changed"
95442,"Drosera rotundifolia L., 1753",95442,"Drosera rotundifolia","Droseraceae","unchanged"
95461,"Dryas octopetala L., 1753",95461,"Dryas octopetala","Rosaceae","unchanged"
95462,"Drymocallis rupestris (L.) Soj�k, 1989",95462,"Drymocallis rupestris","Rosaceae","unchanged"
95463,"Drymochloa sylvatica (Pollich) Holub, 1984",95463,"Drymochloa sylvatica","Poaceae","unchanged"
95546,"Dryopteris aemula (Aiton) Kuntze, 1891",95546,"Dryopteris aemula","Dryopteridaceae","unchanged"
95547,"Dryopteris affinis (Lowe) Fraser-Jenk., 1979",95547,"Dryopteris affinis","Dryopteridaceae","unchanged"
95550,"Dryopteris ardechensis Fraser-Jenk., 1981",95550,"Dryopteris ardechensis","Dryopteridaceae","unchanged"
95558,"Dryopteris carthusiana (Vill.) H.P.Fuchs, 1959",95558,"Dryopteris carthusiana","Dryopteridaceae","unchanged"
95561,"Dryopteris cristata (L.) A.Gray, 1848",95561,"Dryopteris cristata","Dryopteridaceae","unchanged"
95563,"Dryopteris dilatata (Hoffm.) A.Gray, 1848",95563,"Dryopteris dilatata","Dryopteridaceae","unchanged"
611167,"Dryopteris erythrosora (Eaton) Kuntze, 1891",611167,"Dryopteris erythrosora","Dryopteridaceae","unchanged"
95566,"Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy, 1977",95566,"Dryopteris expansa","Dryopteridaceae","unchanged"
95567,"Dryopteris filix-mas (L.) Schott, 1834",95567,"Dryopteris filix-mas","Dryopteridaceae","unchanged"
95581,"Dryopteris oreades Fomin, 1911",95581,"Dryopteris oreades","Dryopteridaceae","unchanged"
95584,"Dryopteris pallida (Bory) Maire & Petitm., 1908",95584,"Dryopteris pallida","Dryopteridaceae","unchanged"
95589,"Dryopteris remota (A.Braun ex D�ll) Druce, 1908",95589,"Dryopteris remota","Dryopteridaceae","unchanged"
95597,"Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk., 1977",959103,"Dryopteris mindshelkensis","Dryopteridaceae","name_changed"
95601,"Dryopteris tyrrhena Fraser-Jenk. & Reichst., 1975",95601,"Dryopteris tyrrhena","Dryopteridaceae","unchanged"
95602,"Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell., 1915",95602,"Dryopteris villarii","Dryopteridaceae","unchanged"
610583,"Dulichium arundinaceum (L.) Britton, 1894",610583,"Dulichium arundinaceum","Cyperaceae","unchanged"
611753,"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",611753,"Dysphania ambrosioides","Amaranthaceae","unchanged"
611755,"Dysphania botrys (L.) Mosyakin & Clemants, 2002",611755,"Dysphania botrys","Amaranthaceae","unchanged"
611760,"Dysphania multifida (L.) Mosyakin & Clemants, 2002",611760,"Dysphania multifida","Amaranthaceae","unchanged"
611751,"Dysphania pumilio (R.Br.) Mosyakin & Clemants, 2002",611751,"Dysphania pumilio","Amaranthaceae","unchanged"
95662,"Ecballium elaterium (L.) A.Rich., 1824",95662,"Ecballium elaterium","Cucurbitaceae","unchanged"
95666,"Echinaria capitata (L.) Desf., 1799",95666,"Echinaria capitata","Poaceae","unchanged"
95669,"Echinochloa colona (L.) Link, 1833",95669,"Echinochloa colona","Poaceae","unchanged"
95671,"Echinochloa crus-galli (L.) P.Beauv., 1812",95671,"Echinochloa crus-galli","Poaceae","unchanged"
619297,"Echinochloa hispidula (Retz.) Nees ex Royle, 1840",619297,"Echinochloa hispidula","Poaceae","unchanged"
95679,"Echinochloa muricata (P.Beauv.) Fernald, 1915",95679,"Echinochloa muricata","Poaceae","unchanged"
95681,"Echinochloa oryzicola (Vasinger) Vasinger, 1934",95681,"Echinochloa oryzicola","Poaceae","unchanged"
95682,"Echinochloa oryzoides (Ard.) Fritsch, 1891",95682,"Echinochloa oryzoides","Poaceae","unchanged"
95697,"Echinophora spinosa L., 1753",95697,"Echinophora spinosa","Apiaceae","unchanged"
95700,"Echinops exaltatus Schrad., 1809",95700,"Echinops exaltatus","Asteraceae","unchanged"
95709,"Echinops ritro L., 1753",95709,"Echinops ritro","Asteraceae","unchanged"
95713,"Echinops sphaerocephalus L., 1753",95713,"Echinops sphaerocephalus","Asteraceae","unchanged"
95740,"Echium arenarium Guss., 1826",95740,"Echium arenarium","Boraginaceae","unchanged"
95741,"Echium asperrimum Lam., 1792",95741,"Echium asperrimum","Boraginaceae","unchanged"
95745,"Echium calycinum Viv., 1804",95771,"Echium parviflorum","Boraginaceae","name_changed"
95749,"Echium creticum L., 1753",95749,"Echium creticum","Boraginaceae","unchanged"
95758,"Echium italicum L., 1753",95758,"Echium italicum","Boraginaceae","unchanged"
95774,"Echium plantagineum L., 1771",95774,"Echium plantagineum","Boraginaceae","unchanged"
95784,"Echium rosulatum Lange, 1855",95784,"Echium rosulatum","Boraginaceae","unchanged"
95786,"Echium sabulicola Pomel, 1874",95786,"Echium sabulicola","Boraginaceae","unchanged"
95793,"Echium vulgare L., 1753",95793,"Echium vulgare","Boraginaceae","unchanged"
95806,"Eclipta prostrata (L.) L., 1771",95806,"Eclipta prostrata","Asteraceae","unchanged"
95823,"Egeria densa Planch., 1849",95823,"Egeria densa","Hydrocharitaceae","unchanged"
710411,"Ehrharta erecta Lam., 1786",710411,"Ehrharta erecta","Poaceae","unchanged"
95829,"Eichhornia crassipes (Mart.) Solms, 1883",454932,"Pontederia crassipes","Pontederiaceae","name_changed"
95831,"Elaeagnus angustifolia L., 1753",95831,"Elaeagnus angustifolia","Elaeagnaceae","unchanged"
95839,"Elaeagnus pungens Thunb., 1784",95839,"Elaeagnus pungens","Elaeagnaceae","unchanged"
95841,"Elaeagnus umbellata Thunb., 1784",95841,"Elaeagnus umbellata","Elaeagnaceae","unchanged"
95844,"Elaeoselinum meoides (Desf.) Koch ex DC., 1830",95844,"Elaeoselinum meoides","Apiaceae","unchanged"
95847,"Elatine alsinastrum L., 1753",95847,"Elatine alsinastrum","Elatinaceae","unchanged"
95848,"Elatine brochonii Clavaud, 1883",95848,"Elatine brochonii","Elatinaceae","unchanged"
95858,"Elatine hexandra (Lapierre) DC., 1808",95858,"Elatine hexandra","Elatinaceae","unchanged"
95860,"Elatine hydropiper L., 1753",95860,"Elatine hydropiper","Elatinaceae","unchanged"
95864,"Elatine macropoda Guss., 1827",95864,"Elatine macropoda","Elatinaceae","unchanged"
95877,"Elatine triandra Schkuhr, 1791",95877,"Elatine triandra","Elatinaceae","unchanged"
95889,"Eleocharis acicularis (L.) Roem. & Schult., 1817",95889,"Eleocharis acicularis","Cyperaceae","unchanged"
95891,"Eleocharis atropurpurea (Retz.) C.Presl, 1828",95891,"Eleocharis atropurpurea","Cyperaceae","unchanged"
95895,"Eleocharis bonariensis Nees, 1840",95895,"Eleocharis bonariensis","Cyperaceae","unchanged"
95914,"Eleocharis mamillata H.Lindb., 1902",95914,"Eleocharis mamillata","Cyperaceae","unchanged"
95916,"Eleocharis multicaulis (Sm.) Desv., 1818",95916,"Eleocharis multicaulis","Cyperaceae","unchanged"
95919,"Eleocharis ovata (Roth) Roem. & Schult., 1817",95919,"Eleocharis ovata","Cyperaceae","unchanged"
95922,"Eleocharis palustris (L.) Roem. & Schult., 1817",95922,"Eleocharis palustris","Cyperaceae","unchanged"
95923,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer, 1836",95923,"Eleocharis parvula","Cyperaceae","unchanged"
95927,"Eleocharis quinqueflora (Hartmann) O.Schwarz, 1949",95927,"Eleocharis quinqueflora","Cyperaceae","unchanged"
95933,"Eleocharis uniglumis (Link) Schult., 1824",95933,"Eleocharis uniglumis","Cyperaceae","unchanged"
95965,"Eleusine indica (L.) Gaertn., 1788",95965,"Eleusine indica","Poaceae","unchanged"
95975,"Eleusine tristachya (Lam.) Lam., 1792",95975,"Eleusine tristachya","Poaceae","unchanged"
95979,"Elodea callitrichoides (Rich.) Casp., 1857",95979,"Elodea callitrichoides","Hydrocharitaceae","unchanged"
95980,"Elodea canadensis Michx., 1803",95980,"Elodea canadensis","Hydrocharitaceae","unchanged"
95983,"Elodea nuttallii (Planch.) H.St.John, 1920",95983,"Elodea nuttallii","Hydrocharitaceae","unchanged"
95992,"Elymus caninus (L.) L., 1755",95992,"Elymus caninus","Poaceae","unchanged"
96025,"Elytrigia acuta (DC.) Tzvelev, 1973",96025,"Elytrigia acuta","Poaceae","unchanged"
96029,"Elytrigia campestris (Godr. & Gren.) Kergu�len ex Carreras, 1986",96030,"Elytrigia campestris","Poaceae","name_changed"
96031,"Elytrigia corsica (Hack.) Holub, 1977",96031,"Elytrigia corsica","Poaceae","unchanged"
96032,"Elytrigia elongata (Host) Nevski, 1936",96032,"Elytrigia elongata","Poaceae","unchanged"
96034,"Elytrigia intermedia (Host) Nevski, 1933",96034,"Elytrigia intermedia","Poaceae","unchanged"
96035,"Elytrigia juncea (L.) Nevski, 1936",96035,"Elytrigia juncea","Poaceae","unchanged"
96040,"Elytrigia obtusiflora (DC.) Tzvelev, 1993",96040,"Elytrigia obtusiflora","Poaceae","unchanged"
96046,"Elytrigia repens (L.) Desv. ex Nevski, 1934",96046,"Elytrigia repens","Poaceae","unchanged"
96047,"Elytrigia scirpea (C.Presl) Holub, 1973",96047,"Elytrigia scirpea","Poaceae","unchanged"
96063,"Emex spinosa (L.) Campd., 1819",119590,"Rumex spinosus","Polygonaceae","name_changed"
96069,"Empetrum nigrum L., 1753",96069,"Empetrum nigrum","Ericaceae","unchanged"
96079,"Endressia pyrenaica (J.Gay ex DC.) J.Gay, 1832",96079,"Endressia pyrenaica","Apiaceae","unchanged"
96098,"Ephedra altissima Desf., 1799",96098,"Ephedra altissima","Ephedraceae","unchanged"
96101,"Ephedra distachya L., 1753",96101,"Ephedra distachya","Ephedraceae","unchanged"
96106,"Ephedra major Host, 1831",96106,"Ephedra major","Ephedraceae","unchanged"
96119,"Epikeros pyrenaeus (L.) Raf., 1840",96119,"Epikeros pyrenaeus","Apiaceae","unchanged"
96127,"Epilobium alpestre (Jacq.) Krock., 1787",96127,"Epilobium alpestre","Onagraceae","unchanged"
96130,"Epilobium alsinifolium Vill., 1779",96130,"Epilobium alsinifolium","Onagraceae","unchanged"
96134,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium","Onagraceae","unchanged"
96136,"Epilobium angustifolium L., 1753",90483,"Chamaenerion angustifolium","Onagraceae","name_changed"
96143,"Epilobium brachycarpum C.Presl, 1831",96143,"Epilobium brachycarpum","Onagraceae","unchanged"
96149,"Epilobium ciliatum Raf., 1808",96149,"Epilobium ciliatum","Onagraceae","unchanged"
96150,"Epilobium collinum C.C.Gmel., 1826",96150,"Epilobium collinum","Onagraceae","unchanged"
96163,"Epilobium dodonaei Vill., 1779",1019304,"Chamaenerion dodonaei","Onagraceae","name_changed"
96165,"Epilobium duriaei J.Gay ex Godr., 1849",96165,"Epilobium duriaei","Onagraceae","unchanged"
96180,"Epilobium hirsutum L., 1753",96180,"Epilobium hirsutum","Onagraceae","unchanged"
96191,"Epilobium lanceolatum Sebast. & Mauri, 1818",96191,"Epilobium lanceolatum","Onagraceae","unchanged"
96208,"Epilobium montanum L., 1753",96208,"Epilobium montanum","Onagraceae","unchanged"
96218,"Epilobium nutans F.W.Schmidt, 1794",96218,"Epilobium nutans","Onagraceae","unchanged"
96220,"Epilobium obscurum Schreb., 1771",96220,"Epilobium obscurum","Onagraceae","unchanged"
96226,"Epilobium palustre L., 1753",96226,"Epilobium palustre","Onagraceae","unchanged"
96229,"Epilobium parviflorum Schreb., 1771",96229,"Epilobium parviflorum","Onagraceae","unchanged"
96251,"Epilobium roseum Schreb., 1771",96251,"Epilobium roseum","Onagraceae","unchanged"
96271,"Epilobium tetragonum L., 1753",96271,"Epilobium tetragonum","Onagraceae","unchanged"
96426,"Epimedium alpinum L., 1753",96426,"Epimedium alpinum","Berberidaceae","unchanged"
96432,"Epipactis atrorubens (Hoffm.) Besser, 1809",96432,"Epipactis atrorubens","Orchidaceae","unchanged"
96439,"Epipactis distans Arv.-Touv., 1872",96439,"Epipactis distans","Orchidaceae","unchanged"
521628,"Epipactis exilis P.Delforge, 2004",521628,"Epipactis exilis","Orchidaceae","unchanged"
521629,"Epipactis fageticola (C.E.Hermos.) Devillers-Tersch. & Devillers, 1999",521629,"Epipactis fageticola","Orchidaceae","unchanged"
96443,"Epipactis fibri Scappat. & Robatsch, 1995",96443,"Epipactis fibri","Orchidaceae","unchanged"
96447,"Epipactis helleborine (L.) Crantz, 1769",96447,"Epipactis helleborine","Orchidaceae","unchanged"
521630,"Epipactis kleinii M.B.Crespo, M.R.Lowe & Piera, 2001",521630,"Epipactis kleinii","Orchidaceae","unchanged"
96449,"Epipactis leptochila (Godfery) Godfery, 1921",96449,"Epipactis leptochila","Orchidaceae","unchanged"
96454,"Epipactis microphylla (Ehrh.) Sw., 1800",96454,"Epipactis microphylla","Orchidaceae","unchanged"
96456,"Epipactis muelleri Godfery, 1921",96456,"Epipactis muelleri","Orchidaceae","unchanged"
96465,"Epipactis palustris (L.) Crantz, 1769",96465,"Epipactis palustris","Orchidaceae","unchanged"
96468,"Epipactis phyllanthes G.E.Sm., 1852",96468,"Epipactis phyllanthes","Orchidaceae","unchanged"
96469,"Epipactis placentina Bongiorni & Gr�nanger, 1993",96469,"Epipactis placentina","Orchidaceae","unchanged"
96471,"Epipactis purpurata Sm., 1828",96471,"Epipactis purpurata","Orchidaceae","unchanged"
96476,"Epipactis rhodanensis G�vaudan & Robatsch, 1994",96476,"Epipactis rhodanensis","Orchidaceae","unchanged"
96499,"Epipogium aphyllum Sw., 1814",96499,"Epipogium aphyllum","Orchidaceae","unchanged"
96508,"Equisetum arvense L., 1753",96508,"Equisetum arvense","Equisetaceae","unchanged"
96519,"Equisetum fluviatile L., 1753",96519,"Equisetum fluviatile","Equisetaceae","unchanged"
96523,"Equisetum hyemale L., 1753",96523,"Equisetum hyemale","Equisetaceae","unchanged"
96534,"Equisetum palustre L., 1753",96534,"Equisetum palustre","Equisetaceae","unchanged"
96539,"Equisetum ramosissimum Desf., 1799",96539,"Equisetum ramosissimum","Equisetaceae","unchanged"
96545,"Equisetum sylvaticum L., 1753",96545,"Equisetum sylvaticum","Equisetaceae","unchanged"
96546,"Equisetum telmateia Ehrh., 1783",96546,"Equisetum telmateia","Equisetaceae","unchanged"
762284,"Equisetum variegatum Schleich. ex F.Weber & D.Mohr, 1807",762284,"Equisetum variegatum","Equisetaceae","unchanged"
96580,"Eragrostis barrelieri Daveau, 1894",96580,"Eragrostis barrelieri","Poaceae","unchanged"
96585,"Eragrostis cilianensis (All.) Vignolo ex Janch., 1907",96585,"Eragrostis cilianensis","Poaceae","unchanged"
96591,"Eragrostis curvula (Schrad.) Nees, 1841",96591,"Eragrostis curvula","Poaceae","unchanged"
96594,"Eragrostis diffusa Buckley, 1862",96594,"Eragrostis diffusa","Poaceae","unchanged"
96612,"Eragrostis mexicana (Hornem.) Link, 1827",96612,"Eragrostis mexicana","Poaceae","unchanged"
96613,"Eragrostis minor Host, 1809",96613,"Eragrostis minor","Poaceae","unchanged"
96614,"Eragrostis multicaulis Steud., 1854",96614,"Eragrostis multicaulis","Poaceae","unchanged"
96619,"Eragrostis orcuttiana Vasey, 1893",96619,"Eragrostis orcuttiana","Poaceae","unchanged"
96624,"Eragrostis pectinacea (Michx.) Nees, 1841",96624,"Eragrostis pectinacea","Poaceae","unchanged"
96628,"Eragrostis pilosa (L.) P.Beauv., 1812",96628,"Eragrostis pilosa","Poaceae","unchanged"
160623,"Eragrostis tephrosanthos Schult., 1824",160623,"Eragrostis tephrosanthos","Poaceae","unchanged"
96644,"Eragrostis virescens J.Presl, 1830",96644,"Eragrostis virescens","Poaceae","unchanged"
96648,"Eranthis hyemalis (L.) Salisb., 1807",96648,"Eranthis hyemalis","Ranunculaceae","unchanged"
96659,"Erica arborea L., 1753",96659,"Erica arborea","Ericaceae","unchanged"
96664,"Erica carnea L., 1753",96664,"Erica carnea","Ericaceae","unchanged"
96665,"Erica ciliaris Loefl. ex L., 1753",96665,"Erica ciliaris","Ericaceae","unchanged"
96667,"Erica cinerea L., 1753",96667,"Erica cinerea","Ericaceae","unchanged"
96675,"Erica erigena R.Ross, 1969",96675,"Erica erigena","Ericaceae","unchanged"
96679,"Erica lusitanica Rudolphi, 1800",96679,"Erica lusitanica","Ericaceae","unchanged"
96683,"Erica multiflora L., 1753",96683,"Erica multiflora","Ericaceae","unchanged"
96691,"Erica scoparia L., 1753",96691,"Erica scoparia","Ericaceae","unchanged"
96694,"Erica terminalis Salisb., 1796",96694,"Erica terminalis","Ericaceae","unchanged"
96695,"Erica tetralix L., 1753",96695,"Erica tetralix","Ericaceae","unchanged"
96698,"Erica vagans L., 1770",96698,"Erica vagans","Ericaceae","unchanged"
611688,"Erigeron acris L., 1753",611688,"Erigeron acris","Asteraceae","unchanged"
96736,"Erigeron alpinus L., 1753",96736,"Erigeron alpinus","Asteraceae","unchanged"
96739,"Erigeron annuus (L.) Desf., 1804",96739,"Erigeron annuus","Asteraceae","unchanged"
96742,"Erigeron atticus Vill., 1788",96742,"Erigeron atticus","Asteraceae","unchanged"
96745,"Erigeron blakei Cabrera, 1941",96745,"Erigeron blakei","Asteraceae","unchanged"
96746,"Erigeron bonariensis L., 1753",96746,"Erigeron bonariensis","Asteraceae","unchanged"
96749,"Erigeron canadensis L., 1753",96749,"Erigeron canadensis","Asteraceae","unchanged"
611690,"Erigeron floribundus (Kunth) Sch.Bip., 1865",611690,"Erigeron floribundus","Asteraceae","unchanged"
96761,"Erigeron glabratus Hoppe & Hornsch. ex Bluff & Fingerh., 1825",96761,"Erigeron glabratus","Asteraceae","unchanged"
96775,"Erigeron karvinskianus DC., 1836",96775,"Erigeron karvinskianus","Asteraceae","unchanged"
96790,"Erigeron neglectus A.Kern., 1871",96790,"Erigeron neglectus","Asteraceae","unchanged"
96793,"Erigeron paolii Gamisans, 1977",96793,"Erigeron paolii","Asteraceae","unchanged"
96805,"Erigeron schleicheri Gremli, 1886",96805,"Erigeron schleicheri","Asteraceae","unchanged"
96814,"Erigeron sumatrensis Retz., 1810",96814,"Erigeron sumatrensis","Asteraceae","unchanged"
96816,"Erigeron uniflorus L., 1753",96816,"Erigeron uniflorus","Asteraceae","unchanged"
96829,"Erinacea anthyllis Link, 1831",96829,"Erinacea anthyllis","Fabaceae","unchanged"
96834,"Erinus alpinus L., 1753",96834,"Erinus alpinus","Plantaginaceae","unchanged"
96836,"Eriobotrya japonica (Thunb.) Lindl., 1821",96836,"Eriobotrya japonica","Rosaceae","unchanged"
96844,"Eriophorum angustifolium Honck., 1782",96844,"Eriophorum angustifolium","Cyperaceae","unchanged"
96851,"Eriophorum gracile Koch ex Roth, 1806",96851,"Eriophorum gracile","Cyperaceae","unchanged"
96852,"Eriophorum latifolium Hoppe, 1800",96852,"Eriophorum latifolium","Cyperaceae","unchanged"
96859,"Eriophorum scheuchzeri Hoppe, 1800",96859,"Eriophorum scheuchzeri","Cyperaceae","unchanged"
96861,"Eriophorum vaginatum L., 1753",96861,"Eriophorum vaginatum","Cyperaceae","unchanged"
96872,"Eritrichium nanum (L.) Schrad. ex Gaudin, 1828",96872,"Eritrichium nanum","Boraginaceae","unchanged"
96876,"Erodium acaule (L.) Bech. & Thell., 1928",96876,"Erodium acaule","Geraniaceae","unchanged"
96887,"Erodium botrys (Cav.) Bertol., 1817",96887,"Erodium botrys","Geraniaceae","unchanged"
96893,"Erodium chium (L.) Willd., 1794",96893,"Erodium chium","Geraniaceae","unchanged"
96894,"Erodium ciconium (L.) L'H�r., 1789",96894,"Erodium ciconium","Geraniaceae","unchanged"
96895,"Erodium cicutarium (L.) L'H�r., 1789",96895,"Erodium cicutarium","Geraniaceae","unchanged"
96897,"Erodium corsicum L�man, 1805",96897,"Erodium corsicum","Geraniaceae","unchanged"
96902,"Erodium foetidum (L.) L'H�r., 1802",96902,"Erodium foetidum","Geraniaceae","unchanged"
96904,"Erodium glandulosum (Cav.) Willd., 1800",96904,"Erodium glandulosum","Geraniaceae","unchanged"
96911,"Erodium laciniatum (Cav.) Willd., 1800",96911,"Erodium laciniatum","Geraniaceae","unchanged"
96912,"Erodium lebelii Jord., 1852",96912,"Erodium lebelii","Geraniaceae","unchanged"
96916,"Erodium lucidum Lapeyr., 1813",1013321,"Erodium rupestre","Geraniaceae","name_changed"
96919,"Erodium malacoides (L.) L'H�r., 1789",96919,"Erodium malacoides","Geraniaceae","unchanged"
96921,"Erodium manescavii Coss., 1847",96921,"Erodium manescavii","Geraniaceae","unchanged"
96923,"Erodium maritimum (L.) L'H�r., 1789",96923,"Erodium maritimum","Geraniaceae","unchanged"
96925,"Erodium moschatum (L.) L'H�r., 1789",96925,"Erodium moschatum","Geraniaceae","unchanged"
96939,"Erodium rodiei (Braun-Blanq.) Poirion, 1964",96939,"Erodium rodiei","Geraniaceae","unchanged"
96942,"Erodium salzmannii Delile, 1838",96942,"Erodium salzmannii","Geraniaceae","unchanged"
97064,"Erucastrum gallicum (Willd.) O.E.Schulz, 1916",97064,"Erucastrum gallicum","Brassicaceae","unchanged"
97072,"Erucastrum nasturtiifolium (Poir.) O.E.Schulz, 1916",97072,"Erucastrum nasturtiifolium","Brassicaceae","unchanged"
717179,"Erucastrum supinum (L.) Al-Shehbaz & Warwick, 2003",717179,"Erucastrum supinum","Brassicaceae","unchanged"
97041,"Eruca vesicaria (L.) Cav., 1802",97041,"Eruca vesicaria","Brassicaceae","unchanged"
788870,"Ervilia articulata (Hornem.) H.Schaefer",97085,"Ervilia monanthos","Fabaceae","name_changed"
97084,"Ervilia hirsuta (L.) Opiz, 1852",97084,"Ervilia hirsuta","Fabaceae","unchanged"
788868,"Ervilia loiseleurii (M.Bieb.) H.Schaefer",788868,"Ervilia loiseleurii","Fabaceae","unchanged"
97088,"Ervilia sativa Link, 1822",97088,"Ervilia sativa","Fabaceae","unchanged"
788869,"Ervilia sylvatica (L.) Schur, 1853",788869,"Ervilia sylvatica","Fabaceae","unchanged"
97101,"Ervum gracile (Loisel.) DC., 1813",97101,"Ervum gracile","Fabaceae","unchanged"
97116,"Ervum pubescens DC., 1813",97116,"Ervum pubescens","Fabaceae","unchanged"
97128,"Ervum tetraspermum L., 1753",97128,"Ervum tetraspermum","Fabaceae","unchanged"
97133,"Eryngium alpinum L., 1753",97133,"Eryngium alpinum","Apiaceae","unchanged"
97140,"Eryngium bourgatii Gouan, 1773",97140,"Eryngium bourgatii","Apiaceae","unchanged"
97141,"Eryngium campestre L., 1753",97141,"Eryngium campestre","Apiaceae","unchanged"
611126,"Eryngium creticum Lam., 1798",611126,"Eryngium creticum","Apiaceae","unchanged"
97145,"Eryngium maritimum L., 1753",97145,"Eryngium maritimum","Apiaceae","unchanged"
611112,"Eryngium planum L., 1753",611112,"Eryngium planum","Apiaceae","unchanged"
97147,"Eryngium pusillum L., 1753",97147,"Eryngium pusillum","Apiaceae","unchanged"
97148,"Eryngium spinalba Vill., 1779",97148,"Eryngium spinalba","Apiaceae","unchanged"
160399,"Eryngium tricuspidatum L., 1756",160399,"Eryngium tricuspidatum","Apiaceae","unchanged"
611123,"Eryngium triquetrum Vahl, 1791",611123,"Eryngium triquetrum","Apiaceae","unchanged"
97152,"Eryngium viviparum J.Gay, 1848",97152,"Eryngium viviparum","Apiaceae","unchanged"
97183,"Erysimum cheiranthoides L., 1753",97183,"Erysimum cheiranthoides","Brassicaceae","unchanged"
97185,"Erysimum cheiri (L.) Crantz, 1769",97185,"Erysimum cheiri","Brassicaceae","unchanged"
97201,"Erysimum duriaei Boiss., 1854",97201,"Erysimum duriaei","Brassicaceae","unchanged"
97221,"Erysimum incanum Kunze, 1846",97221,"Erysimum incanum","Brassicaceae","unchanged"
97222,"Erysimum jugicola Jord., 1864",97222,"Erysimum jugicola","Brassicaceae","unchanged"
97230,"Erysimum montosicola Jord., 1858",97230,"Erysimum montosicola","Brassicaceae","unchanged"
159654,"Erysimum nevadense Reut., 1855",159654,"Erysimum nevadense","Brassicaceae","unchanged"
97234,"Erysimum ochroleucum (Schleich.) DC., 1805",97234,"Erysimum ochroleucum","Brassicaceae","unchanged"
97235,"Erysimum odoratum Ehrh., 1792",97235,"Erysimum odoratum","Brassicaceae","unchanged"
97257,"Erysimum repandum L., 1753",97257,"Erysimum repandum","Brassicaceae","unchanged"
97258,"Erysimum rhaeticum (Schleich. ex Hornem.) DC., 1821",97258,"Erysimum rhaeticum","Brassicaceae","unchanged"
97277,"Erysimum virgatum Roth, 1797",97277,"Erysimum virgatum","Brassicaceae","unchanged"
717180,"Erythranthe guttata (Fisch. ex DC.) G.L.Nesom, 2012",717180,"Erythranthe guttata","Phrymaceae","unchanged"
717182,"Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom, 2012",717182,"Erythranthe moschata","Phrymaceae","unchanged"
97325,"Erythronium dens-canis L., 1753",97325,"Erythronium dens-canis","Liliaceae","unchanged"
97341,"Escallonia rubra (Ruiz & Pav.) Pers., 1805",97341,"Escallonia rubra","Escalloniaceae","unchanged"
97346,"Eschscholzia californica Cham., 1820",97346,"Eschscholzia californica","Papaveraceae","unchanged"
97398,"Eucalyptus camaldulensis Dehnh., 1832",97398,"Eucalyptus camaldulensis","Myrtaceae","unchanged"
611733,"Eucalyptus cinerea F.Muell. ex Benth., 1867",611733,"Eucalyptus cinerea","Myrtaceae","unchanged"
611735,"Eucalyptus delegatensis R.T.Baker",611735,"Eucalyptus delegatensis","Myrtaceae","unchanged"
97409,"Eucalyptus robusta Sm., 1795",97409,"Eucalyptus robusta","Myrtaceae","unchanged"
453244,"Eucalyptus sideroxylon A.Cunn. ex Woolls, 1886",453244,"Eucalyptus sideroxylon","Myrtaceae","unchanged"
97411,"Eucalyptus viminalis Labill., 1806",97411,"Eucalyptus viminalis","Myrtaceae","unchanged"
611131,"Euclidium tenuissimum B.Fedtsch.",811157,"Litwinowia tenuissima","Brassicaceae","name_changed"
97423,"Eudianthe coelirosa (L.) Rchb., 1844",97423,"Eudianthe coelirosa","Caryophyllaceae","unchanged"
97424,"Eudianthe laeta (Aiton) Willk., 1853",97424,"Eudianthe laeta","Caryophyllaceae","unchanged"
609982,"Euonymus europaeus L., 1753",609982,"Euonymus europaeus","Celastraceae","unchanged"
448138,"Euonymus japonicus L.f., 1780",448138,"Euonymus japonicus","Celastraceae","unchanged"
609983,"Euonymus latifolius (L.) Mill., 1768",609983,"Euonymus latifolius","Celastraceae","unchanged"
97434,"Eupatorium cannabinum L., 1753",97434,"Eupatorium cannabinum","Asteraceae","unchanged"
97449,"Euphorbia aleppica L., 1753",97449,"Euphorbia aleppica","Euphorbiaceae","unchanged"
97452,"Euphorbia amygdaloides L., 1753",97452,"Euphorbia amygdaloides","Euphorbiaceae","unchanged"
97454,"Euphorbia angulata Jacq., 1789",97454,"Euphorbia angulata","Euphorbiaceae","unchanged"
97463,"Euphorbia biumbellata Poir., 1789",97463,"Euphorbia biumbellata","Euphorbiaceae","unchanged"
