"CD_REF_vasc_2018","Nom.scientifique_vasc_2018","CD_REF","LB_NOM","FAMILLE","taxonomy"
80155,"Adenocarpus complicatus (L.) J.Gay, 1836",80155,"Adenocarpus complicatus","Fabaceae","unchanged"
80162,"Adenocarpus telonensis (Loisel.) DC., 1815",80162,"Adenocarpus telonensis","Fabaceae","unchanged"
80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",80183,"Adenostyles alliariae","Asteraceae","unchanged"
80184,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",80184,"Adenostyles alpina","Asteraceae","unchanged"
80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",80190,"Adenostyles leucophylla","Asteraceae","unchanged"
447951,"Adiantum capillus-veneris L., 1753",447951,"Adiantum capillus-veneris","Pteridaceae","unchanged"
447953,"Adiantum raddianum C.Presl, 1836",447953,"Adiantum raddianum","Pteridaceae","unchanged"
80211,"Adonis aestivalis L., 1762",80211,"Adonis aestivalis","Ranunculaceae","unchanged"
80212,"Adonis annua L., 1753",80212,"Adonis annua","Ranunculaceae","unchanged"
80224,"Adonis flammea Jacq., 1776",80224,"Adonis flammea","Ranunculaceae","unchanged"
80232,"Adonis microcarpa DC., 1817",80232,"Adonis microcarpa","Ranunculaceae","unchanged"
80238,"Adonis pyrenaica DC., 1815",80238,"Adonis pyrenaica","Ranunculaceae","unchanged"
80240,"Adonis vernalis L., 1753",80240,"Adonis vernalis","Ranunculaceae","unchanged"
80243,"Adoxa moschatellina L., 1753",80243,"Adoxa moschatellina","Viburnaceae","unchanged"
80263,"Aegilops biuncialis Vis., 1842",80263,"Aegilops biuncialis","Poaceae","unchanged"
159514,"Aegilops caudata L., 1753",159514,"Aegilops caudata","Poaceae","unchanged"
610756,"Aegilops crassa Boiss., 1846",610756,"Aegilops crassa","Poaceae","unchanged"
80270,"Aegilops cylindrica Host, 1802",80270,"Aegilops cylindrica","Poaceae","unchanged"
80278,"Aegilops geniculata Roth, 1797",80278,"Aegilops geniculata","Poaceae","unchanged"
80282,"Aegilops juvenalis (Thell.) Eig, 1929",80282,"Aegilops juvenalis","Poaceae","unchanged"
80283,"Aegilops ligustica (Savign.) Coss., 1864",955740,"Aegilops speltoides subsp. ligustica","Poaceae","species_to_subspecies"
80288,"Aegilops neglecta Req. ex Bertol., 1835",80288,"Aegilops neglecta","Poaceae","unchanged"
80297,"Aegilops speltoides Tausch, 1837",80297,"Aegilops speltoides","Poaceae","unchanged"
80302,"Aegilops triuncialis L., 1753",80302,"Aegilops triuncialis","Poaceae","unchanged"
80304,"Aegilops ventricosa Tausch, 1837",80304,"Aegilops ventricosa","Poaceae","unchanged"
80322,"Aegopodium podagraria L., 1753",80322,"Aegopodium podagraria","Apiaceae","unchanged"
80329,"Aeluropus littoralis (Gouan) Parl., 1850",80329,"Aeluropus littoralis","Poaceae","unchanged"
80332,"Aeonium haworthii Webb & Berthel., 1840",80332,"Aeonium haworthii","Crassulaceae","unchanged"
80338,"Aesculus carnea Hayne, 1822",80338,"Aesculus carnea","Sapindaceae","unchanged"
80334,"Aesculus hippocastanum L., 1753",80334,"Aesculus hippocastanum","Sapindaceae","unchanged"
80347,"Aethionema monospermum R.Br., 1812",80347,"Aethionema monospermum","Brassicaceae","unchanged"
80350,"Aethionema saxatile (L.) R.Br., 1812",80350,"Aethionema saxatile","Brassicaceae","unchanged"
80351,"Aethionema thomasianum J.Gay, 1845",80351,"Aethionema thomasianum","Brassicaceae","unchanged"
80358,"Aethusa cynapium L., 1753",80358,"Aethusa cynapium","Apiaceae","unchanged"
80383,"Agave americana L., 1753",80383,"Agave americana","Asparagaceae","unchanged"
610762,"Agave salmiana Otto, 1842",610762,"Agave salmiana","Asparagaceae","unchanged"
80387,"Ageratina adenophora (Spreng.) R.M.King & H.Rob., 1970",80387,"Ageratina adenophora","Asteraceae","unchanged"
80410,"Agrimonia eupatoria L., 1753",80410,"Agrimonia eupatoria","Rosaceae","unchanged"
80417,"Agrimonia procera Wallr., 1840",80417,"Agrimonia procera","Rosaceae","unchanged"
80446,"Agropyron cristatum (L.) Gaertn., 1770",80446,"Agropyron cristatum","Poaceae","unchanged"
80546,"Agrostemma githago L., 1753",80546,"Agrostemma githago","Caryophyllaceae","unchanged"
80564,"Agrostis alpina Scop., 1771",80564,"Agrostis alpina","Poaceae","unchanged"
80590,"Agrostis canina L., 1753",80590,"Agrostis canina","Poaceae","unchanged"
80591,"Agrostis capillaris L., 1753",80591,"Agrostis capillaris","Poaceae","unchanged"
80593,"Agrostis castellana Boiss. & Reut., 1842",80593,"Agrostis castellana","Poaceae","unchanged"
80605,"Agrostis curtisii Kergu�len, 1976",80605,"Agrostis curtisii","Poaceae","unchanged"
80639,"Agrostis gigantea Roth, 1788",80639,"Agrostis gigantea","Poaceae","unchanged"
80645,"Agrostis hesperica Romero Garc�a, Blanca & C.Morales, 1986",80645,"Agrostis hesperica","Poaceae","unchanged"
610789,"Agrostis marysae-tortiae Portal, 2009",610789,"Agrostis marysae-tortiae","Poaceae","unchanged"
80729,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris","Poaceae","unchanged"
80735,"Agrostis scabra Willd., 1797",80735,"Agrostis scabra","Poaceae","unchanged"
80739,"Agrostis schleicheri Jord. & Verl., 1855",80739,"Agrostis schleicheri","Poaceae","unchanged"
80741,"Agrostis schraderiana Bech., 1938",80741,"Agrostis schraderiana","Poaceae","unchanged"
80759,"Agrostis stolonifera L., 1753",80759,"Agrostis stolonifera","Poaceae","unchanged"
80798,"Agrostis vinealis Schreb., 1771",80798,"Agrostis vinealis","Poaceae","unchanged"
80824,"Ailanthus altissima (Mill.) Swingle, 1916",80824,"Ailanthus altissima","Simaroubaceae","unchanged"
80846,"Aira armoricana F.Albers, 1979",80846,"Aira armoricana","Poaceae","unchanged"
80857,"Aira caryophyllea L., 1753",80857,"Aira caryophyllea","Poaceae","unchanged"
80864,"Aira cupaniana Guss., 1843",80864,"Aira cupaniana","Poaceae","unchanged"
80871,"Aira elegantissima Schur, 1853",80871,"Aira elegantissima","Poaceae","unchanged"
80902,"Aira multiculmis Dumort., 1824",80902,"Aira multiculmis","Poaceae","unchanged"
80911,"Aira praecox L., 1753",80911,"Aira praecox","Poaceae","unchanged"
80912,"Aira provincialis Jord., 1852",80912,"Aira provincialis","Poaceae","unchanged"
80923,"Aira tenorei Guss., 1827",80923,"Aira tenorei","Poaceae","unchanged"
80955,"Airopsis tenella (Cav.) Asch. & Graebn., 1899",971406,"Airopsis tenella","Poaceae","name_changed"
80978,"Ajuga chamaepitys (L.) Schreb., 1773",80978,"Ajuga chamaepitys","Lamiaceae","unchanged"
80980,"Ajuga genevensis L., 1753",80980,"Ajuga genevensis","Lamiaceae","unchanged"
80983,"Ajuga iva (L.) Schreb., 1773",80983,"Ajuga iva","Lamiaceae","unchanged"
80988,"Ajuga pyramidalis L., 1753",80988,"Ajuga pyramidalis","Lamiaceae","unchanged"
80990,"Ajuga reptans L., 1753",80990,"Ajuga reptans","Lamiaceae","unchanged"
81001,"Akebia quinata Decne., 1839",81001,"Akebia quinata","Lardizabalaceae","unchanged"
447347,"Albizia julibrissin Durazz., 1772",447347,"Albizia julibrissin","Fabaceae","unchanged"
81019,"Alcea biennis Winterl, 1788",81019,"Alcea biennis","Malvaceae","unchanged"
81023,"Alcea rosea L., 1753",81023,"Alcea rosea","Malvaceae","unchanged"
81027,"Alchemilla acutiloba Opiz, 1838",81027,"Alchemilla acutiloba","Rosaceae","unchanged"
81032,"Alchemilla alpigena Buser, 1894",81032,"Alchemilla alpigena","Rosaceae","unchanged"
81033,"Alchemilla alpina L., 1753",81033,"Alchemilla alpina","Rosaceae","unchanged"
81035,"Alchemilla amphisericea Buser, 1906",81035,"Alchemilla amphisericea","Rosaceae","unchanged"
81046,"Alchemilla borderei Buser ex E.Frohner, 1995",81046,"Alchemilla borderei","Rosaceae","unchanged"
81055,"Alchemilla colorata Buser, 1892",81055,"Alchemilla colorata","Rosaceae","unchanged"
81057,"Alchemilla conjuncta Bab., 1842",81057,"Alchemilla conjuncta","Rosaceae","unchanged"
81058,"Alchemilla connivens Buser, 1894",81058,"Alchemilla connivens","Rosaceae","unchanged"
717055,"Alchemilla controversa Buser, 1903",717055,"Alchemilla controversa","Rosaceae","unchanged"
81059,"Alchemilla coriacea Buser, 1891",81059,"Alchemilla coriacea","Rosaceae","unchanged"
81063,"Alchemilla crinita Buser, 1892",81063,"Alchemilla crinita","Rosaceae","unchanged"
81065,"Alchemilla decumbens Buser, 1894",81065,"Alchemilla decumbens","Rosaceae","unchanged"
81068,"Alchemilla demissa Buser, 1894",81068,"Alchemilla demissa","Rosaceae","unchanged"
610822,"Alchemilla diluta S.E.Fr�hner, 1992",610822,"Alchemilla diluta","Rosaceae","unchanged"
81072,"Alchemilla fallax Buser, 1894",81072,"Alchemilla fallax","Rosaceae","unchanged"
81073,"Alchemilla filicaulis Buser, 1893",81073,"Alchemilla filicaulis","Rosaceae","unchanged"
81075,"Alchemilla fissa G�nther & Schummel, 1819",81075,"Alchemilla fissa","Rosaceae","unchanged"
81076,"Alchemilla flabellata Buser, 1891",81076,"Alchemilla flabellata","Rosaceae","unchanged"
81079,"Alchemilla flexicaulis Buser, 1893",81079,"Alchemilla flexicaulis","Rosaceae","unchanged"
81083,"Alchemilla frigens Buser, 1894",81083,"Alchemilla frigens","Rosaceae","unchanged"
81086,"Alchemilla fulgens Buser, 1901",81086,"Alchemilla fulgens","Rosaceae","unchanged"
81088,"Alchemilla glabra Neygenf., 1821",81088,"Alchemilla glabra","Rosaceae","unchanged"
717719,"Alchemilla glacialis Buser",717719,"Alchemilla glacialis","Rosaceae","unchanged"
81091,"Alchemilla glaucescens Wallr., 1840",81091,"Alchemilla glaucescens","Rosaceae","unchanged"
81092,"Alchemilla glomerulans Buser, 1893",81092,"Alchemilla glomerulans","Rosaceae","unchanged"
81095,"Alchemilla grenieri J.Guillot, 1989",81095,"Alchemilla grenieri","Rosaceae","unchanged"
81096,"Alchemilla grossidens Buser, 1891",81096,"Alchemilla grossidens","Rosaceae","unchanged"
81097,"Alchemilla heteropoda Buser, 1894",81097,"Alchemilla heteropoda","Rosaceae","unchanged"
81098,"Alchemilla hoppeana (Rchb.) Dalla Torre, 1882",81098,"Alchemilla hoppeana","Rosaceae","unchanged"
81101,"Alchemilla hybrida (L.) L., 1756",81101,"Alchemilla hybrida","Rosaceae","unchanged"
81104,"Alchemilla incisa Buser, 1892",81104,"Alchemilla incisa","Rosaceae","unchanged"
81105,"Alchemilla inconcinna Buser, 1893",81059,"Alchemilla coriacea","Rosaceae","name_changed"
81117,"Alchemilla leptoclada Buser, 1894",81117,"Alchemilla leptoclada","Rosaceae","unchanged"
610820,"Alchemilla mollis (Buser) Rothm., 1934",610820,"Alchemilla mollis","Rosaceae","unchanged"
81130,"Alchemilla monticola Opiz, 1838",81130,"Alchemilla monticola","Rosaceae","unchanged"
717061,"Alchemilla montserratii S.E.Fr�hner, 1992",717061,"Alchemilla montserratii","Rosaceae","unchanged"
717063,"Alchemilla obscura Buser, 1903",717063,"Alchemilla obscura","Rosaceae","unchanged"
717064,"Alchemilla ozana S.E.Fr�hner, 1995",717064,"Alchemilla ozana","Rosaceae","unchanged"
81137,"Alchemilla pallens Buser, 1892",81137,"Alchemilla pallens","Rosaceae","unchanged"
81140,"Alchemilla pentaphyllea L., 1753",81140,"Alchemilla pentaphyllea","Rosaceae","unchanged"
717721,"Alchemilla petiolulans Buser, 1903",717721,"Alchemilla petiolulans","Rosaceae","unchanged"
81142,"Alchemilla plicata Buser, 1893",81142,"Alchemilla plicata","Rosaceae","unchanged"
717065,"Alchemilla polatschekiana S.E.Fr�hner, 1981",717065,"Alchemilla polatschekiana","Rosaceae","unchanged"
717066,"Alchemilla propinqua H.Lindb. ex Juz., 1923",717066,"Alchemilla propinqua","Rosaceae","unchanged"
892219,"Alchemilla reflexa Frost-Ols., 2016",892219,"Alchemilla reflexa","Rosaceae","unchanged"
81153,"Alchemilla reniformis Buser, 1894",81153,"Alchemilla reniformis","Rosaceae","unchanged"
81159,"Alchemilla saxatilis Buser, 1891",81159,"Alchemilla saxatilis","Rosaceae","unchanged"
81161,"Alchemilla schmidelyana Buser, 1891",81161,"Alchemilla schmidelyana","Rosaceae","unchanged"
81166,"Alchemilla splendens Christ ex Favrat, 1889",81166,"Alchemilla splendens","Rosaceae","unchanged"
81167,"Alchemilla straminea Buser, 1894",81059,"Alchemilla coriacea","Rosaceae","name_changed"
608142,"Alchemilla strigosula Buser, 1893",608142,"Alchemilla strigosula","Rosaceae","unchanged"
81170,"Alchemilla subcrenata Buser, 1893",81170,"Alchemilla subcrenata","Rosaceae","unchanged"
717722,"Alchemilla subglobosa C.G. Westerl., 1907",717722,"Alchemilla subglobosa","Rosaceae","unchanged"
81171,"Alchemilla subsericea Reut., 1854",81171,"Alchemilla subsericea","Rosaceae","unchanged"
81178,"Alchemilla tenuis Buser, 1894",81097,"Alchemilla heteropoda","Rosaceae","name_changed"
81179,"Alchemilla transiens (Buser) Buser, 1898",81179,"Alchemilla transiens","Rosaceae","unchanged"
81182,"Alchemilla trunciloba Buser, 1894",81182,"Alchemilla trunciloba","Rosaceae","unchanged"
81190,"Alchemilla vetteri Buser, 1896",81190,"Alchemilla vetteri","Rosaceae","unchanged"
81195,"Alchemilla xanthochlora Rothm., 1937",81195,"Alchemilla xanthochlora","Rosaceae","unchanged"
81260,"Alisma gramineum Lej., 1811",81260,"Alisma gramineum","Alismataceae","unchanged"
81263,"Alisma lanceolatum With., 1796",81263,"Alisma lanceolatum","Alismataceae","unchanged"
81272,"Alisma plantago-aquatica L., 1753",81272,"Alisma plantago-aquatica","Alismataceae","unchanged"
81286,"Alkanna lutea Moris, 1845",161879,"Alkanna lutea","Boraginaceae","name_changed"
81287,"Alkanna matthioli Tausch, 1824",81287,"Alkanna matthioli","Boraginaceae","unchanged"
81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",81295,"Alliaria petiolata","Brassicaceae","unchanged"
81297,"Allium acutiflorum Loisel., 1809",81297,"Allium acutiflorum","Amaryllidaceae","unchanged"
81313,"Allium ampeloprasum L., 1753",81313,"Allium ampeloprasum","Amaryllidaceae","unchanged"
81316,"Allium angulosum L., 1753",81316,"Allium angulosum","Amaryllidaceae","unchanged"
81336,"Allium carinatum L., 1753",81336,"Allium carinatum","Amaryllidaceae","unchanged"
81339,"Allium cepa L., 1753",81339,"Allium cepa","Amaryllidaceae","unchanged"
81341,"Allium chamaemoly L., 1753",81341,"Allium chamaemoly","Amaryllidaceae","unchanged"
81347,"Allium coloratum Spreng., 1825",81347,"Allium coloratum","Amaryllidaceae","unchanged"
81350,"Allium commutatum Guss., 1855",81350,"Allium commutatum","Amaryllidaceae","unchanged"
81355,"Allium consimile Jord. ex Gren., 1855",81355,"Allium consimile","Amaryllidaceae","unchanged"
81359,"Allium corsicum Jauzein, J.-M.Tison, Desch�tres & H.Couderc, 2002",81359,"Allium corsicum","Amaryllidaceae","unchanged"
610829,"Allium cyrilli Ten., 1829",610829,"Allium cyrilli","Amaryllidaceae","unchanged"
81369,"Allium ericetorum Thore, 1803",81369,"Allium ericetorum","Amaryllidaceae","unchanged"
81373,"Allium fistulosum L., 1753",81373,"Allium fistulosum","Amaryllidaceae","unchanged"
81376,"Allium flavum L., 1753",81376,"Allium flavum","Amaryllidaceae","unchanged"
81378,"Allium flexum Waldst. & Kit., 1812",81378,"Allium flexum","Amaryllidaceae","unchanged"
81421,"Allium longispathum D.Delaroche, 1811",923594,"Allium longispathum","Amaryllidaceae","name_changed"
81423,"Allium lusitanicum Lam., 1783",81423,"Allium lusitanicum","Amaryllidaceae","unchanged"
81433,"Allium moly L., 1753",81433,"Allium moly","Amaryllidaceae","unchanged"
81439,"Allium moschatum L., 1753",81439,"Allium moschatum","Amaryllidaceae","unchanged"
81440,"Allium multibulbosum Jacq., 1773",81440,"Allium multibulbosum","Amaryllidaceae","unchanged"
