"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Nuphar pumila (Timm) DC., 1821",109735,0,0,1,2,0,0
"Nymphaea alba L., 1753",109750,0,0,1,2,0,1
"Oenanthe aquatica (L.) Poir., 1798",109861,0,1,0,2,0,1
"Oenothera biennis L., 1753",109911,0,0,1,3,0,1
"Ononis natrix L., 1753",110211,0,0,0,1,0,1
"Ononis spinosa L., 1753 [nom. et typ. cons.]",110236,0,0,0,3,0,1
"Onopordum acanthium L., 1753",110244,0,1,2,3,0,1
"Orchis mascula (L.) L., 1755",110914,0,0,1,2,0,0
"Origanum vulgare L., 1753",111289,0,1,3,3,0,2
"Ornithogalum umbellatum L., 1753",111391,0,0,0,3,0,1
"Orthilia secunda (L.) House, 1921",111771,0,0,1,3,0,0
"Osmunda regalis L., 1753",111815,0,1,1,2,0,1
"Oxalis acetosella L., 1753",111859,0,0,2,3,0,1
"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch, 2012",717359,0,0,0,1,0,1
"Oxytropis campestris (L.) DC., 1802",111974,0,0,0,2,0,1
"Paeonia officinalis L., 1753",112042,0,0,1,2,0,1
"Paliurus spina-christi Mill., 1768",112061,0,1,1,3,0,1
"Papaver dubium L., 1753",112303,0,0,0,3,0,0
"Papaver rhoeas L., 1753",112355,0,0,2,2,0,1
"Parietaria judaica L., 1756",112410,0,0,0,3,0,0
"Parietaria officinalis L., 1753",112413,0,0,1,3,0,1
"Paris quadrifolia L., 1753",112421,0,0,0,3,0,1
"Parnassia palustris L., 1753",112426,0,0,0,3,0,0
"Parthenocissus tricuspidata (Siebold & Zucc.) Planch., 1887",112467,0,1,1,1,0,1
"Pastinaca sativa L., 1753",112550,0,1,3,3,0,2
"Pedicularis palustris L., 1753",112590,0,0,0,1,0,0
"Pedicularis sylvatica L., 1753",112601,0,0,0,1,0,0
"Persicaria hydropiper (L.) Spach, 1841",112739,0,0,1,2,0,1
"Persicaria maculosa Gray, 1821 [nom. cons.]",112745,0,0,0,2,0,1
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb., 1801",112783,0,0,0,3,0,1
"Petrosedum rupestre (L.) P.V.Heath, 1987",112816,0,0,0,0,0,1
"Phleum pratense L., 1753",113221,0,0,0,3,0,1
"Phragmites australis (Cav.) Trin. ex Steud., 1840",113260,0,1,2,3,1,3
"Physalis alkekengi L., 1753",113321,0,0,2,3,0,1
"Phytolacca americana L., 1753",113418,0,1,2,2,0,1
"Picea abies (L.) H.Karst., 1881",113432,0,3,1,3,0,2
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862",113525,0,0,0,2,0,0
"Pimpinella major (L.) Huds., 1762",113579,0,0,2,3,0,2
"Pimpinella saxifraga L., 1753",113596,0,1,1,3,0,2
"Pinus cembra L., 1753",113651,0,2,3,1,0,0
"Pinus halepensis Mill., 1768",113665,0,2,2,1,1,1
"Pinus mugo Turra, 1764",113682,0,2,2,3,1,1
"Pinus pinaster Aiton, 1789",113689,0,2,1,3,1,2
"Pinus pinea L., 1753",113690,0,2,3,2,0,2
"Pinus sylvestris L., 1753",113703,0,3,2,3,0,2
"Pistacia lentiscus L., 1753",113744,0,1,2,3,0,2
"Plantago afra L., 1762",113804,0,1,1,2,0,0
"Plantago arenaria Waldst. & Kit., 1802",113809,0,0,1,3,0,0
"Plantago coronopus L., 1753",113842,0,0,1,3,0,0
"Plantago lanceolata L., 1753",113893,0,1,2,3,0,1
"Plantago major L., 1753",113904,0,1,3,3,0,1
"Plantago ovata Forssk., 1775",113924,0,1,2,2,0,1
"Plumbago europaea L., 1753",114080,0,1,0,3,0,1
"Polygala vulgaris L., 1753 [nom. et typ. cons.]",114595,0,0,1,3,0,0
"Polygonatum multiflorum (L.) All., 1785",114611,0,1,0,2,0,1
"Polygonatum odoratum (Mill.) Druce, 1906",114612,0,0,0,3,0,1
"Polygonum aviculare L., 1753",114658,0,1,2,3,0,1
"Polypodium vulgare L., 1753",115016,0,0,2,3,0,1
"Populus alba L., 1753",115110,0,2,1,3,1,1
"Populus nigra L., 1753",115145,0,3,0,3,1,1
"Populus tremula L., 1753",115156,0,3,0,3,1,1
"Portulaca oleracea L., 1753",115215,0,1,2,3,0,1
"Potamogeton natans L., 1753",115280,0,0,0,3,0,1
"Potentilla argentea L., 1753",115407,0,0,0,2,0,0
"Potentilla erecta (L.) Raeusch., 1797",115470,0,0,2,3,0,1
"Potentilla reptans L., 1753",115624,0,0,1,3,0,0
"Poterium sanguisorba L., 1753",115789,0,0,1,2,0,1
"Primula elatior (L.) Hill, 1765",115865,0,0,0,3,0,1
"Primula farinosa L., 1753",115868,0,0,0,2,0,2
"Primula veris L., 1753",115918,0,0,2,3,0,1
"Prunella vulgaris L., 1753",116012,0,0,1,3,0,0
"Prunus avium (L.) L., 1755",116043,0,3,2,3,0,2
"Prunus laurocerasus L., 1753",116089,0,2,2,2,0,1
"Prunus mahaleb L., 1753",116096,0,2,1,3,0,1
"Prunus padus L., 1753",116109,0,2,2,3,0,1
"Prunus spinosa L., 1753",116142,0,2,3,3,0,2
"Pseudotsuga menziesii (Mirb.) Franco, 1950",116216,0,2,1,2,0,1
"Pteridium aquilinum (L.) Kuhn, 1879",116265,1,1,3,3,0,2
"Pulicaria dysenterica (L.) Bernh., 1800",116392,0,0,0,3,0,0
"Pulmonaria affinis Jord., 1854",116407,0,0,0,1,0,0
"Pulmonaria australis (Murr) W.Sauer, 1975",116412,0,0,0,1,0,0
"Pulmonaria longifolia (Bastard) Boreau, 1857",116416,0,0,0,1,0,1
"Pulmonaria officinalis L., 1753",116422,0,0,0,2,0,1
"Pulsatilla vernalis (L.) Mill., 1768",116459,0,0,0,2,0,0
"Pulsatilla vulgaris Mill., 1768",116460,0,0,0,3,0,1
"Pyrola rotundifolia L., 1753",116547,0,0,0,3,0,0
"Pyrus communis L., 1753",116574,0,2,2,3,0,1
"Quercus ilex L., 1753 [nom. et typ. cons. prop.]",116704,0,2,3,3,0,1
"Quercus petraea (Matt.) Liebl., 1784",521658,0,2,2,3,0,1
"Quercus pubescens Willd., 1796 [nom. et typ. cons.]",116751,0,3,1,3,0,1
"Quercus pyrenaica Willd., 1805",116754,0,1,0,0,0,0
"Quercus robur L., 1753",116759,0,2,2,3,0,1
"Ramonda myconi (L.) Rchb., 1831",116876,0,0,0,1,0,1
"Ranunculus acris L., 1753",116903,0,0,0,3,0,1
"Ranunculus bulbosus L., 1753",116952,0,0,0,2,0,1
"Ranunculus repens L., 1753",117201,0,0,0,3,0,1
"Ranunculus sceleratus L., 1753",117224,0,0,0,3,0,1
"Reseda luteola L., 1753",117459,0,1,1,3,0,0
"Reynoutria japonica Houtt., 1777",117503,0,0,1,1,0,1
"Rhamnus cathartica L., 1753",117530,0,2,0,3,0,2
"Rhodiola rosea L., 1753",117668,0,0,0,2,0,1
"Rhododendron ferrugineum L., 1753",117679,0,1,0,3,0,1
"Rhus coriaria L., 1753",117712,0,1,2,3,0,1
"Ribes rubrum L., 1753",117774,0,1,2,3,0,1
"Ribes uva-crispa L., 1753",117787,0,1,2,3,0,2
"Ricinus communis L., 1753",117806,0,1,2,2,0,1
"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",117874,0,1,1,2,0,1
"Rosa arvensis Huds., 1762",118016,0,0,0,1,0,0
"Rosa canina L., 1753",118073,0,1,2,3,0,1
"Rosa pendulina L., 1753",118397,0,0,0,1,0,0
"Rubia peregrina L., 1753",118916,0,0,0,3,0,0
"Rubia tinctorum L., 1753",118920,0,1,0,2,0,1
"Rubus fruticosus L., 1753 [nom. et typ. cons.]",119097,0,0,1,2,0,0
"Rubus idaeus L., 1753",119149,0,0,3,3,0,1
"Rumex acetosa L., 1753 [nom. et typ. cons.]",119418,0,1,2,3,0,1
"Rumex acetosella L., 1753",119419,0,0,1,2,0,1
"Rumex alpinus L., 1753 [nom. et typ. cons.]",119435,0,1,1,3,0,1
"Rumex crispus L., 1753",119473,0,1,3,3,0,1
"Rumex obtusifolius L., 1753",119550,0,1,1,3,0,1
"Rumex patientia L., 1753",119558,0,0,2,2,0,0
"Ruscus aculeatus L., 1753",119698,1,1,4,4,1,1
"Sagittaria sagittifolia L., 1753",119860,0,0,1,3,0,2
"Salicornia europaea L., 1753",119881,0,1,3,2,0,1
"Salicornia fruticosa (L.) L., 1762",119883,0,0,1,0,0,0
"Salicornia perennis Mill., 1768",119892,0,0,1,0,0,0
"Salix alba L., 1753 [nom. et typ. cons.]",119915,0,2,1,2,0,1
"Salix caprea L., 1753",119977,0,3,0,2,0,1
"Salix myrsinifolia Salisb., 1796",120135,0,0,0,2,0,1
"Salix purpurea L., 1753",120189,0,2,0,3,1,2
"Salvia fruticosa Mill., 1768",120642,0,1,2,2,0,1
"Salvia glutinosa L., 1753",120643,0,0,1,2,0,0
"Salvia officinalis L., 1753",120678,0,1,3,3,0,1
"Salvia pratensis L., 1753",120685,0,0,1,2,0,1
"Salvia rosmarinus Spenn., 1835",1027822,0,1,3,3,0,2
"Sambucus ebulus L., 1753",120712,0,1,2,3,0,1
"Sambucus nigra L., 1753",120717,0,2,3,3,0,2
"Sambucus racemosa L., 1753",120720,0,2,2,3,0,1
"Sanguisorba officinalis L., 1753",120758,0,1,2,2,0,1
"Sanicula europaea L., 1753",120772,0,0,0,3,0,0
"Santolina chamaecyparissus L., 1753",120785,0,0,1,3,0,2
"Saponaria ocymoides L., 1753",120823,0,0,0,0,0,1
"Saponaria officinalis L., 1753",120824,0,0,0,3,0,2
"Satureja montana L., 1753",120908,0,1,3,2,0,2
"Saxifraga granulata L., 1753",121065,0,0,0,2,0,0
"Scabiosa columbaria L., 1753",121334,0,1,1,2,0,1
"Scandix pecten-veneris L., 1753",121449,0,0,1,1,0,0
"Scilla bifolia L., 1753",121606,0,0,0,2,0,1
"Scleranthus annuus L., 1753",121823,0,0,0,2,0,0
"Scrophularia auriculata L., 1753 [nom. et typ. cons.]",121999,0,0,0,2,0,1
"Scrophularia nodosa L., 1753",122028,0,0,0,3,0,1
"Scutellaria galericulata L., 1753",122069,0,0,0,3,0,0
"Sedum acre L., 1753",122101,0,0,1,3,0,1
"Sedum album L., 1753",122106,0,0,1,3,0,1
"Sedum cepaea L., 1753",122140,0,0,0,1,0,0
"Sempervivum arachnoideum L., 1753",122419,0,0,0,2,0,1
"Sempervivum montanum L., 1753",122467,0,0,0,1,0,1
"Sempervivum tectorum L., 1753",122493,0,0,1,3,0,1
"Senecio doronicum (L.) L., 1759",122593,0,0,0,1,0,0
"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd., 1803",122675,0,0,0,1,0,0
"Senecio sylvaticus L., 1753",122726,0,0,0,2,0,0
"Senecio vulgaris L., 1753",122745,0,0,0,3,0,1
"Serratula tinctoria L., 1753",122971,0,0,0,3,0,0
"Sideritis hyssopifolia L., 1753",123258,0,0,1,1,0,0
"Silene vulgaris (Moench) Garcke, 1869",123683,0,0,1,2,0,0
"Silybum marianum (L.) Gaertn., 1791",123705,0,0,2,3,0,2
"Sinapis alba L., 1753",123711,0,0,3,3,0,2
"Sinapis arvensis L., 1753",123713,0,0,2,3,0,1
"Sisymbrium officinale (L.) Scop., 1772",123863,0,0,2,3,1,0
"Solanum dulcamara L., 1753",124034,0,1,0,3,0,1
"Solanum nigrum L., 1753",124080,0,0,1,3,1,0
"Soldanella alpina L., 1753",124139,0,0,0,1,0,0
"Solidago canadensis L., 1753",124164,0,0,1,2,0,1
"Solidago gigantea Aiton, 1789",124168,0,0,0,2,0,1
"Solidago virgaurea L., 1753",124205,0,0,2,3,0,0
"Sonchus arvensis L., 1753",124232,0,0,2,2,0,1
"Sonchus asper (L.) Hill, 1769",124233,0,1,1,2,0,1
"Sorbus aucuparia L., 1753",124308,0,3,3,3,0,1
"Spartium junceum L., 1753",124453,0,2,1,3,0,2
"Spergula arvensis L., 1753",124499,0,0,1,2,0,1
"Spergularia rubra (L.) J.Presl & C.Presl, 1819",124578,0,0,0,3,0,1
"Stachys annua (L.) L., 1763",124741,0,0,0,1,0,0
"Stachys arvensis (L.) L., 1763",124744,0,0,0,2,0,1
"Stachys palustris L., 1753",124798,0,0,0,2,0,1
"Stachys sylvatica L., 1753",124814,0,0,1,3,0,0
"Stellaria aquatica (L.) Scop., 1771",124970,0,0,0,2,0,1
"Stellaria media (L.) Vill., 1789",125014,0,1,2,3,0,1
"Succisa pratensis Moench, 1794",125295,0,1,0,3,0,1
"Symphoricarpos albus (L.) S.F.Blake, 1914",125324,0,0,0,1,0,1
"Symphytum officinale L., 1753",125355,0,1,3,3,0,1
"Tamarix gallica L., 1753",125426,0,2,1,3,1,1
"Tanacetum parthenium (L.) Sch.Bip., 1844",125469,0,1,2,3,0,1
"Tanacetum vulgare L., 1753",125474,0,1,2,2,0,1
"Taraxacum dens-leonis Desf., 1799",125568,0,0,1,1,0,1
"Taraxacum officinale F.H.Wigg., 1780",717630,0,0,3,3,0,2
"Taxus baccata L., 1753",125816,0,3,3,3,0,1
"Teucrium chamaedrys L., 1753",125981,0,0,0,3,0,1
"Teucrium marum L., 1753",126006,0,0,0,3,0,1
"Teucrium montanum L., 1753",126008,0,0,0,2,0,0
"Teucrium polium L., 1753",126019,0,0,1,1,0,1
"Teucrium scorodonia L., 1753",126035,0,0,1,3,0,0
"Thymus serpyllum L., 1753",126573,0,1,2,3,0,1
"Thymus vulgaris L., 1753",126582,0,1,2,3,0,2
"Tilia cordata Mill., 1768",126628,0,2,2,3,0,1
"Tilia platyphyllos Scop., 1771 [nom. et typ. cons.]",126650,0,3,2,3,0,2
"Tragopogon pratensis L., 1753",127029,0,0,1,3,0,1
"Tribulus terrestris L., 1753",127131,0,0,1,3,0,1
"Trifolium alpinum L., 1753",127219,0,0,0,2,0,1
"Trifolium arvense L., 1753",127230,0,0,0,2,0,2
"Trifolium pratense L., 1753",127439,0,0,3,2,1,2
"Trollius europaeus L., 1753",127872,0,0,0,3,0,1
"Tussilago farfara L., 1753",128042,0,0,3,3,1,2
"Typha latifolia L., 1753",128077,0,2,2,3,1,1
"Ulmus minor Mill., 1768",128175,0,1,0,2,0,1
"Umbilicus rupestris (Salisb.) Dandy, 1948",128215,0,0,1,3,0,1
"Urtica dioica L., 1753",128268,0,2,3,3,0,3
"Urtica urens L., 1753",128298,0,0,1,3,0,1
"Vaccinium myrtillus L., 1753",128345,1,1,4,4,0,2
"Vaccinium vitis-idaea L., 1753",128355,1,0,4,4,1,1
"Valeriana celtica L., 1753",128391,0,0,0,2,0,0
"Valeriana montana L., 1753",128416,0,0,0,1,0,0
"Valeriana officinalis L., 1753",128419,0,1,2,3,0,2
"Valerianella locusta (L.) Laterr., 1821",128476,0,0,2,2,0,1
"Veratrum album L., 1753",128520,0,0,0,3,0,1
"Verbascum densiflorum Bertol., 1810",128567,0,0,0,3,0,1
"Verbascum nigrum L., 1753",128615,0,0,0,3,0,1
"Verbascum thapsus L., 1753",128660,0,1,1,3,0,0
"Verbena officinalis L., 1753",128754,0,1,3,3,0,2
"Veronica beccabunga L., 1753",128808,0,1,1,3,0,1
"Veronica chamaedrys L., 1753",128832,0,0,1,3,0,0
"Veronica officinalis L., 1753",128938,0,0,2,3,0,0
"Viburnum lantana L., 1753",129083,0,2,0,2,0,2
"Viburnum opulus L., 1753",129087,0,2,1,3,0,1
"Vinca major L., 1753",129468,0,0,0,3,0,2
"Vinca minor L., 1753",129470,0,0,0,3,0,1
"Vincetoxicum hirundinaria Medik., 1790",129477,0,0,0,3,0,1
"Viola arvensis Murray, 1770",129506,0,0,0,1,0,0
"Viola biflora L., 1753",129520,0,0,1,2,0,0
"Viola calcarata L., 1753",129527,0,0,0,1,0,0
"Viola canina L., 1753",129529,0,0,1,3,0,0
"Viola collina Besser, 1816",129539,0,0,1,0,0,0
"Viola lutea Huds., 1762",129614,0,0,0,1,0,0
"Viola odorata L., 1753",129632,0,1,3,3,0,1
"Viola palustris L., 1753",129639,0,0,0,2,0,0
"Viola reichenbachiana Jord. ex Boreau, 1857",129666,0,0,0,2,0,0
"Viola rupestris F.W.Schmidt, 1791",129674,0,0,0,1,0,0
"Viola tricolor L., 1753",129723,0,0,2,3,0,1
"Viscum album L., 1753",129906,0,1,0,4,1,2
"Visnaga daucoides Gaertn., 1788",129910,0,1,0,2,0,2
"Xanthium spinosum L., 1753",130491,0,0,0,3,0,1
"Xanthium strumarium L., 1753",130492,0,1,1,3,0,1
"Ziziphus jujuba Mill., 1768 [nom. cons.]",162352,0,2,3,3,0,1
