"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Beta vulgaris L., 1753",85820,0,1,1,1,0,1
"Betonica officinalis L., 1753",85852,0,0,0,2,0,1
"Betula pendula Roth, 1788",85903,0,3,2,3,0,2
"Betula pubescens Ehrh., 1791",85904,0,2,1,2,0,1
"Bidens pilosa L., 1753",85972,0,1,2,2,0,1
"Bistorta officinalis Delarbre, 1800",86081,0,0,2,2,0,1
"Blackstonia perfoliata (L.) Huds., 1762",86087,0,0,0,1,0,0
"Blitum bonus-henricus (L.) Rchb., 1832",994837,0,0,2,2,0,2
"Borago officinalis L., 1753",86156,0,1,3,3,0,2
"Briza media L., 1753",86490,0,0,0,2,0,1
"Bryonia dioica Jacq., 1774",86828,0,0,0,2,0,0
"Buglossoides arvensis (L.) I.M.Johnst., 1954",86890,0,0,0,3,0,0
"Bunias erucago L., 1753",86969,0,0,0,1,0,0
"Bupleurum falcatum L., 1753",87044,0,0,0,3,0,1
"Buxus sempervirens L., 1753",87143,0,3,1,3,0,2
"Calendula arvensis L., 1763",87420,0,0,0,3,0,1
"Calluna vulgaris (L.) Hull, 1808",87501,0,0,1,3,0,1
"Caltha palustris L., 1753",87540,0,0,1,3,0,1
"Campanula patula L., 1753",87690,0,0,1,1,0,0
"Campanula rapunculus L., 1753",87712,0,0,2,2,0,0
"Campanula rotundifolia L., 1753",87720,0,0,1,2,0,1
"Campanula trachelium L., 1753",87742,0,0,1,2,0,1
"Capsella bursa-pastoris (L.) Medik., 1792",87849,0,1,3,3,1,1
"Cardamine pratensis L., 1753",87964,0,0,2,3,0,0
"Carlina acaulis L., 1753",89147,0,1,1,3,0,1
"Carlina vulgaris L., 1753",89180,0,0,0,3,0,1
"Carpinus betulus L., 1753",89200,0,2,0,3,0,1
"Carthamus lanatus L., 1753",89232,0,0,0,2,0,1
"Carum carvi L., 1753",89250,0,1,3,3,0,2
"Castanea sativa Mill., 1768",89304,0,2,2,2,0,1
"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855",89452,0,2,0,2,0,2
"Celtis australis L., 1753",89468,0,2,1,2,0,1
"Centaurea benedicta (L.) L., 1763",89531,0,1,1,2,0,2
"Centaurea calcitrapa L., 1753",89542,0,0,0,3,0,1
"Centaurea jacea L., 1753",89619,0,0,0,3,0,1
"Centaurea nigra L., 1753",89653,0,0,0,3,0,0
"Centaurium erythraea Rafn, 1800",89840,0,0,2,3,0,1
"Centranthus ruber (L.) DC., 1805",89888,0,0,0,3,0,2
"Ceratonia siliqua L., 1753",447038,0,2,3,2,0,1
"Cercis siliquastrum L., 1753",90234,0,2,1,1,0,1
"Chamaemelum nobile (L.) All., 1785",90470,0,1,2,2,0,2
"Chamaenerion angustifolium (L.) Scop., 1771",90483,0,0,2,3,0,2
"Chamaenerion dodonaei (Vill.) Schur, 1853",1019304,0,0,1,1,0,0
