"NOM_VALIDE","CD_REF","SOURCE","SELECTED_TYPOLOGY_ENG"
"Arctostaphylos uva-ursi (L.) Spreng., 1825",83528,"KEW","Other"
"Armeria maritima (Mill.) Willd., 1809",83832,"KEW","Other"
"Arnica montana L., 1753",83874,"KEW","Other"
"Artemisia annua L., 1753",83938,"KEW","Other"
"Artemisia maritima L., 1753",84003,"KEW","Other"
"Arum italicum Mill., 1768",84110,"KEW","Other"
"Arum maculatum L., 1753",84112,"KEW","Other"
"Aruncus dioicus (Walter) Fernald, 1939",84135,"KEW","Other"
"Asparagus officinalis L., 1753",84279,"KEW","Other"
"Asperula tinctoria L., 1753",84330,"KEW","Other"
"Asphodelus albus Mill., 1768",84338,"KEW","Other"
"Asplenium adiantum-nigrum L., 1753",84458,"KEW","Other"
"Astrantia major L., 1753",84936,"KEW","Other"
"Bellis perennis L., 1753",85740,"KEW","Other"
"Betonica officinalis L., 1753",85852,"KEW","Other"
"Betula pendula Roth, 1788",85903,"KEW","Other"
"Betula pubescens Ehrh., 1791",85904,"KEW","Other"
"Bistorta officinalis Delarbre, 1800",86081,"KEW","Other"
"Borago officinalis L., 1753",86156,"KEW","Other"
"Bupleurum falcatum L., 1753",87044,"KEW","Other"
"Buxus sempervirens L., 1753",87143,"KEW","Other"
"Calluna vulgaris (L.) Hull, 1808",87501,"KEW","Other"
"Caltha palustris L., 1753",87540,"KEW","Other"
"Campanula rotundifolia L., 1753",87720,"KEW","Other"
"Campanula trachelium L., 1753",87742,"KEW","Other"
"Carpinus betulus L., 1753",89200,"KEW","Other"
"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855",89452,"KEW","Other"
"Celtis australis L., 1753",89468,"KEW","Other"
"Cyanus segetum Hill, 1762",93680,"KEW","Other"
"Cyanus montanus (L.) Hill, 1768",93673,"KEW","Other"
"Centaurium erythraea Rafn, 1800",89840,"KEW","Other"
"Centranthus ruber (L.) DC., 1805",89888,"KEW","Other"
"Cercis siliquastrum L., 1753",90234,"KEW","Other"
"Chamaemelum nobile (L.) All., 1785",90470,"KEW","Other"
"Chelidonium majus L., 1753",90669,"KEW","Other"
"Cistus ladanifer L., 1753",91680,"KEW","Other"
"Clematis vitalba L., 1753",91886,"KEW","Other"
"Clinopodium nepeta (L.) Kuntze, 1891",91910,"KEW","Other"
"Clinopodium vulgare L., 1753",91912,"KEW","Other"
"Colchicum autumnale L., 1753",92127,"KEW","Other"
"Conium maculatum L., 1753",92237,"KEW","Other"
"Delphinium consolida L., 1753",94572,"KEW","Other"
"Convallaria majalis L., 1753",92282,"KEW","Other"
"Coriaria myrtifolia L., 1753",92467,"KEW","Other"
"Cormus domestica (L.) Spach, 1834",92488,"KEW","Other"
"Cornus mas L., 1753",92497,"KEW","Other"
"Cornus sanguinea L., 1753",92501,"KEW","Other"
"Corylus avellana L., 1753",92606,"KEW","Other"
"Cotinus coggygria Scop., 1771",92631,"KEW","Other"
"Crataegus germanica (L.) Kuntze, 1891",92854,"KEW","Other"
"Crataegus laevigata (Poir.) DC., 1825",92864,"KEW","Other"
"Crataegus monogyna Jacq., 1775",92876,"KEW","Other"
"Cupressus sempervirens L., 1753",93590,"KEW","Other"
"Cytisus scoparius (L.) Link, 1822",94164,"KEW","Other"
"Daphne laureola L., 1753",94432,"KEW","Other"
"Daphne mezereum L., 1753",94435,"KEW","Other"
"Datura stramonium L., 1753",94489,"KEW","Other"
"Dianthus carthusianorum L., 1753",94716,"KEW","Other"
"Dictamnus albus L., 1753",94923,"KEW","Other"
"Digitalis purpurea L., 1753",94959,"KEW","Other"
"Dipsacus fullonum L., 1753",95149,"KEW","Other"
"Doronicum pardalianches L., 1753",95239,"KEW","Other"
"Dracunculus vulgaris Schott, 1832",95425,"KEW","Other"
"Drosera anglica Huds., 1778",95436,"KEW","Other"
"Drosera rotundifolia L., 1753",95442,"KEW","Other"
"Dryas octopetala L., 1753",95461,"KEW","Other"
"Dryopteris filix-mas (L.) Schott, 1834",95567,"KEW","Other"
"Dysphania botrys (L.) Mosyakin & Clemants, 2002",611755,"KEW","Other"
"Ecballium elaterium (L.) A.Rich., 1824",95662,"KEW","Other"
"Echium vulgare L., 1753",95793,"KEW","Other"
"Hippophae rhamnoides L., 1753",102863,"KEW","Other"
"Chamaenerion angustifolium (L.) Scop., 1771",90483,"KEW","Other"
"Equisetum hyemale L., 1753",96523,"KEW","Other"
"Erica ciliaris L., 1753",96665,"KEW","Other"
"Erica cinerea L., 1753",96667,"KEW","Other"
"Erica scoparia L., 1753",96691,"KEW","Other"
"Euonymus europaeus L., 1753",609982,"KEW","Other"
"Eupatorium cannabinum L., 1753",97434,"KEW","Other"
"Euphorbia amygdaloides L., 1753",97452,"KEW","Other"
"Euphorbia cyparissias L., 1753",97490,"KEW","Other"
"Ferula communis L., 1753",98020,"KEW","Other"
"Ficaria verna Huds., 1762",98651,"KEW","Other"
"Filipendula ulmaria (L.) Maxim., 1879",98717,"KEW","Other"
"Filipendula vulgaris Moench, 1794",98718,"KEW","Other"
"Fragaria vesca L., 1753",98865,"KEW","Other"
"Frangula alnus Mill., 1768",98887,"KEW","Other"
"Fraxinus angustifolia Vahl, 1804 [nom. cons.]",98910,"KEW","Other"
"Fraxinus excelsior L., 1753",98921,"KEW","Other"
"Fraxinus ornus L., 1753",98933,"KEW","Other"
"Fritillaria meleagris L., 1753",98977,"KEW","Other"
"Galanthus nivalis L., 1753",99233,"KEW","Other"
"Galium mollugo L., 1753",99473,"KEW","Other"
"Galium odoratum (L.) Scop., 1771",99488,"KEW","Other"
"Genista tinctoria L., 1753",99828,"KEW","Other"
"Gentiana acaulis L., 1753",99854,"KEW","Other"
"Gentiana lutea L., 1753",99903,"KEW","Other"
"Geranium robertianum L., 1753",100142,"KEW","Other"
"Geranium sanguineum L., 1753",100149,"KEW","Other"
"Gratiola officinalis L., 1753",100576,"KEW","Other"
"Hedera helix L., 1753",100787,"KEW","Other"
"Helianthemum nummularium (L.) Mill., 1768",100956,"KEW","Other"
"Helleborus foetidus L., 1753",101188,"KEW","Other"
"Helleborus viridis L., 1753",101202,"KEW","Other"
"Hesperis matronalis L., 1753",101460,"KEW","Other"
"Humulus lupulus L., 1753",103031,"KEW","Other"
"Hypericum androsaemum L., 1753",103245,"KEW","Other"
"Ilex aquifolium L., 1753",103514,"KEW","Other"
"Impatiens balsamina L., 1753",445494,"KEW","Other"
"Iris pseudacorus L., 1753",103772,"KEW","Other"
"Jacobaea maritima (L.) Pelser & Meijden, 2005",610643,"KEW","Other"
"Juniperus communis L., 1753",104397,"KEW","Other"
"Juniperus sabina L., 1753",104413,"KEW","Other"
"Knautia arvensis (L.) Coult., 1828",104516,"KEW","Other"
"Lactuca serriola L., 1756",104775,"KEW","Other"
"Lamium album L., 1753",104854,"KEW","Other"
"Lamium galeobdolon (L.) L., 1759",104876,"KEW","Other"
"Lamium maculatum (L.) L., 1763",104889,"KEW","Other"
"Larix decidua Mill., 1768",105042,"KEW","Other"
"Lathyrus latifolius L., 1753",105211,"KEW","Other"
"Lathyrus sylvestris L., 1753",105266,"KEW","Other"
"Laurus nobilis L., 1753",105295,"KEW","Other"
"Lavandula angustifolia Mill., 1768",105297,"KEW","Other"
"Lavandula latifolia Medik., 1784",105312,"KEW","Other"
"Lavandula stoechas L., 1753",105321,"KEW","Other"
"Leontopodium nivale (Ten.) A.L.P.Huet ex Hand.-Mazz., 1927",611031,"KEW","Other"
"Leucanthemum vulgare Lam., 1779",105817,"KEW","Other"
