"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
84053,"Artemisia umbelliformis Lam., 1783",1,1,1,1,1,1,1,1,1,1,1
84061,"Artemisia vulgaris L., 1753",1,1,1,1,1,1,1,1,1,1,1
84110,"Arum italicum Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
84112,"Arum maculatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
84135,"Aruncus dioicus (Walter) Fernald, 1939",1,1,1,1,1,1,1,1,1,1,1
84173,"Arundo donax L., 1753",1,1,1,1,1,1,1,1,1,1,1
84195,"Arundo micrantha Lam., 1791",1,1,1,1,1,1,1,1,1,1,1
84230,"Asarum europaeum L., 1753",1,1,1,1,1,1,1,1,1,1,1
84251,"Asclepias syriaca L., 1753",1,1,1,1,1,1,1,1,1,1,1
84279,"Asparagus officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
84306,"Asperula cynanchica L., 1753",1,1,1,1,1,1,1,1,1,1,1
84330,"Asperula tinctoria L., 1753",1,1,1,1,1,1,1,1,1,1,1
84338,"Asphodelus albus Mill., 1768",1,1,1,1,1,1,1,1,1,1,1
84458,"Asplenium adiantum-nigrum L., 1753",1,1,1,1,1,1,1,1,1,1,1
84472,"Asplenium ceterach L., 1753",1,1,1,1,1,1,1,1,1,1,1
84524,"Asplenium scolopendrium L., 1753",1,1,1,1,1,1,1,1,1,1,1
84936,"Astrantia major L., 1753",1,1,1,1,1,1,1,1,1,1,1
85152,"Atropa bella-donna L., 1753",1,1,1,1,1,1,1,1,1,1,1
85502,"Ballota nigra L., 1753",1,1,1,1,1,1,1,1,1,1,1
85740,"Bellis perennis L., 1753",1,1,1,1,1,1,1,1,1,1,1
85745,"Bellis sylvestris Cirillo, 1792",1,1,1,1,1,1,1,1,1,1,1
85774,"Berberis vulgaris L., 1753",1,1,1,1,1,1,1,1,1,1,1
85820,"Beta vulgaris L., 1753",1,1,1,1,1,1,1,1,1,1,1
85852,"Betonica officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
85903,"Betula pendula Roth, 1788",1,1,1,1,1,1,1,1,1,1,1
85904,"Betula pubescens Ehrh., 1791",1,1,1,1,1,1,1,1,1,1,1
85972,"Bidens pilosa L., 1753",1,1,1,1,1,1,1,1,1,1,1
