CD_REF,NOM_VALIDE,binomial_acc_name,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses
83481,"Arbutus unedo L., 1753",Arbutus unedo,0,1,0,0,1,1,1,1,0,0
83499,"Arctium lappa L., 1753",Arctium lappa,0,0,0,0,1,0,1,1,1,0
83502,"Arctium minus (Hill) Bernh., 1800",Arctium minus,0,0,0,0,0,0,0,1,1,0
83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",Arctostaphylos uva-ursi,0,1,0,0,0,1,1,1,0,0
83653,"Arenaria serpyllifolia L., 1753",Arenaria serpyllifolia,0,0,0,0,1,0,0,1,0,0
117874,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",Roemeria argemone,1,1,1,0,1,0,1,1,1,1
83714,"Argentina anserina (L.) Rydb., 1899",Argentina anserina,0,0,0,0,0,0,0,1,0,0
83777,"Aristolochia clematitis L., 1753",Aristolochia clematitis,0,0,0,0,0,0,0,1,0,0
83793,"Aristolochia rotunda L., 1753",Aristolochia rotunda,0,0,0,0,0,0,0,1,0,0
83832,"Armeria maritima (Mill.) Willd., 1809",Armeria maritima,0,1,0,0,0,0,0,1,0,0
83866,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800",Armoracia rusticana,0,0,0,1,1,0,1,1,1,0
83874,"Arnica montana L., 1753",Arnica montana,0,1,0,0,0,0,1,1,1,0
83912,"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819",Arrhenatherum elatius,1,1,0,0,0,0,0,1,0,0
83933,"Artemisia absinthium L., 1753",Artemisia absinthium,0,0,0,0,1,0,1,1,1,0
83938,"Artemisia annua L., 1753",Artemisia annua,0,1,0,0,1,0,1,1,0,0
83973,"Artemisia genipi Weber, 1775",Artemisia genipi,0,0,0,0,1,0,0,1,0,0
83974,"Artemisia glacialis L., 1763",Artemisia glacialis,0,0,0,0,1,0,1,1,0,0
84003,"Artemisia maritima L., 1753",Artemisia maritima,0,1,0,0,0,0,1,1,1,0
84053,"Artemisia umbelliformis Lam., 1783",Artemisia umbelliformis,0,0,0,0,1,0,0,1,0,0
84061,"Artemisia vulgaris L., 1753",Artemisia vulgaris,0,0,0,0,1,0,1,1,1,1
84110,"Arum italicum Mill., 1768",Arum italicum,0,1,0,0,0,0,1,1,0,0
84112,"Arum maculatum L., 1753",Arum maculatum,0,1,0,0,0,0,1,1,1,0
84135,"Aruncus dioicus (Walter) Fernald, 1939",Aruncus dioicus,0,1,0,0,0,0,0,1,0,0
84173,"Arundo donax L., 1753",Arundo donax,1,1,1,0,1,0,1,1,0,1
84230,"Asarum europaeum L., 1753",Asarum europaeum,0,0,0,0,0,0,1,1,0,0
84251,"Asclepias syriaca L., 1753",Asclepias syriaca,0,0,0,0,1,1,1,1,1,0
84279,"Asparagus officinalis L., 1753",Asparagus officinalis,0,1,0,1,1,0,0,1,1,0
84330,"Asperula tinctoria L., 1753",Asperula tinctoria,0,1,0,0,0,0,0,1,0,0
84338,"Asphodelus albus Mill., 1768",Asphodelus albus,0,1,0,0,0,1,0,1,0,0
84458,"Asplenium adiantum-nigrum L., 1753",Asplenium adiantum-nigrum,0,1,0,0,0,0,0,1,0,0
84472,"Asplenium ceterach L., 1753",Asplenium ceterach,0,0,0,0,0,0,0,1,0,0
84524,"Asplenium scolopendrium L., 1753",Asplenium scolopendrium,0,0,0,0,0,0,0,1,0,0
84936,"Astrantia major L., 1753",Astrantia major,0,1,0,0,0,0,0,1,1,0
85152,"Atropa bella-donna L., 1753",Atropa bella-donna,0,0,0,0,0,0,1,1,1,1
85502,"Ballota nigra L., 1753",Ballota nigra,0,0,0,0,0,1,0,1,0,0
761965,"Barbarea vulgaris W.T.Aiton, 1812",Barbarea vulgaris,0,0,0,1,1,1,0,1,1,0
85740,"Bellis perennis L., 1753",Bellis perennis,0,1,0,0,0,0,0,1,0,0
85774,"Berberis vulgaris L., 1753",Berberis vulgaris,0,0,0,0,1,0,1,1,1,0
85820,"Beta vulgaris L., 1753",Beta vulgaris,1,1,1,1,1,0,1,1,1,0
85852,"Betonica officinalis L., 1753",Betonica officinalis,0,1,0,0,0,0,0,1,0,0
85903,"Betula pendula Roth, 1788",Betula pendula,0,1,0,0,1,0,1,1,0,0
85904,"Betula pubescens Ehrh., 1791",Betula pubescens,0,1,0,0,0,0,1,1,0,0
85972,"Bidens pilosa L., 1753",Bidens pilosa,1,1,0,1,1,1,1,1,0,1
86081,"Bistorta officinalis Delarbre, 1800",Bistorta officinalis,0,1,0,0,1,0,0,1,0,0
994837,"Blitum bonus-henricus (L.) Rchb., 1832",Blitum bonus-henricus,0,0,0,1,1,0,0,1,0,0
86156,"Borago officinalis L., 1753",Borago officinalis,0,1,0,1,1,1,1,1,1,0
86490,"Briza media L., 1753",Briza media,1,1,0,0,0,0,0,1,0,0
86828,"Bryonia dioica Jacq., 1774",Bryonia cretica,0,0,0,0,0,0,0,1,0,0
86890,"Buglossoides arvensis (L.) I.M.Johnst., 1954",Buglossoides arvensis,0,0,0,0,0,0,0,1,0,0
87044,"Bupleurum falcatum L., 1753",Bupleurum falcatum,0,1,0,0,0,0,0,1,0,0
87143,"Buxus sempervirens L., 1753",Buxus sempervirens,0,1,0,0,0,0,1,1,1,0
87420,"Calendula arvensis L., 1763",Calendula arvensis,0,0,0,0,0,0,0,1,0,0
87501,"Calluna vulgaris (L.) Hull, 1808",Calluna vulgaris,0,1,0,0,0,1,0,1,0,0
87540,"Caltha palustris L., 1753",Caltha palustris,0,1,0,0,1,0,0,1,1,0
92353,"Convolvulus sepium L., 1753",Calystegia sepium,0,0,0,0,0,0,0,1,0,0
87712,"Campanula rapunculus L., 1753",Campanula rapunculus,0,0,0,0,1,0,0,1,0,0
87720,"Campanula rotundifolia L., 1753",Campanula rotundifolia,0,1,0,0,0,0,0,1,0,0
87742,"Campanula trachelium L., 1753",Campanula trachelium,0,1,0,0,0,0,0,1,0,0
87849,"Capsella bursa-pastoris (L.) Medik., 1792",Capsella bursa-pastoris,1,0,0,1,1,0,1,1,1,0
87964,"Cardamine pratensis L., 1753",Cardamine pratensis,0,0,0,0,1,0,0,1,0,0
89147,"Carlina acaulis L., 1753",Carlina acaulis,0,0,0,0,0,0,1,1,0,0
89180,"Carlina vulgaris L., 1753",Carlina vulgaris,0,0,0,0,0,0,0,1,0,0
89200,"Carpinus betulus L., 1753",Carpinus betulus,0,1,0,0,0,0,1,1,0,0
89232,"Carthamus lanatus L., 1753",Carthamus lanatus,0,0,0,1,0,0,0,1,0,0
89250,"Carum carvi L., 1753",Carum carvi,1,0,0,1,1,0,1,1,0,0
89304,"Castanea sativa Mill., 1768",Castanea sativa,0,0,0,1,1,0,1,1,0,0
89452,"Cedrus atlantica (Endl.) Manetti ex Carrière, 1855",Cedrus atlantica,0,1,0,0,0,0,1,1,0,0
89468,"Celtis australis L., 1753",Celtis australis,0,1,0,0,0,0,1,1,0,0
89531,"Centaurea benedicta (L.) L., 1763",Centaurea benedicta,0,0,0,1,1,0,1,1,0,0
89542,"Centaurea calcitrapa L., 1753",Centaurea calcitrapa,0,0,0,0,0,0,0,1,0,0
93680,"Cyanus segetum Hill, 1762",Centaurea cyanus,0,1,0,0,0,1,0,1,0,0
89619,"Centaurea jacea L., 1753",Centaurea jacea,0,0,0,0,0,0,0,1,0,0
93673,"Cyanus montanus (L.) Hill, 1768",Centaurea montana,0,1,0,0,0,0,0,1,0,0
89653,"Centaurea nigra L., 1753",Centaurea nigra,0,0,0,0,0,0,0,1,0,0
89840,"Centaurium erythraea Rafn, 1800",Centaurium erythraea,0,1,0,0,1,0,0,1,0,0
89888,"Centranthus ruber (L.) DC., 1805",Valeriana rubra,0,1,0,0,0,0,0,1,0,0
447038,"Ceratonia siliqua L., 1753",Ceratonia siliqua,1,1,1,1,1,1,1,1,1,1
90234,"Cercis siliquastrum L., 1753",Cercis siliquastrum,0,1,0,0,1,0,1,1,0,0
90470,"Chamaemelum nobile (L.) All., 1785",Chamaemelum nobile,0,1,0,0,1,0,1,1,0,0
90669,"Chelidonium majus L., 1753",Chelidonium majus,0,1,0,0,0,0,0,1,1,0
90681,"Chenopodium album L., 1753",Chenopodium album,1,1,0,1,1,0,1,1,1,0
611753,"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",Dysphania ambrosioides,1,0,0,1,1,0,1,1,1,1
90836,"Chenopodium vulvaria L., 1753",Chenopodium vulvaria,0,0,0,0,0,0,0,1,0,0
