ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Decongestant,"Chest and Lungs - Removes phlegm and mucous, especially from the respiratory system. ( 13 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Demulcent,"Chest and Lungs - Soothes, lubricates and softens irritated tissues, especially the mucous membranes. ( 200 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Expectorant,Chest and Lungs - Clears phlegm from the chest by inducing coughing. ( 486 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Pectoral,"Chest and Lungs - Relieves respiratory diseases, a remedy for chest diseases. ( 192 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Errhine,"Ear, Nose and Throat and Eyes - Produces sneezing. ( 4 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Mouthwash,"Ear, Nose and Throat and Eyes - Treats problems such as mouth ulcers. ( 61 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Mydriatic,"Ear, Nose and Throat and Eyes - Dilates the pupils of the eyes. ( 9 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Odontalgic,"Ear, Nose and Throat and Eyes - Treats toothache (temporary measure only) and other problems of the teeth and gums. ( 192 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Ophthalmic,"Ear, Nose and Throat and Eyes - Treats eye complaints. ( 311 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Sialagogue,"Ear, Nose and Throat and Eyes - Stimulates the secretion of saliva. ( 44 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Sternutatory,"Ear, Nose and Throat and Eyes - Promotes sneezing and nasal discharges. ( 21 )",PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Antipyretic,Fevers - Treats fevers. See Febrifuge. ( 76 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Febrifuge,Fevers - Reduces fevers. ( 821 ),PFAF,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
