ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Lining ,"In the home - Used for lining boxes, baskets etc so that fragile items can be more safely carried in them. ( 10 )",PFAF,Autre,non précisé,Other,not specified
Packing ,In the home - Used as a filler in boxes etc in order to protect the contents. ( 17 ),PFAF,Autre,non précisé,Other,not specified
Porcelain ,In the home - (2),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Pot-pourri ,In the home - Aromatic plants used to impart a pleasant smell to an area. Can this be grouped with incense or essential oil? ( 51 ),PFAF,Autre,non précisé,Other,not specified
Scourer ,"In the home - Used for cleaning pots, pans, plates etc. ( 11 )",PFAF,Autre,non précisé,Other,not specified
Strewing ,"In the home - Plants, usually aromatic, that are strewn on the floor to give a nice smell, repel insects etc. ( 50 )",PFAF,Autre,non précisé,Other,not specified
String ,In the home - Plants that can be used for string or can be easily made into a string. See also Fibre. Plants for ropes may be included. ( 132 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Cut flowers,In the home - Cut flowers are flowers or flower buds (often with some stem and leaf) for decorative use. ( 4 ),PFAF,Plantes ornementales,"plants, bulbes, boutures, parties de plantes...",Ornamental Plants,"seedlings, bulbs, cuttings, plant parts..."
Houseplant ,In the home - A plant grown indoors for decorative purposes. ( 20 ),PFAF,Plantes ornementales,"plants, bulbes, boutures, parties de plantes...",Ornamental Plants,"seedlings, bulbs, cuttings, plant parts..."
Bottles ,In the kitchen - Plants that can be used as bottles. ( 1 ),PFAF,Autre,non précisé,Other,not specified
Containers ,"In the kitchen - Plants, such as gourds, that can be used as containers. Does not include baskets or containers made from wood. ( 114 )",PFAF,Autre,non précisé,Other,not specified
Cork ,"In the kitchen - Including any plants used as a cork substitute. Cork is used for insulation (sound or heat), fire-retardant, bottle stops etc. ( 16 )",PFAF,Autre,non précisé,Other,not specified
Filter ,In the kitchen - Used to strain out particles from liquids. ( 20 ),PFAF,Autre,non précisé,Other,not specified
Fruit ripening,In the kitchen - Substances that promote the premature or rapid ripening of fruits. ( 3 ),PFAF,Autre,non précisé,Other,not specified
Gum ,"In the kitchen - Gums have a wide range of uses, especially as stabilizers, emulsifiers, thickening agents, adhesives etc. ( 285 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
