LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Aruncus dioicus,84135,71.8620229530632,4.86983783720111,23.2681392097357,72 : 5 : 23 %,C/CR
Arundo donax,84173,56.3992318760521,37.9805543379931,5.62021378595472,56 : 38 : 6 %,CS
Asarum europaeum,84230,51.9845693683637,0,48.0154306316363,52 : 0 : 48 %,CR
Asclepias syriaca,84251,67.7661498959067,14.7063891247512,17.5274609793421,68 : 15 : 18 %,C/CR
Asparagus officinalis,84279,0,91.210132192407,8.78986780759301,0 : 91 : 9 %,S
Asperula cynanchica,84306,0,74.3772236107461,25.6227763892539,0 : 74 : 26 %,S/SR
Asperula tinctoria,84330,0,49.4310337476743,50.5689662523257,0 : 49 : 51 %,SR
Asphodelus albus,84338,31.0707995527992,68.9292004472008,0,31 : 69 : 0 %,S/CS
Astrantia major,84936,61.6460579297991,1.20830951035501,37.1456325598459,62 : 1 : 37 %,CR
Ballota nigra,85502,17.8364248341581,51.7883913467752,30.3751838190667,18 : 52 : 30 %,S/CSR
Barbarea vulgaris,761965,48.5759624763177,0,51.4240375236823,49 : 0 : 51 %,CR
Bellis perennis,85740,31.4850100124616,0,68.5149899875384,31 : 0 : 69 %,R/CR
Berberis vulgaris,85774,13.4812689721235,62.5883268331099,23.9304041947666,13 : 63 : 24 %,S/CSR
Beta vulgaris,85820,78.1160036325416,0,21.8839963674584,78 : 0 : 22 %,C/CR
Betula pendula,85903,25.0396043418746,57.0940864709609,17.8663091871645,25 : 57 : 18 %,S/CSR
Betula pubescens,85904,25.7554052289119,45.5597623224393,28.6848324486487,26 : 46 : 29 %,S/CSR
Bidens pilosa,85972,41.255270556775,2.92128473635946,55.8234447068656,41 : 3 : 56 %,CR
Bistorta officinalis,86081,42.8101865567392,28.6892780769505,28.5005353663103,43 : 29 : 29 %,CSR
Blackstonia perfoliata,86087,17.7571792712466,28.5259398334781,53.7168808952753,18 : 29 : 54 %,R/CSR
Blitum bonus-henricus,994837,50.1799771956077,6.94704758909285,42.8729752152995,50 : 7 : 43 %,CR
Borago officinalis,86156,59.0834241889694,0,40.9165758110306,59 : 0 : 41 %,CR
Briza media,86490,14.3114559925708,52.221358405583,33.4671856018463,14 : 52 : 33 %,SR/CSR
Buglossoides arvensis,86890,14.1970471595781,54.4223107351741,31.3806421052478,14 : 54 : 31 %,S/CSR
Bupleurum falcatum,87044,21.0011680740821,51.7247456509661,27.2740862749518,21 : 52 : 27 %,S/CSR
Buxus sempervirens,87143,7.83701297079034,92.1629870292097,0,8 : 92 : 0 %,S
Calendula arvensis,87420,35.075031208353,0,64.924968791647,35 : 0 : 65 %,R/CR
Calluna vulgaris,87501,0,85.8763191776163,14.1236808223837,0 : 86 : 14 %,S
Caltha palustris,87540,63.877501997774,0,36.122498002226,64 : 0 : 36 %,C/CR
Campanula patula,87690,38.7139314993901,0,61.2860685006099,39 : 0 : 61 %,CR
Campanula rapunculus,87712,25.8758055336673,0,74.1241944663327,26 : 0 : 74 %,R/CR
Campanula rotundifolia,87720,5.01766255067146,47.5418799633367,47.4404574859918,5 : 48 : 47 %,SR
Campanula trachelium,87742,41.2505346099808,0,58.7494653900192,41 : 0 : 59 %,CR
Cardamine pratensis,87964,40.248847463494,15.0600388922555,44.6911136442505,40 : 15 : 45 %,CR/CSR
Carlina acaulis,89147,61.081002730059,26.4036659408117,12.5153313291293,61 : 26 : 13 %,C/CSR
Carlina vulgaris,89180,40.6037030310584,0,59.3962969689416,41 : 0 : 59 %,CR
Carpinus betulus,89200,36.7472840454581,36.0378551208914,27.2148608336505,37 : 36 : 27 %,CSR
Carthamus lanatus,89232,12.7544787451335,85.5989174693101,1.64660378555639,13 : 86 : 2 %,S
Carum carvi,89250,30.5519430240404,42.9155182241676,26.5325387517919,31 : 43 : 27 %,CSR
Castanea sativa,89304,47.7259005226243,43.8546280957308,8.41947138164492,48 : 44 : 8 %,CS
Celtis australis,89468,36.8078766224844,38.7942957426049,24.3978276349107,37 : 39 : 24 %,CS/CSR
Centaurea benedicta,89531,46.9800042160876,0,53.0199957839124,47 : 0 : 53 %,CR
Centaurea jacea,89619,35.7782592309056,27.185230653528,37.0365101155664,36 : 27 : 37 %,CSR
Centaurea nigra,89653,33.615578124576,37.0303236406494,29.3540982347747,34 : 37 : 29 %,CSR
Centaurium erythraea,89840,18.0058766734855,31.7175840947026,50.2765392318119,18 : 32 : 50 %,R/CSR
Centranthus ruber,89888,57.9611089307141,0,42.0388910692859,58 : 0 : 42 %,CR
Cercis siliquastrum,90234,44.7622650461694,41.4960865834678,13.7416483703627,45 : 41 : 14 %,CS/CSR
Chelidonium majus,90669,46.3387413194046,12.6278991053212,41.0333595752741,46 : 13 : 41 %,CR/CSR
Chenopodium album,90681,24.9005040297625,0,75.0994959702375,25 : 0 : 75 %,R/CR
Chenopodium vulvaria,90836,18.9162350570275,8.94621614626592,72.1375487967065,19 : 9 : 72 %,R/CR
Chondrilla juncea,90954,23.4929703981457,44.0541159486739,32.4529136531804,23 : 44 : 32 %,SR/CSR
Cichorium intybus,91169,55.824270977314,11.1605382944783,33.0151907282077,56 : 11 : 33 %,C/CSR
Cicuta virosa,91199,78.4990488907983,0,21.5009511092017,78 : 0 : 22 %,C/CR
Cirsium arvense,91289,57.3922668508256,6.64425022491698,35.9634829242575,57 : 7 : 36 %,CR
Cirsium spinosissimum,91410,28.6548672176611,71.3451327823389,0,29 : 71 : 0 %,S/CS
Cistus ladanifer,91680,15.2967788772708,84.7032211227292,0,15 : 85 : 0 %,S
Clematis recta,91880,51.6725449168798,15.7380784114428,32.5893766716774,52 : 16 : 33 %,C/CSR
Clematis vitalba,91886,50.4398926448224,25.5754322357591,23.9846751194185,50 : 26 : 24 %,C/CSR
Clinopodium nepeta,91910,6.69832557837189,55.5071414226762,37.7945329989519,7 : 56 : 38 %,SR
Clinopodium vulgare,91912,16.9206367432876,43.8951706068825,39.1841926498299,17 : 44 : 39 %,SR/CSR
Cochlearia officinalis,92052,33.3803664544715,0,66.6196335455285,33 : 0 : 67 %,R/CR
Colchicum autumnale,92127,57.7850947260443,0,42.2149052739557,58 : 0 : 42 %,CR
Conium maculatum,92237,75.8974728961633,6.23200512114536,17.8705219826913,76 : 6 : 18 %,C/CR
Convallaria majalis,92282,50.5240337436319,10.8906361498959,38.5853301064722,51 : 11 : 39 %,CR/CSR
Convolvulus arvensis,92302,31.8291715568378,6.10405640847502,62.0667720346872,32 : 6 : 62 %,R/CR
Coriaria myrtifolia,92467,31.2045721240267,53.9464847732141,14.8489431027592,31 : 54 : 15 %,S/CSR
Cornus mas,92497,24.2812355796338,38.6855252158101,37.0332392045561,24 : 39 : 37 %,SR/CSR
Cornus sanguinea,92501,32.7170205096885,49.1444674688696,18.1385120214419,33 : 49 : 18 %,CS/CSR
Corylus avellana,92606,35.6601008121193,51.1308244406193,13.2090747472615,36 : 51 : 13 %,CS/CSR
Cotinus coggygria,92631,29.9921768358848,55.5357029589333,14.472120205182,30 : 56 : 14 %,S/CSR
Crataegus laevigata,92864,25.6413589016537,55.5973027129903,18.761338385356,26 : 56 : 19 %,S/CSR
Crataegus monogyna,92876,15.7127296433796,71.4837418474813,12.8035285091391,16 : 71 : 13 %,S/CS
Crepis foetida,93045,29.1139210262042,27.4028843862209,43.483194587575,29 : 27 : 43 %,CSR
Crepis vesicaria,93157,48.373482290003,0,51.626517709997,48 : 0 : 52 %,CR
Crithmum maritimum,93190,5.36354319757136,94.6364568024286,0,5 : 95 : 0 %,S
Cruciata laevipes,93308,5.94834507612584,45.5126435430257,48.5390113808484,6 : 46 : 49 %,SR
Cyanus montanus,93673,53.9475559293665,4.7245024025912,41.3279416680423,54 : 5 : 41 %,CR
Cyclamen purpurascens,93708,40.5819588518981,0,59.4180411481019,41 : 0 : 59 %,CR
Cynodon dactylon,93803,6.74881169975063,62.4487241055526,30.8024641946968,7 : 62 : 31 %,S/SR
Cynoglossum officinale,93840,70.4789277844882,0,29.5210722155118,70 : 0 : 30 %,C/CR
