CD_REF,species_unique,LB_NOM,TYPE_BIO_baseflor,FORMATION_baseflor,TYPE_BIO_cbnmed,choix_type_bio,comm_type_bio
98939,1,Fraxinus pennsylvanica,A-cad,magnophanérophytaie,NA,phanérophyte,OK
99111,1,Fumaria parviflora,test,thérophytaie,Thérophyte,thérophyte,
99139,1,Fumaria vaillantii,test,thérophytaie,Thérophyte,thérophyte,
99185,1,Gagea lutea,gbul,hémicryptophytaie,Géophyte,géophyte,OK
99185,0,Gagea lutea,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
99206,1,Gagea spathacea,gbul,hémicryptophytaie,NA,hémicryptophyte,
99244,1,Galatella linosyris,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
99260,1,Galega officinalis,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
99331,1,Galeopsis speciosa,test,thérophytaie,Thérophyte,thérophyte,
99334,1,Galeopsis tetrahit,test,thérophytaie,Thérophyte,thérophyte,OK
99359,1,Galinsoga quadriradiata,test,thérophytaie,Thérophyte,thérophyte,
99373,1,Galium aparine,Test-lia,thérophytaie,Thérophyte,thérophyte,OK
99429,1,Galium glaucum,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
99529,1,Galium saxatile,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
99581,1,Galium verticillatum,tver,thérophytaie,Thérophyte,thérophyte,
99828,1,Genista tinctoria,Cfru,chaméphytaie,Chaméphyte,chaméphyte,OK
99862,1,Gentiana asclepiadea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
99922,1,Gentiana pneumonanthe,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
100052,1,Geranium dissectum,test,thérophytaie,Thérophyte,thérophyte,
100133,1,Geranium pusillum,test,thérophytaie,Thérophyte,thérophyte,
100208,1,Geum montanum,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
100214,1,Geum reptans,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
100225,1,Geum urbanum,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
100273,1,Gladiolus imbricatus,gbul,hémicryptophytaie,NA,hémicryptophyte,
100278,1,Gladiolus palustris,gbul,hémicryptophytaie,NA,hémicryptophyte,
100304,1,Glebionis segetum,test,thérophytaie,Thérophyte,thérophyte,
100330,1,Gleditsia triacanthos,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
100338,1,Globularia bisnagarica,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
100356,1,Globularia vulgaris,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
100613,1,Gymnadenia nigra,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
100614,1,Gymnadenia odoratissima,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
100636,1,Gymnocarpium dryopteris,grhi,hémicryptophytaie,Géophyte,géophyte,OK
100636,0,Gymnocarpium dryopteris,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
100839,1,Hedysarum hedysaroides,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
100946,1,Helianthemum marifolium,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
101055,0,Helianthus tuberosus,Grhi,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
101055,1,Helianthus tuberosus,Grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
101101,1,Helichrysum stoechas,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,?
101196,1,Helleborus niger,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
101210,1,Helminthotheca echioides,hbis,hémicryptophytaie,Thérophyte,thérophyte,
101221,1,Helosciadium nodiflorum,hsto,hémicryptophytaie,Hélophyte,hélophyte,
101221,0,Helosciadium nodiflorum,hsto,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
101300,1,Heracleum sphondylium,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
101315,1,Herminium monorchis,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
102055,1,Hieracium humile,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
102189,1,Hieracium maculatum,hros,hémicryptophytaie,NA,hémicryptophyte,
102392,1,Hieracium prenanthoides,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
102842,1,Hippocrepis comosa,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
102845,1,Hippocrepis emerus,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
102845,0,Hippocrepis emerus,b-cad,nanophanérophytaie,Phanérophyte,phanérophyte,OK
102876,1,Hirschfeldia incana,NA,NA,Thérophyte,thérophyte,
102925,1,Homogyne alpina,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
102964,1,Hordeum jubatum,hces(test),hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
102968,1,Hordeum marinum,test,thérophytaie,Thérophyte,thérophyte,
103120,1,Hydrocharis morsus-ranae,test-aqua,thérophytaie,Hydrophyte nageant,hydrophyte,
103142,0,Hydrocotyle vulgaris,hsto,hémicryptophytaie,Hélophyte,hélophyte,
103142,1,Hydrocotyle vulgaris,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
103162,1,Hylotelephium telephium,heri-suc,hémicryptophytaie,Géophyte à tubercule,géophyte,cohérence FG FM
103216,1,Hyparrhenia hirta,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
103288,1,Hypericum humifusum,test(hsto),thérophytaie,Thérophyte,thérophyte,
103301,1,Hypericum montanum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
103320,1,Hypericum pulchrum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
103364,1,Hypochaeris glabra,test,thérophytaie,Thérophyte,thérophyte,
103369,1,Hypochaeris maculata,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
103383,1,Hypochaeris uniflora,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
103543,1,Impatiens balfourii,test,thérophytaie,Thérophyte,thérophyte,
103598,1,Inula britannica,NA,NA,Hémicryptophyte,hémicryptophyte,
103627,1,Inula helenium,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
103648,1,Inula salicina,NA,NA,Hémicryptophyte,hémicryptophyte,
103738,1,Iris graminea,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
103777,1,Iris sibirica,grhi,hémicryptophytaie,NA,hémicryptophyte,
103898,1,Isolepis setacea,test,thérophytaie,Thérophyte,thérophyte,
610648,1,Jacobaea alpina,Heri,hémicryptophytaie,NA,hémicryptophyte,OK
610642,1,Jacobaea incana,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
610643,1,Jacobaea maritima,Csuf,hémicryptophytaie,Chaméphyte,chaméphyte,?
103995,1,Jacobaea paludosa,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
104101,1,Juncus acutiflorus,Grhi,hémicryptophytaie,Géophyte,géophyte,OK
104101,0,Juncus acutiflorus,Grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
104111,1,Juncus alpinoarticulatus,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
104126,1,Juncus articulatus,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
104155,1,Juncus compressus,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
104246,1,Juncus maritimus,Grhi,hémicryptophytaie,Hélophyte,hélophyte,
104246,0,Juncus maritimus,Grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
104397,1,Juniperus communis,B-semp,microphanérophytaie,Nanophanérophyte,phanérophyte,OK
104502,1,Kickxia elatine,test,thérophytaie,Thérophyte,thérophyte,OK
104644,1,Koeleria macrantha,hces,hémicryptophytaie,NA,hémicryptophyte,
104715,1,Laburnum alpinum,B-cad,microphanérophytaie,Nanophanérophyte,phanérophyte,OK
104716,0,Laburnum anagyroides,B-cad,microphanérophytaie,Nanophanérophyte,phanérophyte,OK
104716,1,Laburnum anagyroides,B-cad,microphanérophytaie,Phanérophyte,phanérophyte,OK
104766,1,Lactuca quercina,hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
104787,1,Lactuca virosa,Hbis,hémicryptophytaie,Thérophyte,Thérophyte,?
104876,1,Lamium galeobdolon,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
610681,1,Laphangium luteoalbum,test,thérophytaie,Thérophyte,thérophyte,
105042,1,Larix decidua,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
105092,1,Laserpitium siler,NA,NA,Hémicryptophyte,hémicryptophyte,
105201,1,Lathyrus hirsutus,test,thérophytaie,Thérophyte,thérophyte,
105206,1,Lathyrus japonicus,hsto,hémicryptophytaie,NA,hémicryptophyte,
105241,1,Lathyrus pannonicus,heri,hémicryptophytaie,Géophyte à rhizome,hélophyte,
105400,0,Leersia oryzoides,Hsto,hémicryptophytaie,Géophyte à rhizome,géophyte,
105400,1,Leersia oryzoides,Hsto,hémicryptophytaie,Hélophyte,hélophyte,
105431,1,Lemna minor,test-aqua,thérophytaie,Hydrophyte nageant,hydrophyte,?
105490,1,Leontodon crispus,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105502,1,Leontodon hispidus,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105521,1,Leontodon saxatilis,hros,hémicryptophytaie,Thérophyte,thérophyte,
984396,1,Lepidium coronopus,NA,NA,Thérophyte,thérophyte,
105615,1,Lepidium didymum,test,thérophytaie,Thérophyte,thérophyte,
105641,1,Lepidium latifolium,Hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105673,1,Lepidium sativum,test,thérophytaie,Thérophyte,thérophyte,
105689,1,Lepidium virginicum,test(hbis),thérophytaie,Thérophyte,thérophyte,
105795,1,Leucanthemum ircutianum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105841,1,Leucojum vernum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
610580,1,Libanotis pyrenaica,Hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105908,1,Ligularia sibirica,Hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
105989,0,Lilium martagon,Gbul,hémicryptophytaie,Géophyte,géophyte,OK
105989,1,Lilium martagon,Gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
106047,1,Limonium binervosum,hros,hémicryptophytaie,NA,hémicryptophyte,
106070,1,Limonium echioides,test,thérophytaie,Thérophyte,thérophyte,
106112,1,Limonium vulgare,hros,hémicryptophytaie,NA,hémicryptophyte,
106260,1,Linnaea borealis,hsto,parvochaméphytaie,NA,chaméphyte,OK
106280,1,Linum austriacum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
106349,1,Linum usitatissimum,test,thérophytaie,Thérophyte,thérophyte,
106396,1,Lithospermum officinale,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
106504,1,Lolium remotum,test,thérophytaie,NA,thérophyte,
106517,1,Lolium temulentum,Test,thérophytaie,Thérophyte,thérophyte,
106571,1,Lonicera japonica,B-semp,microphanérophytaie,Phanérophyte lianescente,phanérophyte,OK
106664,1,Lotus dorycnium,Cfru,chaméphytaie,Chaméphyte,chaméphyte,OK
106842,1,Luzula multiflora,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
106910,1,Lychnis coronaria,csuf,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
610909,1,Lysimachia arvensis,test,thérophytaie,Thérophyte,thérophyte,OK
107085,1,Lysimachia tenella,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
107126,1,Lythrum virgatum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
107217,1,Malus sylvestris,a-cad,magnophanérophytaie,Nanophanérophyte,phanérophyte,OK
107217,0,Malus sylvestris,a-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
107224,1,Malva alcea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
107318,1,Malva sylvestris,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
107446,1,Matricaria discoidea,test,thérophytaie,Thérophyte,thérophyte,OK
107647,1,Medicago littoralis,test(hbis),thérophytaie,Thérophyte,thérophyte,
107654,0,Medicago marina,hsto,hémicryptophytaie,Chaméphyte,hémicryptophyte,
107654,1,Medicago marina,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
107677,1,Medicago orbicularis,test,thérophytaie,Thérophyte,thérophyte,
107688,1,Medicago polyceratia,test,thérophytaie,Thérophyte,thérophyte,
107689,1,Medicago polymorpha,tver,thérophytaie,Thérophyte,thérophyte,
107786,1,Melampyrum arvense,test-hpar,thérophytaie,Thérophyte,thérophyte,OK
107851,1,Melica ciliata,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
107887,1,Melilotus altissimus,NA,NA,Hémicryptophyte,hémicryptophyte,OK
108103,1,Mentha longifolia,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
108168,1,Mentha suaveolens,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
108367,1,Mercurialis tomentosa,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
108537,1,Milium effusum,Hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
108612,1,Minuartia recurva,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
108686,1,Moehringia muscosa,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
108785,1,Montia fontana,hsto-aqua,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
108785,0,Montia fontana,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
610917,1,Mutellina adonidifolia,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
108948,1,Myagrum perfoliatum,tver,thérophytaie,Thérophyte,thérophyte,
109019,1,Myosotis discolor,test,thérophytaie,Thérophyte,thérophyte,
109042,1,Myosotis laxa,hbis(test),hémicryptophytaie,Thérophyte,thérophyte,
109104,1,Myosotis sylvatica,hsto,hémicryptophytaie,NA,hémicryptophyte,OK
109141,1,Myriophyllum aquaticum,Grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,
109141,0,Myriophyllum aquaticum,Grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
162206,1,Neotinea tridentata,gtub,hémicryptophytaie,Géophyte,géophyte,OK
162206,0,Neotinea tridentata,gtub,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
109534,1,Nepeta nuda,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
109600,1,Nicandra physalodes,test,thérophytaie,Thérophyte,thérophyte,
109665,1,Noccaea alpestris,hros,hémicryptophytaie,Chaméphyte,hémicryptophyte,
109735,1,Nuphar pumila,Grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,?
109769,1,Nymphoides peltata,Grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
109838,1,Odontites luteus,test-hpar,hémicryptophytaie,Thérophyte,thérophyte,
109864,1,Oenanthe crocata,Heri(Grhi),hémicryptophytaie,Géophyte,géophyte,
110002,1,Olea europaea,a-semp,magnophanérophytaie,Phanérophyte,phanérophyte,OK
110205,1,Ononis minutissima,heri,hémicryptophytaie,Chaméphyte,hémicryptophyte,
110221,0,Ononis pusilla,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
110221,1,Ononis pusilla,csuf,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
110237,1,Ononis striata,hsto,hémicryptophytaie,Chaméphyte,hémicryptophyte,
110239,1,Ononis variegata,NA,NA,Thérophyte,thérophyte,
110290,1,Onosma arenaria,hbis,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
110313,0,Ophioglossum vulgatum,grhi,hémicryptophytaie,Géophyte,géophyte,OK
110313,1,Ophioglossum vulgatum,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
110914,1,Orchis mascula,gtub,hémicryptophytaie,Géophyte,géophyte,OK
110914,0,Orchis mascula,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
110920,1,Orchis militaris,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
111233,1,Oreochloa disticha,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
111301,1,Orlaya platycarpos,test,thérophytaie,Thérophyte,thérophyte,
111391,1,Ornithogalum umbellatum,gbul,géophytaie,Géophyte à bulbe,géophyte,OK
111419,1,Ornithopus perpusillus,test,thérophytaie,Thérophyte,thérophyte,
111793,1,Oryza sativa,Test,thérophytaie,Thérophyte,thérophyte,
111876,0,Oxalis corniculata,test(hros),thérophytaie,Hémicryptophyte,thérophyte,
111876,1,Oxalis corniculata,test(hros),thérophytaie,Thérophyte,thérophyte,
112070,1,Pancratium maritimum,gbul,hémicryptophytaie,Géophyte,géophyte,OK
112070,0,Pancratium maritimum,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
112259,1,Panicum virgatum,NA,NA,Hémicryptophyte,hémicryptophyte,
112355,1,Papaver rhoeas,test,thérophytaie,Thérophyte,thérophyte,OK
112410,1,Parietaria judaica,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
112428,1,Paronychia arabica,NA,NA,Hémicryptophyte,hémicryptophyte,
112429,1,Paronychia argentea,heri,hémicryptophytaie,Chaméphyte,hémicryptophyte,
112429,0,Paronychia argentea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
112431,1,Paronychia capitata,hsto,hémicryptophytaie,Chaméphyte,hémicryptophyte,
997256,1,Pedicularis gyroflexa,heri-hpar,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
112584,1,Pedicularis kerneri,hros-hpar,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
112591,1,Pedicularis pyrenaica,hros-hpar,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
112602,1,Pedicularis tuberosa,heri-hpar,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
112727,1,Persicaria amphibia,Grhi-aqua,hémicryptophytaie,Hélophyte,hélophyte,
112727,0,Persicaria amphibia,grhi,hémicryptophytaie,Hélophyte,hélophyte,
112727,0,Persicaria amphibia,Grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,
112727,0,Persicaria amphibia,grhi,hémicryptophytaie,Hydrophyte,hydrophyte,
112778,1,Petasites albus,grhi,hémicryptophytaie,Géophyte,géophyte,OK
112778,0,Petasites albus,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
112783,0,Petasites hybridus,Grhi,hémicryptophytaie,Géophyte,géophyte,OK
112783,1,Petasites hybridus,Grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
112803,1,Petrocallis pyrenaica,hsto,hémicryptophytaie,Chaméphyte,hémicryptophyte,
112935,1,Phagnalon saxatile,csuf,hémicryptophytaie,Chaméphyte,chaméphyte,
113079,1,Phegopteris connectilis,grhi,hémicryptophytaie,Géophyte,hémicryptophyte,OK
113079,0,Phegopteris connectilis,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
113134,1,Philadelphus coronarius,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
113219,1,Phleum phleoides,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
113243,1,Phlomis lychnitis,cfru,hémicryptophytaie,Chaméphyte,chaméphyte,
113294,1,Phyla nodiflora,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
1032086,1,Physostegia virginiana,Heri,hémicryptophytaie,NA,hémicryptophytaie,
113407,1,Phyteuma spicatum,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
113474,1,Picris hieracioides,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
113525,1,Pilosella officinarum,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
113547,1,Pilularia globulifera,grhi,hémicryptophytaie,NA,hémicryptophyte,
113609,1,Pinguicula alpina,hros-car,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
113639,1,Pinguicula vulgaris,hros-car,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
162292,1,Pinus brutia,a-semp,magnophanérophytaie,Phanérophyte,phanérophyte,OK
113689,1,Pinus pinaster,A-semp,magnophanérophytaie,Phanérophyte,phanérophyte,OK
113786,1,Pittosporum undulatum,a-semp,magnophanérophytaie,Phanérophyte,phanérophyte,OK
113809,1,Plantago arenaria,test,thérophytaie,Thérophyte,thérophyte,OK
113810,1,Plantago argentea,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
113904,1,Plantago major,hros(test),hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
114012,1,Platanthera chlorantha,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
114037,1,Platycladus orientalis,A-semp,magnophanérophytaie,Phanérophyte,phanérophyte,OK
114153,1,Poa chaixii,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
114416,1,Poa trivialis,Hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
114526,1,Polygala amarella,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
114589,1,Polygala serpyllifolia,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
114611,1,Polygonatum multiflorum,grhi,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
114779,1,Polygonum maritimum,hsto,hémicryptophytaie,Chaméphyte,hémicryptophyte,
115016,1,Polypodium vulgare,grhi,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
115061,1,Polystichum lonchitis,hces,hémicryptophytaie,Géophyte,hémicryptophyte,
115061,0,Polystichum lonchitis,hces,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
115096,1,Pontederia cordata,Grhi,hémicryptophytaie,Hydrophyte,hydrophyte,
115110,1,Populus alba,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
115156,1,Populus tremula,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
115233,1,Potamogeton berchtoldii,test-aqua,thérophytaie,Hydrophyte,hydrophyte,
115233,0,Potamogeton berchtoldii,test-aqua,thérophytaie,Hydrophyte enraciné,hydrophyte,
115245,1,Potamogeton crispus,Grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,
115245,0,Potamogeton crispus,Grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
115301,0,Potamogeton polygonifolius,grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,
115301,1,Potamogeton polygonifolius,grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
115414,1,Potentilla aurea,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
115431,1,Potentilla caulescens,hros,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
115530,1,Potentilla intermedia,hros,hémicryptophytaie,NA,hémicryptophyte,
115575,1,Potentilla norvegica,test(hros),thérophytaie,Hémicryptophyte,hémicryptophyte,
115789,1,Poterium sanguisorba,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
115975,0,Prospero autumnale,gbul,hémicryptophytaie,Géophyte,géophyte,OK
115975,1,Prospero autumnale,gbul,hémicryptophytaie,Géophyte à bulbe,géophyte,OK
1030499,1,Prunella grandiflora,heri,hémicryptophytaie,NA,hémicryptophytaie,
115998,1,Prunella laciniata,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
116112,1,Prunus persica,B-cad,microphanérophytaie,Phanérophyte,phanérophyte,OK
116206,1,Pseudorchis albida,gtub,hémicryptophytaie,Géophyte,géophyte,OK
116206,0,Pseudorchis albida,gtub,hémicryptophytaie,Géophyte à tubercule,géophyte,OK
116392,1,Pulicaria dysenterica,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
116460,1,Pulsatilla vulgaris,heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,OK
116542,1,Pyrola media,grhi,hémicryptophytaie,Chaméphyte,hémicryptophyte,
116610,1,Pyrus spinosa,B-cad,microphanérophytaie,Nanophanérophyte,phanérophyte,OK
116610,0,Pyrus spinosa,B-cad,microphanérophytaie,Phanérophyte,phanérophyte,OK
116672,1,Quercus coccifera,b-semp,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
116762,1,Quercus rubra,A-cad,magnophanérophytaie,Phanérophyte,phanérophyte,OK
999933,1,Rabelera holostea,NA,NA,Chaméphyte,hémicryptophyte,suit FG 
116902,1,Ranunculus aconitifolius,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
116948,1,Ranunculus breyninus,hros,hémicryptophytaie,NA,hémicryptophyte,
117025,1,Ranunculus flammula,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
117027,1,Ranunculus fluitans,Hsto-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
117090,1,Ranunculus lateriflorus,test,thérophytaie,Thérophyte,thérophyte,
117174,1,Ranunculus platanifolius,Heri,hémicryptophytaie,Hémicryptophyte,hydrophyte,
117174,0,Ranunculus platanifolius,Heri,hémicryptophytaie,Hydrophyte,hydrophyte,
117224,1,Ranunculus sceleratus,test,thérophytaie,Thérophyte,thérophyte,OK
117393,1,Rapistrum rugosum,test,thérophytaie,Thérophyte,thérophyte,
117426,1,Reichardia picroides,hbis(tver),hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
117458,1,Reseda lutea,hros,hémicryptophytaie,Thérophyte,thérophyte,
117526,1,Rhamnus alaternus,B-semp,microphanérophytaie,Nanophanérophyte,phanérophyte,OK
717862,1,Rhaponticum centauroides,Heri,hémicryptophytaie,NA,hémicryptophyte,
117668,1,Rhodiola rosea,gtub,hémicryptophytaie,Géophyte à rhizome,géophyte,OK
117766,1,Ribes nigrum,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
117933,1,Rorippa amphibia,hsto,hémicryptophytaie,Hélophyte,hélophyte,
117951,1,Rorippa sylvestris,hros,hémicryptophytaie,Géophyte,hélophyte,
117951,0,Rorippa sylvestris,hros,hémicryptophytaie,Hélophyte,hélophyte,
117986,1,Rosa agrestis,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
117986,0,Rosa agrestis,b-cad,nanophanérophytaie,Phanérophyte,phanérophyte,OK
118353,1,Rosa multiflora,b-cad,nanophanérophytaie,NA,phanérophyte,OK
118397,1,Rosa pendulina,b-cad,nanophanérophytaie,Nanophanérophyte,phanérophyte,OK
118872,1,Rostraria cristata,tver,thérophytaie,Thérophyte,thérophyte,
118993,1,Rubus caesius,Hrub,hémicryptophytaie,Chaméphyte,chaméphyte,
118993,0,Rubus caesius,Hrub,hémicryptophytaie,Nanophanérophyte,chaméphyte,
119318,1,Rubus saxatilis,hsto,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
119525,1,Rumex longifolius,Heri,hémicryptophytaie,Hémicryptophyte,hémicryptophyte,
119691,1,Ruppia maritima,grhi-aqua,hémicryptophytaie,Hydrophyte,hydrophyte,
119691,0,Ruppia maritima,grhi-aqua,hémicryptophytaie,Hydrophyte enraciné,hydrophyte,
119707,1,Ruta angustifolia,heri,hémicryptophytaie,Chaméphyte,hémicryptophyte,
119753,1,Sabulina tenuifolia,test,thérophytaie,Thérophyte,thérophyte,
119754,1,Sabulina verna,NA,NA,Chaméphyte,chaméphyte,
119780,1,Sagina apetala,test,thérophytaie,Thérophyte,thérophyte,
