"LB_NOM","CD_REF","mean_LA","mean_LDMC","mean_SLA"
"Acacia dealbata",79691,11380,58.4330698955382,14.304241421353
"Acer campestre",79734,3141.74058030303,33.5548016912242,16.5601884379624
"Acer negundo",79766,7231.22700054117,29.1204400886243,24.0875161470428
"Achillea erba-rotta",79887,79.3333333333333,23.3120173699613,15.5633866055732
"Achillea millefolium",79908,559.097625710195,23.6027563514626,16.8107393172548
"Achillea ptarmica",79921,215.975,18.5543007149937,24.3175903864057
"Aconitum anthora",80007,1689.9125,16.6987333333333,43.366875
"Aconitum lycoctonum",80034,10003.61875,16.03396,37.4231818181818
"Aconitum napellus",80037,5535.625,17.7181283714286,25.1539514742857
"Aconitum variegatum",80066,4588.03614178667,17.5491999207114,25.7792530335028
"Acorus calamus",80086,6101.3275,20.4436268219698,26.5286161906429
"Actaea spicata",80137,13145.4726153846,18.8050225704987,41.5322931030748
"Adonis vernalis",80240,800.99375,35.3167307692308,20.1257850082596
"Aegopodium podagraria",80322,12997.668,21.5510198212,28.8082876706941
"Aethusa cynapium",80358,3207.7575,18.463375,30.4934545454545
"Agrimonia eupatoria",80410,6346.28,35.0951252746154,17.4053093434444
"Agrimonia procera",80417,12416.05667,30.9912820515385,19.7032
"Agrostemma githago",80546,634.569596842105,24.1925975456424,15.4138627384549
"Ailanthus altissima",80824,31401.803737931,21.1148357197838,28.4851275957141
"Ajuga chamaepitys",80978,92.696785625,16.7255814528737,22.266522677488
"Ajuga genevensis",80980,373.066,14.537875,25.9704545454545
"Ajuga pyramidalis",80988,415.929131709091,23.2986818181818,14.3980304894927
"Ajuga reptans",80990,1253.1201525971,16.998705611135,23.5777532364835
"Alchemilla alpina",81033,335.2764865,33.229761355,13.6582228727027
"Alliaria petiolata",81295,4390.78548484848,15.5534237276168,51.1547573647261
"Allium schoenoprasum",81508,478.630309521429,16.6154244807924,9.77952933384491
"Allium ursinum",81541,5252.56658094444,8.65327050488213,48.8267546871257
"Allium victorialis",81543,6744.33333333333,15.5264863129412,25.269626404375
"Alnus alnobetula",81563,5223.01460099405,34.6601048232005,21.0398511777693
"Alnus glutinosa",81569,3528.91767172555,33.1067907141058,15.2682719726562
"Alnus incana",81570,1799.0244176488,29.7458595766102,17.7295873028659
"Althaea officinalis",81856,4633.69972222222,25.2030476190476,14.6386363636364
"Amaranthus retroflexus",82018,2595.2864516129,20.5146971153846,18.5068229172512
"Ambrosia artemisiifolia",82080,1360.43409107143,23.7767466920328,22.2820674778423
"Ammi majus",82130,3313.833333335,14.262020833125,34.443333333125
"Anchusa officinalis",82391,870.399038461538,11.3219545454545,14.7202968745589
"Anemone nemorosa",82637,2425.06148631579,21.2419441086085,31.6091733394932
"Anemone ranunculoides",82656,1424.13,18.4114642857143,36.65
"Angelica sylvestris",82738,51488.603114441,23.1864502173293,26.1558417665162
"Antennaria dioica",82796,54.9459216855203,24.0325157479847,18.1554783170308
"Anthoxanthum odoratum",82922,484.765013132686,27.7950889267618,26.4893588672832
"Anthriscus sylvestris",82952,2408.92305925926,20.4997374124775,20.7382005839636
"Anthyllis vulneraria",82999,492.824100634368,16.6879234950002,15.3834749523848
"Antirrhinum majus",83058,254.738,16.3333333333333,14.1406559043729
"Apium graveolens",83195,6432,16.4666666666667,18.2
"Aquilegia vulgaris",83267,7229.91,28.4335714285714,33.3449999144489
"Arbutus unedo",83481,5166.80286911024,38.6143919940725,8.61191806606478
"Arctium lappa",83499,25421.6975553488,19.529842714597,20.3817968433455
"Arctium minus",83502,45602.8958333333,16.7247945490509,25.1950618350821
"Arenaria serpyllifolia",83653,8.55110726392308,33.771827320941,18.9384691787095
"Argentina anserina",83714,3034.0619047619,33.0166448770378,21.4486748223694
"Aristolochia clematitis",83777,5414.47235294118,25.05544,33.5958333333333
"Armeria maritima",83832,153.403757575758,26.963,13.451324304161
"Armoracia rusticana",83866,67318.91666625,18.3142857142857,18.3827777775
"Arnica montana",83874,1678.85540333333,16.3107751539475,18.4159629006346
"Arrhenatherum elatius",83912,1094.99893244847,27.2017591428086,25.8463605822956
"Artemisia absinthium",83933,1714.26666666667,21.995,30.5099558960885
"Artemisia annua",83938,560.683015877778,21.1097130003523,31.850277489956
"Artemisia vulgaris",84061,2755.69784969192,23.6289159293465,25.5043909466969
"Arum maculatum",84112,8866.74074111111,11.7357142857143,33.17
"Aruncus dioicus",84135,55968.2893636364,19.6163367884022,54.3792836533376
"Arundo donax",84173,15469.50625,39.1462741294806,12.7403446013597
"Asarum europaeum",84230,3207.28341405896,16.3187191773302,28.8173833110735
"Asclepias syriaca",84251,7195.98120186581,19.9649320964157,15.526539695892
"Asparagus officinalis",84279,22.0603571428571,28.8717708333333,10.9009937930714
"Asperula cynanchica",84306,19.521055316092,32.7394140685966,15.933233638072
"Asperula tinctoria",84330,24.8121024691358,21.5128034911313,17.0583136873628
"Asphodelus albus",84338,7042.66666666667,17.5504,8.51
"Astrantia major",84936,9974.55944761905,16.9093240457311,35.8776005252169
"Ballota nigra",85502,585.769230769231,30.2408,20.4353333333333
"Barbarea vulgaris",761965,2457.338,15.7730526334947,28.4846311301547
"Bellis perennis",85740,836.254614841975,13.3285182798388,31.8835549594043
"Berberis vulgaris",85774,376.067762382436,34.0202194810717,17.3622422543168
"Beta vulgaris",85820,14662.5,16.4666666666667,20.3411658419418
"Betula pendula",85903,1414.98029504834,36.801146531509,16.4814621281553
"Betula pubescens",85904,1384.6473860925,30.6330291890783,21.9679123490793
"Bidens pilosa",85972,2886.65322580645,17.1994281642407,44.0130169413024
"Bistorta officinalis",86081,2194.95229306466,22.4194278461338,18.2932175147646
"Blackstonia perfoliata",86087,440.26625,21.855125,29.28032889711
"Blitum bonus-henricus",994837,3439.76739130435,17.9480887155775,27.6115831727115
"Borago officinalis",86156,2211.74346153846,14.162,18.8193287476961
"Briza media",86490,402.407921408025,29.9861547977583,21.6498784176125
"Buglossoides arvensis",86890,298.072806818182,27.5365392062127,17.9927894113523
"Bupleurum falcatum",87044,632.468042857143,28.3146192860495,17.605473394958
"Buxus sempervirens",87143,148.235095138889,40.8388250467352,8.39672257604557
"Calendula arvensis",87420,820.864,10.2244285714286,26.34281
"Calluna vulgaris",87501,1.70108115425387,39.7892857061337,13.2047334747822
"Caltha palustris",87540,8153.50829931973,14.1762995215772,29.177794290526
"Campanula patula",87690,476.534115646258,13.87038085,17.7984664912343
"Campanula rapunculus",87712,665.636929230769,16.0862893814262,37.9809370369425
"Campanula rotundifolia",87720,69.2701349281103,23.3041453276882,19.8997642498174
"Campanula trachelium",87742,2418.19386078431,15.7985246335981,41.0208950969707
"Cardamine pratensis",87964,673.166666666667,18.0278912942447,16.4781140671563
"Carlina acaulis",89147,2271.82435374091,20.2079909183153,11.8677325931952
"Carlina vulgaris",89180,601.745763888889,15.3775485315252,18.5959379716414
"Carpinus betulus",89200,2128.23982905983,25.6099,19.410691515076
"Carthamus lanatus",89232,283.304166666667,38.791,10.09441
"Carum carvi",89250,1254.93,26.2840001659322,17.7051469243604
"Castanea sativa",89304,7098.64983430799,36.2067889361249,13.3539709326925
"Celtis australis",89468,3440.59287606061,30.4900340365601,21.8097643021766
"Centaurea benedicta",89531,2451.51666666667,13.1976666666667,30.5633333333333
"Centaurea jacea",89619,1120.60986350677,20.9183653671613,18.9813371802665
"Centaurea nigra",89653,1699.06000652055,25.4889693671341,19.9345324688042
"Centaurium erythraea",89840,425.345871541667,22.2967367148428,26.259392507206
"Centranthus ruber",89888,2613.14944444444,13.7974285714286,20.7801875
"Cercis siliquastrum",90234,4888.50662,31.6920805587709,15.2762336314641
"Chelidonium majus",90669,5678.51895947368,20.3674239631768,40.4304555266982
"Chenopodium album",90681,358.287047019479,15.1559695979512,25.3028579911228
"Chenopodium vulvaria",90836,373.7632,17.8246568986642,33.8902430612591
"Chondrilla juncea",90954,282.0625,21.0313809521429,14.075433846
"Cichorium intybus",91169,3481.2958490566,18.6094720504109,20.0739153558491
"Cicuta virosa",91199,17122.41667,12.9945833335,21.2675
"Cirsium arvense",91289,2145.01223665368,17.4465468957993,17.4900724114856
"Cirsium spinosissimum",91410,6668.115491,12.0182749445557,8.0614840383683
"Cistus ladanifer",91680,404.75,40.525097499915,5.84628034399479
"Clematis recta",91880,5813.88340952381,20.9312350644319,27.0421598531464
"Clematis vitalba",91886,9084.32479478125,27.1607135875671,25.8294597157107
"Clinopodium nepeta",91910,133.5,29.8046091653846,22.5684582760535
"Clinopodium vulgare",91912,480.031733234375,26.6117724198162,23.6947767181886
"Cochlearia officinalis",92052,263.217142857143,14.2433333333333,16.166
"Colchicum autumnale",92127,4876.27285714286,15.62271875,28.5976923076923
"Conium maculatum",92237,30524.47,19.2483472225,24.1161904758333
"Convallaria majalis",92282,4796.91198333333,19.2314141440089,29.7513088579872
"Convolvulus arvensis",92302,835.790793965517,17.4099130970857,28.1281468664333
"Coriaria myrtifolia",92467,1173.096492,28.5994149990533,13.3366418643215
"Cornus mas",92497,1157.34644,27.2956775722488,26.6335427170836
"Cornus sanguinea",92501,2452.42683131313,34.0233598944896,17.0170387165964
"Corylus avellana",92606,3855.83669822146,39.7447113333441,15.7046358239719
"Cotinus coggygria",92631,2723.09320909091,42.0194684380034,16.2923049176461
"Crataegus laevigata",92864,1350.87375,34.7409,16.4672222222222
"Crataegus monogyna",92876,557.484329946498,40.9116945345344,13.7186825861494
"Crepis foetida",93045,638.538461538462,20.348895833125,19.332223651517
"Crepis vesicaria",93157,1503.06385726316,15.9914457671128,22.0510480873217
"Crithmum maritimum",93190,268,9.13333333333333,9.225
"Cruciata laevipes",93308,105.390648657381,25.6259150435805,25.9172717915914
"Cyanus montanus",93673,5495,17.6856,32.54461538
"Cyclamen purpurascens",93708,1861.27647,10.5014669123539,34.8060967542837
"Cynodon dactylon",93803,148.456975308642,33.9243711106096,20.4975637120739
"Cynoglossum officinale",93840,3907.76816093103,13.9855,16.788378736395
"Cyperus longus",93967,1240.1075,23.604125,22.3525
"Dactylis glomerata",94207,1639.03988906589,26.5963866013052,25.129890033366
"Dactylorhiza maculata",94266,1714.72380957143,11.891625,23.5519489356256
"Daphne gnidium",94427,138.197817253086,26.3905301008252,17.6167411811688
"Daphne laureola",94432,857.296976187597,22.4509005736136,16.8831320009598
"Daphne mezereum",94435,668.656872222222,22.495573814409,26.5727569071906
"Datura stramonium",94489,13515.9815625,13.45628125,21.9595188270819
"Daucus carota",94503,2579.77838581169,25.2748598482568,16.6968864253748
"Delphinium consolida",94572,178.61769,17.318148550352,19.0599140023186
"Deschampsia cespitosa",94626,285.186092972334,30.4234743847615,14.9814356792996
"Descurainia sophia",94645,322.025,18.7560394736842,19.5330305304348
"Dictamnus albus",94923,5992.45842105263,24.9395983314912,15.6121903597057
"Digitalis lutea",94945,3580.50935384615,19.7530372499167,20.5531570944476
"Digitalis purpurea",94959,15309.1996741111,19.6624554806614,24.0595190690909
"Dioscorea communis",611652,5777.8,15.0833333333333,29.9471428575
"Diplotaxis tenuifolia",95136,2296,11.22,22.448
"Dittrichia viscosa",95187,506.68,19.7655211583636,18.3075676166474
"Doronicum pardalianches",95239,8636.5,12.25,33.422
"Drosera intermedia",95438,23.78625,17.741,28.4211111111111
"Drosera rotundifolia",95442,61.455,13.7663928571429,40.9339644887594
