LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Artemisia verlotiorum,84057,31.0226414230084,60.6621727366821,8.3151858403095,31 : 61 : 8 %,S/CS
Artemisia vulgaris,84061,38.6821727754727,26.7959704248637,34.5218567996636,39 : 27 : 35 %,CSR
Asclepias syriaca,84251,67.7661498959067,14.7063891247512,17.5274609793421,68 : 15 : 18 %,C/CR
Asparagus acutifolius,84264,0,100,0,0 : 100 : 0 %,S
Asperula aristata,84296,0.0114317888865945,54.3666871636429,45.6218810474705,0 : 54 : 46 %,SR
Asperula arvensis,84297,4.77541131310188,48.2321798802495,46.9924088066486,5 : 48 : 47 %,SR
Asperula purpurea,84319,0,75.0744136428868,24.9255863571132,0 : 75 : 25 %,S/SR
Asphodelus albus,84338,31.0707995527992,68.9292004472008,0,31 : 69 : 0 %,S/CS
Asphodelus fistulosus,84355,12.417374012123,87.582625987877,0,12 : 88 : 0 %,S
Asplenium ceterach,84472,29.4262394448653,34.1791599237908,36.3946006313439,29 : 34 : 36 %,CSR
Asplenium viride,84540,19.3891550952417,36.4592556646087,44.1515892401497,19 : 36 : 44 %,SR/CSR
Astragalus hamosus,84846,64.5462554356704,19.3106469480195,16.1430976163102,65 : 19 : 16 %,C/CSR
Astragalus stella,84904,0.987454812585248,60.8778386497336,38.1347065376811,1 : 61 : 38 %,SR
Athyrium filix-femina,84999,77.044894905885,0,22.955105094115,77 : 0 : 23 %,C/CR
Atractylis humilis,85023,10.9454887953714,89.0545112046286,0,11 : 89 : 0 %,S
Atriplex laciniata,85079,43.6458533149401,27.808380534061,28.5457661509988,44 : 28 : 29 %,CSR
Atriplex patula,85102,57.23774198196,0,42.76225801804,57 : 0 : 43 %,CR
Avena sterilis,85374,34.9422403608375,20.2262467772788,44.8315128618837,35 : 20 : 45 %,CR/CSR
Avena strigosa,85378,39.3129782961115,15.2187611226604,45.4682605812281,39 : 15 : 45 %,CR/CSR
Barbarea intermedia,85536,52.5977990594578,0,47.4022009405422,53 : 0 : 47 %,CR
Bartsia alpina,85602,10.3271643440083,61.8847121242787,27.7881235317129,10 : 62 : 28 %,S/SR
Bellis annua,85728,10.388629185404,0,89.611370814596,10 : 0 : 90 %,R
Bellis perennis,85740,31.4850100124616,0,68.5149899875384,31 : 0 : 69 %,R/CR
Berberis vulgaris,85774,13.4812689721235,62.5883268331099,23.9304041947666,13 : 63 : 24 %,S/CSR
Bidens connata,85949,27.6276727774616,0,72.3723272225384,28 : 0 : 72 %,R/CR
Bidens frondosa,85957,44.8574776751991,0.352595550230036,54.7899267745709,45 : 0 : 55 %,CR
Bidens pilosa,85972,41.255270556775,2.92128473635946,55.8234447068656,41 : 3 : 56 %,CR
Bidens radiata,85978,64.0080429011879,0,35.9919570988121,64 : 0 : 36 %,C/CR
Bifora radians,85997,32.9314236092276,0,67.0685763907724,33 : 0 : 67 %,R/CR
Bistorta officinalis,86081,42.8101865567392,28.6892780769505,28.5005353663103,43 : 29 : 29 %,CSR
Bistorta vivipara,86082,21.270347912478,44.5446410944843,34.1850109930377,21 : 45 : 34 %,SR/CSR
Bituminaria bituminosa,86083,15.5386226040119,59.0042787688394,25.4570986271487,16 : 59 : 25 %,S/CSR
Blackstonia acuminata,86084,7.29403040957864,0,92.7059695904214,7 : 0 : 93 %,R
Blackstonia perfoliata,86087,17.7571792712466,28.5259398334781,53.7168808952753,18 : 29 : 54 %,R/CSR
Blysmus compressus,86124,15.4775558544865,61.1702541140026,23.352190031511,15 : 61 : 23 %,S/CSR
Borago officinalis,86156,59.0834241889694,0,40.9165758110306,59 : 0 : 41 %,CR
Brachypodium distachyon,86262,1.53727993693742,57.5408535553558,40.9218665077068,2 : 58 : 41 %,SR
Brachypodium pinnatum,86289,25.1599759996279,43.1260547341251,31.713969266247,25 : 43 : 32 %,CSR
Brachypodium retusum,86297,3.86950752449035,58.6643810526334,37.4661114228762,4 : 59 : 37 %,SR
Brassica oleracea,86406,51.3363117470877,0,48.6636882529123,51 : 0 : 49 %,CR
Briza media,86490,14.3114559925708,52.221358405583,33.4671856018463,14 : 52 : 33 %,SR/CSR
Bromus arvensis,86537,26.2136784019361,43.623252803239,30.1630687948249,26 : 44 : 30 %,CSR
Bromus commutatus,86571,26.8988012842592,31.2446164411901,41.8565822745508,27 : 31 : 42 %,CSR
Bromus hordeaceus,86634,12.1890835012563,45.4407895193753,42.3701269793684,12 : 45 : 42 %,SR/CSR
Buglossoides incrassata,610662,15.3560626329334,9.97936955114953,74.6645678159171,15 : 10 : 75 %,R/CR
Bunium bulbocastanum,86983,46.7696788444854,0,53.2303211555146,47 : 0 : 53 %,CR
Buphthalmum salicifolium,87009,26.0119382085043,19.9071479564399,54.0809138350558,26 : 20 : 54 %,R/CSR
Bupleurum rigidum,87093,32.7989840203568,59.8692387296851,7.33177724995815,33 : 60 : 7 %,S/CS
Calamagrostis arundinacea,87212,25.6128973430132,50.8002058041215,23.5868968528653,26 : 51 : 24 %,S/CSR
Campanula barbata,87607,27.5310865445129,43.3950804228322,29.0738330326549,28 : 43 : 29 %,CSR
Campanula bononiensis,87613,26.6028793687214,44.7928097381051,28.6043108931734,27 : 45 : 29 %,S/CSR
Campanula erinus,87636,10.8490720540101,0,89.1509279459899,11 : 0 : 89 %,R
Campanula patula,87690,38.7139314993901,0,61.2860685006099,39 : 0 : 61 %,CR
Campanula rotundifolia,87720,5.01766255067146,47.5418799633367,47.4404574859918,5 : 48 : 47 %,SR
Campanula trachelium,87742,41.2505346099808,0,58.7494653900192,41 : 0 : 59 %,CR
Cardamine heptaphylla,87925,57.9228819623918,0,42.0771180376082,58 : 0 : 42 %,CR
Cardamine hirsuta,87930,10.6184789493291,0,89.3815210506709,11 : 0 : 89 %,R
Cardamine impatiens,87933,8.49001311662745,47.2703104179893,44.2396764653833,8 : 47 : 44 %,SR
Cardamine pratensis,87964,40.248847463494,15.0600388922555,44.6911136442505,40 : 15 : 45 %,CR/CSR
Carduus acanthoides,88059,38.6213889066661,57.1206644677123,4.25794662562154,39 : 57 : 4 %,CS
Carex arenaria,88349,17.3977652404378,64.5858375886538,18.0163971709085,17 : 65 : 18 %,S/CSR
Carex brunnescens,88400,7.70261907011315,83.2583342264114,9.03904670347539,8 : 83 : 9 %,S
Carex curvula,88453,5.05705262786597,91.2849686706861,3.65797870144794,5 : 91 : 4 %,S
Carex demissa,771637,15.160487223674,55.3710088221674,29.4685039541586,15 : 55 : 29 %,S/CSR
Carex extensa,88502,25.0170261451351,74.9829738548649,0,25 : 75 : 0 %,S/CS
Carex halleriana,88560,8.95751058790954,73.4322294393086,17.6102599727819,9 : 73 : 18 %,S/SR
Carex humilis,88582,6.72876708164283,76.787094293584,16.4841386247732,7 : 77 : 16 %,S/SR
Carex liparocarpos,88637,9.53878029822911,82.5614581110908,7.8997615906801,10 : 83 : 8 %,S
Carex mucronata,88693,0.688354650086013,99.311645349914,0,1 : 99 : 0 %,S
Carex otrubae,88741,34.9522229330562,44.5435645827612,20.5042124841825,35 : 45 : 21 %,CS/CSR
