LB_NOM,CD_REF,C,S,R,CSR,strategy_class,harvested,selected
Abutilon theophrasti,79684,64.2570398275736,14.7090884093157,21.0338717631107,64 : 15 : 21 %,C/CR,0,1
Acer campestre,79734,36.4385230938179,46.7977879429466,16.7636889632356,36 : 47 : 17 %,CS/CSR,1,1
Acer pseudoplatanus,79783,48.672716371109,40.8483662929392,10.4789173359518,49 : 41 : 10 %,CS,0,1
Aconitum anthora,80007,35.3700616316671,0.671655232881879,63.958283135451,35 : 1 : 64 %,R/CR,1,1
Aegopodium podagraria,80322,60.1940901979969,13.4743917387442,26.3315180632589,60 : 13 : 26 %,C/CSR,1,1
Aethionema saxatile,80350,11.7960602542272,70.6652683016256,17.5386714441472,12 : 71 : 18 %,S/SR,0,1
Agrimonia eupatoria,80410,43.8728839807437,41.0377349599396,15.0893810593167,44 : 41 : 15 %,CS/CSR,1,1
Agrostemma githago,80546,26.7186671549423,46.3991142449258,26.8822186001319,27 : 46 : 27 %,S/CSR,1,1
Agrostis alpina,80564,0,100,0,0 : 100 : 0 %,S,0,1
Agrostis stolonifera,80759,8.39291560263083,53.6925260057791,37.9145583915901,8 : 54 : 38 %,SR,0,1
Ajuga chamaepitys,80978,11.0662679462198,1.99352315383354,86.9402088999467,11 : 2 : 87 %,R,1,1
Albizia julibrissin,447347,63.886455965944,25.4485325886974,10.6650114453586,64 : 25 : 11 %,C/CS,0,1
Alchemilla glaucescens,81091,34.2974988502963,41.3227570351307,24.379744114573,34 : 41 : 24 %,CS/CSR,0,1
Alchemilla subglobosa,717722,38.760803052175,31.6129216694735,29.6262752783515,39 : 32 : 30 %,CSR,0,1
Alisma gramineum,81260,21.1093687344675,67.0366328184402,11.8539984470923,21 : 67 : 12 %,S/CS,0,1
Alkanna matthioli,81287,10.1324652938896,60.3267174445183,29.5408172615922,10 : 60 : 30 %,S/SR,1,1
Allium angulosum,81316,69.7317683997722,0,30.2682316002278,70 : 0 : 30 %,C/CR,0,1
Allium carinatum,81336,39.8376305992496,0,60.1623694007504,40 : 0 : 60 %,CR,0,1
Allium flavum,81376,9.81014119061597,90.189858809384,0,10 : 90 : 0 %,S,0,1
Allium scorodoprasum,81510,14.8422413594773,85.1577586405227,0,15 : 85 : 0 %,S,0,1
Allium ursinum,81541,48.9468238912052,0,51.0531761087948,49 : 0 : 51 %,CR,1,1
Alnus incana,81570,31.6708973052634,45.9097385182836,22.419364176453,32 : 46 : 22 %,S/CSR,1,1
Alopecurus geniculatus,81637,13.2384689573439,44.2388127812661,42.52271826139,13 : 44 : 43 %,SR/CSR,0,1
Alopecurus myosuroides,81648,18.1587837183321,41.3395811766029,40.501635105065,18 : 41 : 41 %,SR/CSR,0,1
Alopecurus pratensis,81656,22.1770308731393,45.356324199595,32.4666449272657,22 : 45 : 32 %,SR/CSR,0,1
Alternanthera philoxeroides,81831,28.7118334753637,0,71.2881665246363,29 : 0 : 71 %,R/CR,0,1
Amaranthus blitum,81966,17.0111867746755,0,82.9888132253245,17 : 0 : 83 %,R/CR,0,1
Amaranthus cruentus,81976,60.7038871247436,0,39.2961128752564,61 : 0 : 39 %,CR,0,1
Amaranthus hybridus,81992,34.3987492682341,0,65.6012507317659,34 : 0 : 66 %,R/CR,0,1
Ambrosia psilostachya,610847,21.566959963789,41.1578551694991,37.275184866712,22 : 41 : 37 %,SR/CSR,0,1
Ammannia coccinea,82120,38.7220530205709,0,61.2779469794291,39 : 0 : 61 %,CR,0,1
