CD_REF,FAMILLE,Nom scientifique,Rang,Categorie,Commentaires
130788,Ranunculaceae,"Aconitum napellus subsp. napellus L., 1753",sous-espece,NT,
618651,Ranunculaceae,"Aconitum napellus subsp. burnatii (G�yer) J.-M.Tison, 2010",sous-espece,LC,
130784,Ranunculaceae,"Aconitum napellus subsp. corsicum (G�yer) Seitz, 1969",sous-espece,LC,
130787,Ranunculaceae,"Aconitum napellus subsp. lusitanicum Rouy, 1884",sous-espece,NT,
130792,Ranunculaceae,"Aconitum napellus subsp. vulgare Rouy & Foucaud, 1893",sous-espece,LC,
80066,Ranunculaceae,"Aconitum variegatum L., 1753",espece,LC,
130802,Ranunculaceae,"Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944",sous-espece,LC,
130803,Ranunculaceae,"Aconitum variegatum subsp. pyrenaicum Vivant, 1981",sous-espece,LC,
80086,Acoraceae,"Acorus calamus L., 1753",espece,NAa,Exotiques
80137,Ranunculaceae,"Actaea spicata L., 1753",espece,LC,
80155,Fabaceae,"Adenocarpus complicatus (L.) J.Gay, 1836",espece,LC,
130820,Fabaceae,"Adenocarpus complicatus subsp. complicatus (L.) J.Gay, 1836",sous-espece,LC,
130823,Fabaceae,"Adenocarpus complicatus subsp. parvifolius (DC.) Garc�a Ad�, G.L�pez & P.Vargas, 1996",sous-espece,LC,
80162,Fabaceae,"Adenocarpus telonensis (Loisel.) DC., 1815",espece,LC,
80183,Asteraceae,"Adenostyles alliariae (Gouan) A.Kern., 1871",espece,LC,
80184,Asteraceae,"Adenostyles alpina (L.) Bluff & Fingerh., 1825",espece,LC,
130834,Asteraceae,"Adenostyles alpina subsp. alpina (L.) Bluff & Fingerh., 1825",sous-espece,LC,
130835,Asteraceae,"Adenostyles alpina subsp. briquetii (Gamisans) Tutin, 1975",sous-espece,LC,
718206,Asteraceae,"Adenostyles alpina subsp. pyrenaica (Lange) Dillenb. & Kadereit, 2012",sous-espece,LC,
80190,Asteraceae,"Adenostyles leucophylla (Willd.) Rchb., 1831",espece,LC,
447951,Pteridaceae,"Adiantum capillus-veneris L., 1753",espece,LC,
447953,Pteridaceae,"Adiantum raddianum C.Presl, 1836",espece,NAa,Exotiques
80211,Ranunculaceae,"Adonis aestivalis L., 1762",espece,NT,
80212,Ranunculaceae,"Adonis annua L., 1753",espece,LC,
80224,Ranunculaceae,"Adonis flammea Jacq., 1776",espece,NT,
80232,Ranunculaceae,"Adonis microcarpa DC., 1817",espece,NAa,Exotiques
80238,Ranunculaceae,"Adonis pyrenaica DC., 1815",espece,NT,
80240,Ranunculaceae,"Adonis vernalis L., 1753",espece,VU,
80243,Adoxaceae,"Adoxa moschatellina L., 1753",espece,LC,
80263,Poaceae,"Aegilops biuncialis Vis., 1842",espece,NT,
159514,Poaceae,"Aegilops caudata L., 1753",espece,NAa,Exotiques
610756,Poaceae,"Aegilops crassa Boiss., 1846",espece,NAa,Exotiques
80270,Poaceae,"Aegilops cylindrica Host, 1802",espece,NAa,Exotiques
80278,Poaceae,"Aegilops geniculata Roth, 1797",espece,LC,
80282,Poaceae,"Aegilops juvenalis (Thell.) Eig, 1929",espece,NAa,Exotiques
80283,Poaceae,"Aegilops ligustica (Savign.) Coss., 1864",espece,NAa,Exotiques
80288,Poaceae,"Aegilops neglecta Req. ex Bertol., 1835",espece,LC,
80297,Poaceae,"Aegilops speltoides Tausch, 1837",espece,NAa,Exotiques
80302,Poaceae,"Aegilops triuncialis L., 1753",espece,LC,
80304,Poaceae,"Aegilops ventricosa Tausch, 1837",espece,LC,
80322,Apiaceae,"Aegopodium podagraria L., 1753",espece,LC,
80329,Poaceae,"Aeluropus littoralis (Gouan) Parl., 1850",espece,LC,
80332,Crassulaceae,"Aeonium haworthii Webb & Berthel., 1840",espece,NAa,Exotiques
80338,Sapindaceae,"Aesculus carnea Hayne, 1822",espece,NAa,Exotiques
80334,Sapindaceae,"Aesculus hippocastanum L., 1753",espece,NAa,Exotiques
80347,Brassicaceae,"Aethionema monospermum R.Br., 1812",espece,VU,
80350,Brassicaceae,"Aethionema saxatile (L.) R.Br., 1812",espece,LC,
80351,Brassicaceae,"Aethionema thomasianum J.Gay, 1845",espece,VU,
80358,Apiaceae,"Aethusa cynapium L., 1753",espece,LC,
130873,Apiaceae,"Aethusa cynapium subsp. cynapium L., 1753",sous-espece,LC,
611902,Apiaceae,"Aethusa cynapium subsp. elata (Friedl.) Sch�bl. & G.Martens, 1834",sous-espece,LC,
80383,Asparagaceae,"Agave americana L., 1753",espece,NAa,Exotiques
610762,Asparagaceae,"Agave salmiana Otto, 1842",espece,NAa,Exotiques
80387,Asteraceae,"Ageratina adenophora (Spreng.) R.M.King & H.Rob., 1970",espece,NAa,Exotiques
80410,Rosaceae,"Agrimonia eupatoria L., 1753",espece,LC,
130876,Rosaceae,"Agrimonia eupatoria subsp. eupatoria L., 1753",sous-espece,LC,
130877,Rosaceae,"Agrimonia eupatoria subsp. grandis (Andrz. ex Asch. & Graebn.) Bornm., 1940",sous-espece,LC,
80417,Rosaceae,"Agrimonia procera Wallr., 1840",espece,LC,
80446,Poaceae,"Agropyron cristatum (L.) Gaertn., 1770",espece,EN,
130885,Poaceae,"Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev, 1970",sous-espece,EN,
80546,Caryophyllaceae,"Agrostemma githago L., 1753",espece,LC,
80564,Poaceae,"Agrostis alpina Scop., 1771",espece,LC,
80590,Poaceae,"Agrostis canina L., 1753",espece,LC,
80591,Poaceae,"Agrostis capillaris L., 1753",espece,LC,
80593,Poaceae,"Agrostis castellana Boiss. & Reut., 1842",espece,LC,
80605,Poaceae,"Agrostis curtisii Kergu�len, 1976",espece,LC,
80639,Poaceae,"Agrostis gigantea Roth, 1788",espece,LC,
80645,Poaceae,"Agrostis hesperica Romero Garc�a, Blanca & C.Morales, 1986",espece,DD,
610789,Poaceae,"Agrostis marysae-tortiae Portal, 2009",espece,DD,
80729,Poaceae,"Agrostis rupestris All., 1785",espece,LC,
80735,Poaceae,"Agrostis scabra Willd., 1797",espece,NAa,Exotiques
80739,Poaceae,"Agrostis schleicheri Jord. & Verl., 1855",espece,LC,
80741,Poaceae,"Agrostis schraderiana Bech., 1938",espece,LC,
80759,Poaceae,"Agrostis stolonifera L., 1753",espece,LC,
80798,Poaceae,"Agrostis vinealis Schreb., 1771",espece,LC,
612384,Poaceae,"Agrostis vinealis subsp. ericetorum (Pr�aub. & Bouvet) Vald�s & H.Scholz, 2006",sous-espece,LC,
612385,Poaceae,"Agrostis vinealis subsp. vinealis Schreb., 1771",sous-espece,LC,
80824,Simaroubaceae,"Ailanthus altissima (Mill.) Swingle, 1916",espece,NAa,Exotiques
80846,Poaceae,"Aira armoricana F.Albers, 1979",espece,LC,
80857,Poaceae,"Aira caryophyllea L., 1753",espece,LC,
80864,Poaceae,"Aira cupaniana Guss., 1843",espece,LC,
80871,Poaceae,"Aira elegantissima Schur, 1853",espece,LC,
80902,Poaceae,"Aira multiculmis Dumort., 1824",espece,LC,
80911,Poaceae,"Aira praecox L., 1753",espece,LC,
80912,Poaceae,"Aira provincialis Jord., 1852",espece,LC,
80923,Poaceae,"Aira tenorei Guss., 1827",espece,LC,
80955,Poaceae,"Airopsis tenella (Cav.) Asch. & Graebn., 1899",espece,LC,
80978,Lamiaceae,"Ajuga chamaepitys (L.) Schreb., 1773",espece,LC,
80980,Lamiaceae,"Ajuga genevensis L., 1753",espece,LC,
80983,Lamiaceae,"Ajuga iva (L.) Schreb., 1773",espece,LC,
80988,Lamiaceae,"Ajuga pyramidalis L., 1753",espece,LC,
80990,Lamiaceae,"Ajuga reptans L., 1753",espece,LC,
81001,Lardizabalaceae,"Akebia quinata Decne., 1839",espece,NAa,Exotiques
447347,Fabaceae,"Albizia julibrissin Durazz., 1772",espece,NAa,Exotiques
81019,Malvaceae,"Alcea biennis Winterl, 1788",espece,LC,
81023,Malvaceae,"Alcea rosea L., 1753",espece,LC,
81027,Rosaceae,"Alchemilla acutiloba Opiz, 1838",espece,LC,
81032,Rosaceae,"Alchemilla alpigena Buser, 1894",espece,LC,
81033,Rosaceae,"Alchemilla alpina L., 1753",espece,LC,
81035,Rosaceae,"Alchemilla amphisericea Buser, 1906",espece,LC,
81046,Rosaceae,"Alchemilla borderei Buser ex E.Frohner, 1995",espece,DD,
81055,Rosaceae,"Alchemilla colorata Buser, 1892",espece,LC,
81057,Rosaceae,"Alchemilla conjuncta Bab., 1842",espece,LC,
81058,Rosaceae,"Alchemilla connivens Buser, 1894",espece,LC,
717055,Rosaceae,"Alchemilla controversa Buser, 1903",espece,DD,
81059,Rosaceae,"Alchemilla coriacea Buser, 1891",espece,LC,
81063,Rosaceae,"Alchemilla crinita Buser, 1892",espece,LC,
81065,Rosaceae,"Alchemilla decumbens Buser, 1894",espece,DD,
81068,Rosaceae,"Alchemilla demissa Buser, 1894",espece,LC,
610822,Rosaceae,"Alchemilla diluta S.E.Fr�hner, 1992",espece,DD,
81072,Rosaceae,"Alchemilla fallax Buser, 1894",espece,LC,
81073,Rosaceae,"Alchemilla filicaulis Buser, 1893",espece,LC,
81075,Rosaceae,"Alchemilla fissa G�nther & Schummel, 1819",espece,LC,
81076,Rosaceae,"Alchemilla flabellata Buser, 1891",espece,LC,
81079,Rosaceae,"Alchemilla flexicaulis Buser, 1893",espece,LC,
81083,Rosaceae,"Alchemilla frigens Buser, 1894",espece,DD,
81086,Rosaceae,"Alchemilla fulgens Buser, 1901",espece,LC,
81088,Rosaceae,"Alchemilla glabra Neygenf., 1821",espece,LC,
717719,Rosaceae,Alchemilla glacialis Buser,espece,LC,
81091,Rosaceae,"Alchemilla glaucescens Wallr., 1840",espece,LC,
81092,Rosaceae,"Alchemilla glomerulans Buser, 1893",espece,DD,
81095,Rosaceae,"Alchemilla grenieri J.Guillot, 1989",espece,LC,
81096,Rosaceae,"Alchemilla grossidens Buser, 1891",espece,DD,
81097,Rosaceae,"Alchemilla heteropoda Buser, 1894",espece,LC,
81098,Rosaceae,"Alchemilla hoppeana (Rchb.) Dalla Torre, 1882",espece,NT,
81101,Rosaceae,"Alchemilla hybrida (L.) L., 1756",espece,LC,
81104,Rosaceae,"Alchemilla incisa Buser, 1892",espece,LC,
81105,Rosaceae,"Alchemilla inconcinna Buser, 1893",espece,LC,
81117,Rosaceae,"Alchemilla leptoclada Buser, 1894",espece,LC,
610820,Rosaceae,"Alchemilla mollis (Buser) Rothm., 1934",espece,NAa,Exotiques
81130,Rosaceae,"Alchemilla monticola Opiz, 1838",espece,LC,
717061,Rosaceae,"Alchemilla montserratii S.E.Fr�hner, 1992",espece,LC,
717063,Rosaceae,"Alchemilla obscura Buser, 1903",espece,DD,
717064,Rosaceae,"Alchemilla ozana S.E.Fr�hner, 1995",espece,DD,
81137,Rosaceae,"Alchemilla pallens Buser, 1892",espece,LC,
81140,Rosaceae,"Alchemilla pentaphyllea L., 1753",espece,LC,
717721,Rosaceae,"Alchemilla petiolulans Buser, 1903",espece,LC,
81142,Rosaceae,"Alchemilla plicata Buser, 1893",espece,DD,
717065,Rosaceae,"Alchemilla polatschekiana S.E.Fr�hner, 1981",espece,DD,
717066,Rosaceae,"Alchemilla propinqua H.Lindb. ex Juz., 1923",espece,DD,
892219,Rosaceae,"Alchemilla reflexa Frost-Ols., 2016",espece,LC,
81153,Rosaceae,"Alchemilla reniformis Buser, 1894",espece,LC,
81159,Rosaceae,"Alchemilla saxatilis Buser, 1891",espece,LC,
81161,Rosaceae,"Alchemilla schmidelyana Buser, 1891",espece,LC,
81166,Rosaceae,"Alchemilla splendens Christ ex Favrat, 1889",espece,DD,
81167,Rosaceae,"Alchemilla straminea Buser, 1894",espece,LC,
608142,Rosaceae,"Alchemilla strigosula Buser, 1893",espece,LC,
81170,Rosaceae,"Alchemilla subcrenata Buser, 1893",espece,LC,
717722,Rosaceae,"Alchemilla subglobosa C.G. Westerl., 1907",espece,DD,
81171,Rosaceae,"Alchemilla subsericea Reut., 1854",espece,LC,
81178,Rosaceae,"Alchemilla tenuis Buser, 1894",espece,LC,
81179,Rosaceae,"Alchemilla transiens (Buser) Buser, 1898",espece,LC,
81182,Rosaceae,"Alchemilla trunciloba Buser, 1894",espece,LC,
81190,Rosaceae,"Alchemilla vetteri Buser, 1896",espece,LC,
81195,Rosaceae,"Alchemilla xanthochlora Rothm., 1937",espece,LC,
81197,Droseraceae,"Aldrovanda vesiculosa L., 1753",espece,NAb,éteintes en France
81260,Alismataceae,"Alisma gramineum Lej., 1811",espece,NT,
81263,Alismataceae,"Alisma lanceolatum With., 1796",espece,LC,
81272,Alismataceae,"Alisma plantago-aquatica L., 1753",espece,LC,
81286,Boraginaceae,"Alkanna lutea Moris, 1845",espece,VU,
81287,Boraginaceae,"Alkanna matthioli Tausch, 1824",espece,LC,
81295,Brassicaceae,"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",espece,LC,
81297,Amaryllidaceae,"Allium acutiflorum Loisel., 1809",espece,LC,
81313,Amaryllidaceae,"Allium ampeloprasum L., 1753",espece,NAa,Exotiques
81316,Amaryllidaceae,"Allium angulosum L., 1753",espece,EN,
81336,Amaryllidaceae,"Allium carinatum L., 1753",espece,LC,
81339,Amaryllidaceae,"Allium cepa L., 1753",espece,NAa,Exotiques
81341,Amaryllidaceae,"Allium chamaemoly L., 1753",espece,LC,
81347,Amaryllidaceae,"Allium coloratum Spreng., 1825",espece,LC,
81350,Amaryllidaceae,"Allium commutatum Guss., 1855",espece,LC,
81355,Amaryllidaceae,"Allium consimile Jord. ex Gren., 1855",espece,EN,
81359,Amaryllidaceae,"Allium corsicum Jauzein, J.-M.Tison, Desch�tres & H.Couderc, 2002",espece,VU,
610829,Amaryllidaceae,"Allium cyrilli Ten., 1829",espece,VU,
81369,Amaryllidaceae,"Allium ericetorum Thore, 1803",espece,LC,
81373,Amaryllidaceae,"Allium fistulosum L., 1753",espece,NAa,Exotiques
81376,Amaryllidaceae,"Allium flavum L., 1753",espece,LC,
81378,Amaryllidaceae,"Allium flexum Waldst. & Kit., 1812",espece,LC,
81421,Amaryllidaceae,"Allium longispathum D.Delaroche, 1811",espece,LC,
81423,Amaryllidaceae,"Allium lusitanicum Lam., 1783",espece,LC,
81433,Amaryllidaceae,"Allium moly L., 1753",espece,NT,
81439,Amaryllidaceae,"Allium moschatum L., 1753",espece,LC,
81440,Amaryllidaceae,"Allium multibulbosum Jacq., 1773",espece,NAa,Exotiques
81443,Amaryllidaceae,"Allium narcissiflorum Vill., 1779",espece,LC,
81445,Amaryllidaceae,"Allium neapolitanum Cirillo, 1788",espece,LC,
81449,Amaryllidaceae,"Allium nigrum L., 1762",espece,VU,
81457,Amaryllidaceae,"Allium oleraceum L., 1753",espece,LC,
81459,Amaryllidaceae,"Allium oporinanthum Brullo, Pavone & Salmeri, 1977",espece,LC,
81463,Amaryllidaceae,"Allium pallens L., 1762",espece,LC,
81468,Amaryllidaceae,"Allium parciflorum Viv., 1825",espece,LC,
81473,Amaryllidaceae,"Allium pendulinum Ten., 1815",espece,LC,
81479,Amaryllidaceae,"Allium polyanthum Schult. & Schult.f., 1830",espece,LC,
81499,Amaryllidaceae,"Allium roseum L., 1753",espece,LC,
81501,Amaryllidaceae,"Allium rotundum L., 1762",espece,LC,
81505,Amaryllidaceae,"Allium sativum L., 1753",espece,NAa,Exotiques
81506,Amaryllidaceae,"Allium savii Parl., 1857",espece,LC,
81507,Amaryllidaceae,"Allium scaberrimum J.Serres, 1857",espece,LC,
81508,Amaryllidaceae,"Allium schoenoprasum L., 1753",espece,LC,
81510,Amaryllidaceae,"Allium scorodoprasum L., 1753",espece,LC,
81516,Amaryllidaceae,"Allium siculum Ucria, 1793",espece,DD,
81520,Amaryllidaceae,"Allium sphaerocephalon L., 1753",espece,LC,
81522,Amaryllidaceae,"Allium strictum Schrad., 1809",espece,VU,
81523,Amaryllidaceae,"Allium suaveolens Jacq., 1789",espece,CR,
81525,Amaryllidaceae,"Allium subhirsutum L., 1753",espece,LC,
81530,Amaryllidaceae,"Allium tenuiflorum Ten., 1815",espece,CR,
81537,Amaryllidaceae,"Allium trifoliatum Cirillo, 1792",espece,NAa,Exotiques
81538,Amaryllidaceae,"Allium triquetrum L., 1753",espece,LC,
81541,Amaryllidaceae,"Allium ursinum L., 1753",espece,LC,
81543,Amaryllidaceae,"Allium victorialis L., 1753",espece,LC,
81544,Amaryllidaceae,"Allium vineale L., 1753",espece,LC,
717069,Pteridaceae,"Allosorus acrosticus (Balb.) Christenh., 2012",espece,LC,
717070,Pteridaceae,"Allosorus guanchicus (Bolle) Christenh., 2012",espece,LC,
717071,Pteridaceae,"Allosorus hispanicus (Mett.) Christenh., 2012",espece,VU,
717072,Pteridaceae,"Allosorus pteridioides (Reichard) Christenh., 2012",espece,LC,
717073,Pteridaceae,"Allosorus tinaei (Tod.) Christenh., 2012",espece,LC,
81563,Betulaceae,"Alnus alnobetula (Ehrh.) K.Koch, 1872",espece,LC,
131226,Betulaceae,"Alnus alnobetula subsp. alnobetula (Ehrh.) K.Koch, 1872",sous-espece,LC,
131227,Betulaceae,"Alnus alnobetula subsp. suaveolens (Req.) Lambinon & Kergu�len, 1988",sous-espece,LC,
81567,Betulaceae,"Alnus cordata (Loisel.) Duby, 1828",espece,LC,
81569,Betulaceae,"Alnus glutinosa (L.) Gaertn., 1790",espece,LC,
81570,Betulaceae,"Alnus incana (L.) Moench, 1794",espece,LC,
81588,Asphodelaceae,"Aloe arborescens Mill., 1768",espece,NAa,Exotiques
81595,Asphodelaceae,"Aloe maculata All., 1773",espece,NAa,Exotiques
81610,Poaceae,"Alopecurus aequalis Sobol., 1799",espece,LC,
81620,Poaceae,"Alopecurus arundinaceus Poir., 1808",espece,VU,
81624,Poaceae,"Alopecurus bulbosus Gouan, 1762",espece,LC,
81637,Poaceae,"Alopecurus geniculatus L., 1753",espece,LC,
81638,Poaceae,"Alopecurus gerardi Vill., 1786",espece,LC,
81648,Poaceae,"Alopecurus myosuroides Huds., 1762",espece,LC,
81656,Poaceae,"Alopecurus pratensis L., 1753",espece,LC,
81658,Poaceae,"Alopecurus rendlei Eig, 1937",espece,NT,
639101,Verbenaceae,"Aloysia citriodora Pal�u, 1784",espece,NAa,Exotiques
81831,Amaranthaceae,"Alternanthera philoxeroides (Mart.) Griseb., 1879",espece,NAa,Exotiques
81837,Malvaceae,"Althaea cannabina L., 1753",espece,LC,
81856,Malvaceae,"Althaea officinalis L., 1753",espece,LC,
81869,Potamogetonaceae,"Althenia filiformis Petit, 1829",espece,NT,
131262,Potamogetonaceae,"Althenia filiformis subsp. filiformis Petit, 1829",sous-espece,DD,
131263,Potamogetonaceae,"Althenia filiformis subsp. orientalis Tzvelev, 1975",sous-espece,DD,
81875,Brassicaceae,"Alyssoides utriculata (L.) Medik., 1789",espece,LC,
81876,Brassicaceae,"Alyssum alpestre L., 1767",espece,LC,
81878,Brassicaceae,"Alyssum alyssoides (L.) L., 1759",espece,LC,
810907,Brassicaceae,"Alyssum cacuminum ?paniel, Marhold & Lihov�, 2014",espece,NT,
81896,Brassicaceae,"Alyssum corsicum Duby, 1828",espece,NAa,Exotiques
161703,Brassicaceae,"Alyssum flexicaule Jord., 1846",espece,VU,
81915,Brassicaceae,"Alyssum loiseleurii P.Fourn., 1936",espece,NT,
81923,Brassicaceae,"Alyssum montanum L., 1753",espece,LC,
81926,Brassicaceae,"Alyssum orophilum Jord. & Fourr., 1868",espece,LC,
81935,Brassicaceae,"Alyssum rhodanense Jord. & Fourr., 1868",espece,VU,
81936,Brassicaceae,"Alyssum robertianum Bernard, Godr. & Gren., 1848",espece,LC,
81943,Brassicaceae,"Alyssum serpyllifolium Desf., 1799",espece,LC,
81944,Brassicaceae,"Alyssum simplex Rudolphi, 1799",espece,LC,
81955,Amaranthaceae,"Amaranthus albus L., 1759",espece,NAa,Exotiques
81963,Amaranthaceae,"Amaranthus blitoides S.Watson, 1877",espece,NAa,Exotiques
81966,Amaranthaceae,"Amaranthus blitum L., 1753",espece,LC,
131285,Amaranthaceae,"Amaranthus blitum subsp. blitum L., 1753",sous-espece,LC,
131286,Amaranthaceae,"Amaranthus blitum subsp. emarginatus (Salzm. ex Uline & W.L.Bray) Carretero, Mu�oz Garm. & Pedrol, 1987",sous-espece,LC,
81971,Amaranthaceae,"Amaranthus caudatus L., 1753",espece,NAa,Exotiques
81976,Amaranthaceae,"Amaranthus cruentus L., 1759",espece,NAa,Exotiques
81978,Amaranthaceae,"Amaranthus deflexus L., 1771",espece,NAa,Exotiques
81991,Amaranthaceae,"Amaranthus graecizans L., 1753",espece,LC,
131292,Amaranthaceae,"Amaranthus graecizans subsp. silvestris (Vill.) Brenan, 1961",sous-espece,LC,
81992,Amaranthaceae,"Amaranthus hybridus L., 1753",espece,NAa,Exotiques
131294,Amaranthaceae,"Amaranthus hybridus subsp. bouchonii (Thell.) O.Bol�s & Vigo, 1974",sous-espece,NAa,Exotiques
131296,Amaranthaceae,"Amaranthus hybridus subsp. hybridus L., 1753",sous-espece,NAa,Exotiques
81994,Amaranthaceae,"Amaranthus hypochondriacus L., 1753",espece,NAa,Exotiques
82006,Amaranthaceae,"Amaranthus muricatus (Gillies ex Moq.) Hieron., 1881",espece,NAa,Exotiques
82018,Amaranthaceae,"Amaranthus retroflexus L., 1753",espece,NAa,Exotiques
82023,Amaranthaceae,"Amaranthus spinosus L., 1753",espece,NAa,Exotiques
82033,Amaranthaceae,"Amaranthus viridis L., 1763",espece,NAa,Exotiques
