"","CD_REF","LB_NOM","FAMILLE","FR"
"129",80980,"Ajuga genevensis","Lamiaceae","P"
"130",80983,"Ajuga iva","Lamiaceae","P"
"131",80988,"Ajuga pyramidalis","Lamiaceae","P"
"132",80990,"Ajuga reptans","Lamiaceae","P"
"133",81001,"Akebia quinata","Lardizabalaceae","I"
"134",447347,"Albizia julibrissin","Fabaceae","M"
"135",81019,"Alcea biennis","Malvaceae","I"
"136",81023,"Alcea rosea","Malvaceae","I"
"137",81027,"Alchemilla acutiloba","Rosaceae","P"
"138",81032,"Alchemilla alpigena","Rosaceae","P"
"139",81033,"Alchemilla alpina","Rosaceae","P"
"140",81035,"Alchemilla amphisericea","Rosaceae","P"
"141",81046,"Alchemilla borderei","Rosaceae","P"
"142",81055,"Alchemilla colorata","Rosaceae","P"
"143",81057,"Alchemilla conjuncta","Rosaceae","P"
"144",81058,"Alchemilla connivens","Rosaceae","P"
"145",717055,"Alchemilla controversa","Rosaceae","P"
"146",81059,"Alchemilla coriacea","Rosaceae","P"
"147",81063,"Alchemilla crinita","Rosaceae","P"
"148",81065,"Alchemilla decumbens","Rosaceae","P"
"149",81068,"Alchemilla demissa","Rosaceae","P"
"150",610822,"Alchemilla diluta","Rosaceae","P"
"151",81072,"Alchemilla fallax","Rosaceae","P"
"152",81073,"Alchemilla filicaulis","Rosaceae","P"
"153",81075,"Alchemilla fissa","Rosaceae","P"
"154",81076,"Alchemilla flabellata","Rosaceae","P"
"155",81079,"Alchemilla flexicaulis","Rosaceae","P"
"156",81083,"Alchemilla frigens","Rosaceae","P"
"157",81086,"Alchemilla fulgens","Rosaceae","P"
