CD_REF,Regroupement,REGNE,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,Comment
83499,Angiospermes,Plantae,"Arctium lappa L., 1753",7353729,4489,Arctium lappa,Arctium lappa,
83502,Angiospermes,Plantae,"Arctium minus (Hill) Bernh., 1800",5393103,4491,Arctium minus,Arctium minus,
83653,Angiospermes,Plantae,"Arenaria serpyllifolia L., 1753",8089871,4614,Arenaria serpyllifolia,Arenaria serpyllifolia,
117874,Angiospermes,Plantae,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",2888485,4634,Argemone mexicana,Argemone mexicana,
83714,Angiospermes,Plantae,"Argentina anserina (L.) Rydb., 1899",5367246,64234,Argentina anserina,not_found,
83777,Angiospermes,Plantae,"Aristolochia clematitis L., 1753",2873991,75335,Aristolochia clematitis,Aristolochia clematitis,
83793,Angiospermes,Plantae,"Aristolochia rotunda L., 1753",2874019,5060,Aristolochia rotunda,Aristolochia rotunda,
83832,Angiospermes,Plantae,"Armeria maritima (Mill.) Willd., 1809",8930531,5085,Armeria maritima,Armeria maritima,
83866,Angiospermes,Plantae,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800",3041022,5093,Armoracia rusticana,Armoracia rusticana,
83874,Angiospermes,Plantae,"Arnica montana L., 1753",5405976,5104,Arnica montana,Arnica montana,
83912,Angiospermes,Plantae,"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl, 1819",2704505,5134,Arrhenatherum elatius,not_found,
83933,Angiospermes,Plantae,"Artemisia absinthium L., 1753",3121319,5155,Artemisia absinthium,Artemisia absinthium,
83938,Angiospermes,Plantae,"Artemisia annua L., 1753",8373355,5160,Artemisia annua,Artemisia annua,
83973,Angiospermes,Plantae,"Artemisia genipi Weber, 1775",7511951,5188,Artemisia genipi,not_found,
83974,Angiospermes,Plantae,"Artemisia glacialis L., 1763",8102092,75422,Artemisia glacialis,Artemisia glacialis,
84003,Angiospermes,Plantae,"Artemisia maritima L., 1753",3121650,5209,Artemisia maritima,Artemisia maritima,
84053,Angiospermes,Plantae,"Artemisia umbelliformis Lam., 1783",8981321,5253,Artemisia umbelliformis,Artemisia umbelliformis,
84053,Angiospermes,Plantae,"Artemisia umbelliformis Lam., 1783",8981321,5253,Artemisia umbelliformis,Artemisia umbelliformis,
84061,Angiospermes,Plantae,"Artemisia vulgaris L., 1753",3120946,5257,Artemisia vulgaris,Artemisia vulgaris,
84110,Angiospermes,Plantae,"Arum italicum Mill., 1768",5330661,5392,Arum italicum,not_found,
84112,Angiospermes,Plantae,"Arum maculatum L., 1753",5330580,5393,Arum maculatum,Arum maculatum,
84135,Angiospermes,Plantae,"Aruncus dioicus (Walter) Fernald, 1939",5362136,5395,Aruncus dioicus,Aruncus dioicus,
84173,Angiospermes,Plantae,"Arundo donax L., 1753",2703041,5471,Arundo donax,Arundo donax,
84195,Angiospermes,Plantae,"Arundo micrantha Lam., 1791",4110789,407006,not_found,not_found,
84230,Angiospermes,Plantae,"Asarum europaeum L., 1753",7313595,5485,Asarum europaeum,Asarum europaeum,
84251,Angiospermes,Plantae,"Asclepias syriaca L., 1753",3170247,5512,Asclepias syriaca,Asclepias syriaca,
84279,Angiospermes,Plantae,"Asparagus officinalis L., 1753",2768885,5540,Asparagus officinalis,Asparagus officinalis,
84306,Angiospermes,Plantae,"Asperula cynanchica L., 1753",12225742,5558,not_found,Asperula cynanchica,
84330,Angiospermes,Plantae,"Asperula tinctoria L., 1753",2916767,5570,Asperula tinctoria,Asperula tinctoria,
84338,Angiospermes,Plantae,"Asphodelus albus Mill., 1768",2778457,5575,Asphodelus albus,Asphodelus albus,
84936,Angiospermes,Plantae,"Astrantia major L., 1753",3034915,5917,Astrantia major,Astrantia major,
85502,Angiospermes,Plantae,"Ballota nigra L., 1753",2926894,6666,Ballota nigra,Ballota nigra,
761965,Angiospermes,Plantae,"Barbarea vulgaris W.T.Aiton, 1812",5708780,6903,Barbarea vulgaris,Barbarea vulgaris,
85740,Angiospermes,Plantae,"Bellis perennis L., 1753",3117424,7173,Bellis perennis,Bellis perennis,
85774,Angiospermes,Plantae,"Berberis vulgaris L., 1753",3033894,7230,Berberis vulgaris,Berberis vulgaris,
85820,Angiospermes,Plantae,"Beta vulgaris L., 1753",8971274,7314,Beta vulgaris,not_found,
85903,Angiospermes,Plantae,"Betula pendula Roth, 1788",5331916,7356,Betula pendula,Betula pendula,
85904,Angiospermes,Plantae,"Betula pubescens Ehrh., 1791",9118014,7359,Betula pubescens,Betula pubescens,
85972,Angiospermes,Plantae,"Bidens pilosa L., 1753",5391845,7402,Bidens pilosa,Bidens pilosa,
86081,Angiospermes,Plantae,"Bistorta officinalis Delarbre, 1800",6390806,7471,Bistorta officinalis,not_found,
86087,Angiospermes,Plantae,"Blackstonia perfoliata (L.) Huds., 1762",6366886,7485,not_found,Blackstonia perfoliata,
994837,Angiospermes,Plantae,"Blitum bonus-henricus (L.) Rchb., 1832",8044896,408597,Blitum bonus-henricus,not_found,
86156,Angiospermes,Plantae,"Borago officinalis L., 1753",2926110,7725,Borago officinalis,Borago officinalis,
86490,Angiospermes,Plantae,"Briza media L., 1753",2702789,8361,Briza media,not_found,
86890,Angiospermes,Plantae,"Buglossoides arvensis (L.) I.M.Johnst., 1954",2925901,8778,Buglossoides arvensis,Buglossoides arvensis,
86969,Angiospermes,Plantae,"Bunias erucago L., 1753",3050357,8865,not_found,not_found,
87044,Angiospermes,Plantae,"Bupleurum falcatum L., 1753",6027105,8878,Bupleurum falcatum,Bupleurum falcatum,
87143,Angiospermes,Plantae,"Buxus sempervirens L., 1753",2984671,8964,Buxus sempervirens,Buxus sempervirens,
87420,Angiospermes,Plantae,"Calendula arvensis L., 1763",9182765,9482,Calendula arvensis,Calendula arvensis,
87501,Angiospermes,Plantae,"Calluna vulgaris (L.) Hull, 1808",2882482,9621,Calluna vulgaris,Calluna vulgaris,
87540,Angiospermes,Plantae,"Caltha palustris L., 1753",5371685,9768,Caltha palustris,Caltha palustris,
87690,Angiospermes,Plantae,"Campanula patula L., 1753",5410564,9957,not_found,not_found,
87712,Angiospermes,Plantae,"Campanula rapunculus L., 1753",5411920,9968,Campanula rapunculus,Campanula rapunculus,
87720,Angiospermes,Plantae,"Campanula rotundifolia L., 1753",5410907,9970,Campanula rotundifolia,not_found,
87742,Angiospermes,Plantae,"Campanula trachelium L., 1753",5412014,9980,Campanula trachelium,not_found,
87964,Angiospermes,Plantae,"Cardamine pratensis L., 1753",7972010,10304,Cardamine pratensis,Cardamine pratensis,
89147,Angiospermes,Plantae,"Carlina acaulis L., 1753",3105433,10746,Carlina acaulis,Carlina acaulis,
89180,Angiospermes,Plantae,"Carlina vulgaris L., 1753",3105380,10752,Carlina vulgaris,Carlina vulgaris,
89200,Angiospermes,Plantae,"Carpinus betulus L., 1753",2875818,10773,Carpinus betulus,Carpinus betulus,
89232,Angiospermes,Plantae,"Carthamus lanatus L., 1753",3138230,10811,Carthamus lanatus,not_found,
89250,Angiospermes,Plantae,"Carum carvi L., 1753",3034714,10820,Carum carvi,Carum carvi,
89304,Angiospermes,Plantae,"Castanea sativa Mill., 1768",5333294,11068,Castanea sativa,Castanea sativa,
89468,Angiospermes,Plantae,"Celtis australis L., 1753",2984492,11471,Celtis australis,Celtis australis,
89531,Angiospermes,Plantae,"Centaurea benedicta (L.) L., 1763",3127691,212628,Centaurea benedicta,not_found,
89542,Angiospermes,Plantae,"Centaurea calcitrapa L., 1753",3128483,11563,Centaurea calcitrapa,Centaurea calcitrapa,
89619,Angiospermes,Plantae,"Centaurea jacea L., 1753",3128547,11583,Centaurea jacea,Centaurea jacea,
89653,Angiospermes,Plantae,"Centaurea nigra L., 1753",3128225,11598,Centaurea nigra,Centaurea nigra,
89840,Angiospermes,Plantae,"Centaurium erythraea Rafn, 1800",5414457,11635,Centaurium erythraea,Centaurium erythraea,
89888,Angiospermes,Plantae,"Centranthus ruber (L.) DC., 1805",2888740,11669,Valeriana rubra,Centranthus ruber,
447038,Angiospermes,Plantae,"Ceratonia siliqua L., 1753",5356354,11825,Ceratonia siliqua,Ceratonia siliqua,
90234,Angiospermes,Plantae,"Cercis siliquastrum L., 1753",5353590,11857,Cercis siliquastrum,Cercis siliquastrum,
90470,Angiospermes,Plantae,"Chamaemelum nobile (L.) All., 1785",5391599,12048,Chamaemelum nobile,Chamaemelum nobile,
90669,Angiospermes,Plantae,"Chelidonium majus L., 1753",5334186,12151,Chelidonium majus,Chelidonium majus,
90681,Angiospermes,Plantae,"Chenopodium album L., 1753",3083838,12159,Chenopodium album,Chenopodium album,
90836,Angiospermes,Plantae,"Chenopodium vulvaria L., 1753",3083932,12245,Chenopodium vulvaria,Chenopodium vulvaria,
717139,Angiospermes,Plantae,"Chiliadenus glutinosus (L.) Fourr., 1869",3089839,213567,Chiliadenus glutinosus,not_found,
90954,Angiospermes,Plantae,"Chondrilla juncea L., 1753",8537667,12534,not_found,Chondrilla juncea,
91169,Angiospermes,Plantae,"Cichorium intybus L., 1753",5392252,12917,Cichorium intybus,Cichorium intybus,
91199,Angiospermes,Plantae,"Cicuta virosa L., 1753",5371864,12925,Cicuta virosa,Cicuta virosa,
621080,Angiospermes,Plantae,"Cirsium acaulon (L.) Scop., 1769",3112694,13011,not_found,Cirsium acaulon,
91289,Angiospermes,Plantae,"Cirsium arvense (L.) Scop., 1772",3113414,13016,Cirsium arvense,Cirsium arvense,
91410,Angiospermes,Plantae,"Cirsium spinosissimum (L.) Scop., 1769",8322056,13065,not_found,not_found,
91680,Angiospermes,Plantae,"Cistus ladanifer L., 1753",6437976,13144,Cistus ladanifer,Cistus ladanifer,
91880,Angiospermes,Plantae,"Clematis recta L., 1753",3033543,13401,Clematis recta,Clematis recta,
91886,Angiospermes,Plantae,"Clematis vitalba L., 1753",3033558,13413,Clematis vitalba,Clematis vitalba,
91904,Angiospermes,Plantae,"Clinopodium grandiflorum (L.) Kuntze, 1891",7437438,72497,not_found,not_found,
91910,Angiospermes,Plantae,"Clinopodium nepeta (L.) Kuntze, 1891",8916040,79111,Clinopodium nepeta,not_found,
